#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2013 05 08 18 10 229  2.1  8.2  0.00 99.00 99.00 999 9999.0   6.6   1.9   4.5 99.0 99.00
2013 05 08 18 20 206  3.8  6.5  0.00 99.00 99.00 999 9999.0   5.7   1.9   3.7 99.0 99.00
2013 05 08 18 30 210  2.7  3.3  0.00 99.00 99.00 999 9999.0   6.5   1.9   4.0 99.0 99.00
2013 05 08 18 40 216  2.8  3.1  0.00 99.00 99.00 999 9999.0   6.4   1.9   3.7 99.0 99.00
2013 05 08 18 50 212  3.1  3.4  0.10 99.00 99.00 999 9999.0   6.6   1.9   3.8 99.0 99.00
2013 05 08 19 00 214  3.2  3.7  0.00 99.00 99.00 999 9999.0   7.3   1.9   4.6 99.0 99.00
2013 05 08 19 10 238  3.1  4.0  0.00 99.00 99.00 999 9999.0   8.1   1.9   5.2 99.0 99.00
2013 05 08 19 20 274  3.6  4.2  0.00 99.00 99.00 999 9999.0   8.5   1.9   5.0 99.0 99.00
2013 05 08 19 30 278  2.9  3.3  0.00 99.00 99.00 999 9999.0   6.7   1.9   3.7 99.0 99.00
2013 05 08 19 40 283  3.0  3.4  0.00 99.00 99.00 999 9999.0   6.8   1.9   3.9 99.0 99.00
2013 05 08 19 50 283  3.1  3.4  0.00 99.00 99.00 999 9999.0   7.2   1.9   4.0 99.0 99.00
2013 05 08 20 00 251  3.2  3.7  0.00 99.00 99.00 999 9999.0   8.4   1.9   4.8 99.0 99.00
2013 05 08 20 10 240  3.1  3.8  0.00 99.00 99.00 999 9999.0   9.2   1.9   5.3 99.0 99.00
2013 05 08 20 20 246  3.4  4.1  0.00 99.00 99.00 999 9999.0  12.0   2.0   7.7 99.0 99.00
2013 05 08 20 30 236  3.4  4.2  0.00 99.00 99.00 999 9999.0  13.1   2.0   6.6 99.0 99.00
2013 05 08 20 40 229  3.2  4.1  0.00 99.00 99.00 999 9999.0  12.7   2.0   6.7 99.0 99.00
2013 05 08 20 50 220  2.6  3.1  0.00 99.00 99.00 999 9999.0  13.2   2.0   7.7 99.0 99.00
2013 05 08 21 00 223  2.5  2.9  0.00 99.00 99.00 999 9999.0  12.4   2.0   6.8 99.0 99.00
2013 05 08 21 10 243  2.6  3.1  0.00 99.00 99.00 999 9999.0  12.5   1.9   6.2 99.0 99.00
2013 05 08 21 20 247  2.8  3.3  0.10 99.00 99.00 999 9999.0  13.6   1.9   6.9 99.0 99.00
2013 05 08 21 30 242  2.8  3.2  0.00 99.00 99.00 999 9999.0  12.4   2.0   6.6 99.0 99.00
2013 05 08 21 40 247  3.4  4.1  0.00 99.00 99.00 999 9999.0  12.5   1.9   7.0 99.0 99.00
2013 05 08 21 50 245  3.5  3.9  0.10 99.00 99.00 999 9999.0  12.9   1.9   7.1 99.0 99.00
2013 05 08 22 00 245  3.7  4.3  0.10 99.00 99.00 999 9999.0 999.0   1.9  10.7 99.0 99.00
2013 05 08 22 10 257  4.0  4.7  0.10 99.00 99.00 999 9999.0  14.4   1.9   8.5 99.0 99.00
2013 05 08 22 20 271  3.8  4.5  0.10 99.00 99.00 999 9999.0  17.7   1.9   9.0 99.0 99.00
2013 05 08 22 30 323  3.7  4.5  0.10 99.00 99.00 999 9999.0 999.0   1.9   7.4 99.0 99.00
2013 05 08 22 40 308  3.9  4.4  0.00 99.00 99.00 999 9999.0  15.9   2.0   8.3 99.0 99.00
2013 05 08 22 50 292  3.8  4.4  0.00 99.00 99.00 999 9999.0  17.3   1.9   9.0 99.0 99.00
2013 05 08 23 00 300  3.2  4.9  0.00 99.00 99.00 999 9999.0  15.5   1.9   9.7 99.0 99.00
2013 05 08 23 10 335  2.8  4.0  0.00 99.00 99.00 999 9999.0  12.8   1.9   6.8 99.0 99.00
2013 05 08 23 20 309  3.0  3.9  0.00 99.00 99.00 999 9999.0  12.7   1.9   7.9 99.0 99.00
2013 05 08 23 30 301  2.9  3.5  0.10 99.00 99.00 999 9999.0  15.5   1.9   8.4 99.0 99.00
2013 05 08 23 40 259  3.1  5.0  0.00 99.00 99.00 999 9999.0  15.6   1.9   8.2 99.0 99.00
2013 05 08 23 50  26  4.3  4.9  0.00 99.00 99.00 999 9999.0  13.4   1.9   8.2 99.0 99.00
2013 05 09 00 00 125  3.1  4.4  0.10 99.00 99.00 999 9999.0  15.1   1.9   9.4 99.0 99.00
2013 05 09 00 10 293  2.0  3.0  0.00 99.00 99.00 999 9999.0  13.7   1.9   7.3 99.0 99.00
2013 05 09 00 20  12  2.6  3.2  0.10 99.00 99.00 999 9999.0  14.3   1.9   9.4 99.0 99.00
2013 05 09 00 30  32  3.2  6.2  0.00 99.00 99.00 999 9999.0  14.3   1.9   9.7 99.0 99.00
2013 05 09 00 40  42  3.7  4.4  0.00 99.00 99.00 999 9999.0 999.0   1.9 999.0 99.0 99.00
2013 05 09 00 50  78  4.3  5.5  0.10 99.00 99.00 999 9999.0 999.0   1.9 999.0 99.0 99.00
2013 05 09 01 00 103  4.0  4.8  0.10 99.00 99.00 999 9999.0 999.0   1.9 999.0 99.0 99.00
2013 05 09 01 10 108  3.6  5.0  0.00 99.00 99.00 999 9999.0 999.0   1.9 999.0 99.0 99.00
2013 05 09 01 20 119  4.0  5.2  0.10 99.00 99.00 999 9999.0 999.0   1.9 999.0 99.0 99.00
2013 05 09 01 30 107  4.2  5.0  0.20 99.00 99.00 999 9999.0 999.0   1.9   3.8 99.0 99.00
2013 05 09 01 40 169  2.8  5.2  0.20 99.00 99.00 999 9999.0 999.0   1.9   4.2 99.0 99.00
2013 05 09 01 50 106  3.5  4.4  0.20 99.00 99.00 999 9999.0 999.0   1.9   4.2 99.0 99.00
2013 05 09 02 00 108  3.1  4.1  0.20 99.00 99.00 999 9999.0 999.0   1.9   4.9 99.0 99.00
2013 05 09 02 10 106  2.2  3.0  0.20 99.00 99.00 999 9999.0   8.2   1.8   4.5 99.0 99.00
2013 05 09 02 20 302  3.6  5.6  0.20 99.00 99.00 999 9999.0   6.1   1.8   4.1 99.0 99.00
2013 05 09 02 30 336  4.0  4.9  0.10 99.00 99.00 999 9999.0   4.0   1.8   2.3 99.0 99.00
2013 05 09 02 40 188  3.3  3.7  0.20 99.00 99.00 999 9999.0   4.4   1.8   2.6 99.0 99.00
2013 05 09 02 50  28  3.4  4.3  0.20 99.00 99.00 999 9999.0   5.3   1.8   3.4 99.0 99.00
2013 05 09 03 00  39  3.4  4.0  0.10 99.00 99.00 999 9999.0   5.4   1.8   3.2 99.0 99.00
2013 05 09 03 10 128  2.9  3.7  0.10 99.00 99.00 999 9999.0   4.7   1.8   3.0 99.0 99.00
2013 05 09 03 20  22  2.9  3.4  0.10 99.00 99.00 999 9999.0   5.0   1.8   3.1 99.0 99.00
2013 05 09 03 30  17  2.7  3.4  0.10 99.00 99.00 999 9999.0   5.0   1.8   3.1 99.0 99.00
2013 05 09 03 40  30  2.8  3.3  0.10 99.00 99.00 999 9999.0   5.4   1.8   3.3 99.0 99.00
2013 05 09 03 50  33  3.4  4.4  0.10 99.00 99.00 999 9999.0   5.2   1.8   3.2 99.0 99.00
2013 05 09 04 00  26  3.6  4.3  0.10 99.00 99.00 999 9999.0   5.5   1.8   3.3 99.0 99.00
2013 05 09 04 10  25  3.9  4.8  0.10 99.00 99.00 999 9999.0   5.0   1.8   3.1 99.0 99.00
2013 05 09 04 20  27  3.8  4.5  0.10 99.00 99.00 999 9999.0   4.9   1.7   3.0 99.0 99.00
2013 05 09 04 30  31  3.6  4.3  0.10 99.00 99.00 999 9999.0   5.0   1.7   3.2 99.0 99.00
2013 05 09 04 40  38  4.7  6.8  0.10 99.00 99.00 999 9999.0   5.1   1.7   3.3 99.0 99.00
2013 05 09 04 50  43  5.9  6.8  0.20 99.00 99.00 999 9999.0   5.1   1.7   3.4 99.0 99.00
2013 05 09 05 00  44  5.9  7.4  0.30 99.00 99.00 999 9999.0   4.8   1.7   3.2 99.0 99.00
2013 05 09 05 10  45  6.3  7.5  0.30 99.00 99.00 999 9999.0   4.8   1.7   3.2 99.0 99.00
2013 05 09 05 20  41  6.6  8.2  0.40 99.00 99.00 999 9999.0   5.0   1.7   3.2 99.0 99.00
2013 05 09 05 30  40  6.8  8.7  0.40 99.00 99.00 999 9999.0   5.0   1.7   2.9 99.0 99.00
2013 05 09 05 40  39  6.8  8.3  0.40 99.00 99.00 999 9999.0   4.7   1.7   2.9 99.0 99.00
2013 05 09 05 50  40  6.6  8.0  0.50 99.00 99.00 999 9999.0   4.4   1.7   2.7 99.0 99.00
2013 05 09 06 00  43  6.7  8.1  0.50 99.00 99.00 999 9999.0   4.2   1.7   2.5 99.0 99.00
2013 05 09 06 10  46  6.5  8.0  0.50 99.00 99.00 999 9999.0   4.2   1.7   2.5 99.0 99.00
2013 05 09 06 20  47  6.8  9.1  0.50 99.00 99.00 999 9999.0   4.6   1.7   2.9 99.0 99.00
2013 05 09 06 30  45  7.9  9.6  0.70 99.00 99.00 999 9999.0   4.8   1.7   3.1 99.0 99.00
2013 05 09 06 40  45  7.7  9.7  0.70 99.00 99.00 999 9999.0   4.7   1.7   3.0 99.0 99.00
2013 05 09 06 50  40  6.9  8.8  0.80 99.00 99.00 999 9999.0   4.8   1.6   3.1 99.0 99.00
2013 05 09 07 00  40  6.8  8.9  0.80 99.00 99.00 999 9999.0   5.0   1.6   3.2 99.0 99.00
2013 05 09 07 10  40  6.1  7.6  0.90 99.00 99.00 999 9999.0   5.0   1.6   3.1 99.0 99.00
2013 05 09 07 20  38  5.7  7.3  0.80 99.00 99.00 999 9999.0   4.8   1.6   3.1 99.0 99.00
2013 05 09 07 30  44  5.0  6.5  0.70 99.00 99.00 999 9999.0   4.7   1.6   3.0 99.0 99.00
2013 05 09 07 40  45  4.8  6.4  0.70 99.00 99.00 999 9999.0   4.6   1.6   3.0 99.0 99.00
2013 05 09 07 50  57  4.2  5.8  0.70 99.00 99.00 999 9999.0   4.4   1.6   2.9 99.0 99.00
2013 05 09 08 00 106  3.0  4.6  0.60 99.00 99.00 999 9999.0   3.7   1.6   2.6 99.0 99.00
2013 05 09 08 10  63  4.2  5.6  0.60 99.00 99.00 999 9999.0   4.4   1.6   3.2 99.0 99.00
2013 05 09 08 20  60  4.4  5.5  0.60 99.00 99.00 999 9999.0   4.2   1.6   2.9 99.0 99.00
2013 05 09 08 30  49  4.9  7.3  0.60 99.00 99.00 999 9999.0   4.3   1.6   3.0 99.0 99.00
2013 05 09 08 40  42  6.0  7.8  0.70 99.00 99.00 999 9999.0   4.8   1.6   3.5 99.0 99.00
2013 05 09 08 50  41  6.1  7.9  0.70 99.00 99.00 999 9999.0   4.8   1.6   3.5 99.0 99.00
