#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 05 21 18 00  51  6.3  6.8  0.50 99.00 99.00 999 9999.0   5.5   2.8   2.0 99.0 99.00
2019 05 21 18 10  60  6.8  7.2  0.60 99.00 99.00 999 9999.0   5.7   2.8   1.9 99.0 99.00
2019 05 21 18 20  61  7.0  7.5  0.60 99.00 99.00 999 9999.0   5.9   2.8   1.9 99.0 99.00
2019 05 21 18 30  57  7.2  7.6  0.70 99.00 99.00 999 9999.0   5.9   2.8   1.9 99.0 99.00
2019 05 21 18 40  54  7.5  8.2  0.60 99.00 99.00 999 9999.0   5.9   2.8   1.9 99.0 99.00
2019 05 21 18 50  57  7.6  8.2  0.70 99.00 99.00 999 9999.0   6.0   2.7   1.7 99.0 99.00
2019 05 21 19 00  58  7.7  8.0  0.80 99.00 99.00 999 9999.0   6.0   2.7   1.7 99.0 99.00
2019 05 21 19 10  49  8.4  8.7  1.10 99.00 99.00 999 9999.0   6.0   2.7   1.6 99.0 99.00
2019 05 21 19 20  58  8.2  8.6  0.90 99.00 99.00 999 9999.0   6.0   2.7   1.7 99.0 99.00
2019 05 21 19 30  63  8.4  9.1  0.90 99.00 99.00 999 9999.0   6.1   2.7   1.7 99.0 99.00
2019 05 21 19 40  52  7.5  8.9  0.90 99.00 99.00 999 9999.0   6.4   2.7   1.7 99.0 99.00
2019 05 21 19 50  60  8.6  9.3  1.00 99.00 99.00 999 9999.0   6.2   2.7   1.7 99.0 99.00
2019 05 21 20 00  58  8.7  9.3  1.00 99.00 99.00 999 9999.0   6.3   2.7   1.6 99.0 99.00
2019 05 21 20 10  60  8.5  9.1  1.10 99.00 99.00 999 9999.0   6.4   2.7   1.6 99.0 99.00
2019 05 21 20 20  61  8.5  8.8  1.10 99.00 99.00 999 9999.0   6.4   2.7   1.6 99.0 99.00
2019 05 21 20 30  61  8.7  9.2  1.20 99.00 99.00 999 9999.0   6.4   2.8   1.5 99.0 99.00
2019 05 21 20 40  55  8.7  9.1  1.10 99.00 99.00 999 9999.0   6.3   2.7   1.6 99.0 99.00
