#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2023 09 01 00 00  27  0.3  2.4 99.00 99.00 99.00 999 1014.0  19.7  18.2  15.8 99.0 99.00
2023 09 01 00 06  34  1.1  3.4 99.00 99.00 99.00 999 1014.1  19.6  18.2  15.7 99.0 99.00
2023 09 01 00 12  29  1.2  2.7 99.00 99.00 99.00 999 1013.8  19.5  18.2  15.7 99.0 99.00
2023 09 01 00 18  22  1.4  2.6 99.00 99.00 99.00 999 1013.8  19.6  18.1  15.8 99.0 99.00
2023 09 01 00 24  26  0.8  2.7 99.00 99.00 99.00 999 1013.6  19.7  18.1  15.9 99.0 99.00
2023 09 01 00 30  26  1.3  3.9 99.00 99.00 99.00 999 1013.7  19.5  18.1  15.8 99.0 99.00
2023 09 01 00 36  42  2.5  3.5 99.00 99.00 99.00 999 1013.6  19.5  18.1  15.7 99.0 99.00
2023 09 01 00 42  28  1.3  3.1 99.00 99.00 99.00 999 1013.6  19.6  18.1  15.6 99.0 99.00
2023 09 01 00 48  20  0.6  2.1 99.00 99.00 99.00 999 1013.8  19.6  18.1  15.6 99.0 99.00
2023 09 01 00 54   8  1.0  1.8 99.00 99.00 99.00 999 1013.9  19.6  18.1  15.6 99.0 99.00
2023 09 01 01 00  28  0.7  2.1 99.00 99.00 99.00 999 1014.0  19.6  18.1  15.5 99.0 99.00
2023 09 01 01 06 293  0.3  2.0 99.00 99.00 99.00 999 1014.2  19.6  18.1  15.5 99.0 99.00
2023 09 01 01 12  25  1.3  2.2 99.00 99.00 99.00 999 1014.2  19.5  18.1  15.5 99.0 99.00
2023 09 01 01 18  35  2.1  3.2 99.00 99.00 99.00 999 1014.1  19.5  18.1  15.7 99.0 99.00
2023 09 01 01 24  41  1.8  2.9 99.00 99.00 99.00 999 1014.0  19.4  18.1  15.9 99.0 99.00
2023 09 01 01 30  43  2.0  3.3 99.00 99.00 99.00 999 1013.9  19.4  18.1  16.0 99.0 99.00
2023 09 01 01 36  36  2.2  3.2 99.00 99.00 99.00 999 1013.7  19.3  18.1  16.1 99.0 99.00
2023 09 01 01 42  28  1.4  3.1 99.00 99.00 99.00 999 1013.8  19.2  18.1  16.1 99.0 99.00
2023 09 01 01 48   2  1.5  2.1 99.00 99.00 99.00 999 1014.0  19.1  18.1  16.0 99.0 99.00
2023 09 01 01 54  16  1.3  1.7 99.00 99.00 99.00 999 1014.0  19.1  18.1  15.8 99.0 99.00
2023 09 01 02 00  22  1.2  2.0 99.00 99.00 99.00 999 1014.1  19.2  18.1  15.7 99.0 99.00
2023 09 01 02 06  14  1.5  2.1 99.00 99.00 99.00 999 1014.2  19.3  18.1  15.6 99.0 99.00
2023 09 01 02 12   9  1.3  2.1 99.00 99.00 99.00 999 1014.3  19.4  18.1  15.3 99.0 99.00
2023 09 01 02 18   7  1.2  1.8 99.00 99.00 99.00 999 1014.4  19.6  18.1  15.1 99.0 99.00
2023 09 01 02 24  14  1.2  1.6 99.00 99.00 99.00 999 1014.4  19.6  18.1  14.7 99.0 99.00
2023 09 01 02 30  22  1.1  1.8 99.00 99.00 99.00 999 1014.4  19.7  18.1  14.6 99.0 99.00
2023 09 01 02 36  21  1.3  1.8 99.00 99.00 99.00 999 1014.3  19.8  18.1  14.5 99.0 99.00
2023 09 01 02 42  15  1.2  1.8 99.00 99.00 99.00 999 1014.3  19.8  18.1  14.6 99.0 99.00
2023 09 01 02 48  13  1.4  1.9 99.00 99.00 99.00 999 1014.4  19.7  18.1  14.4 99.0 99.00
2023 09 01 02 54  26  0.3  1.3 99.00 99.00 99.00 999 1014.4  19.6  18.1  14.1 99.0 99.00
2023 09 01 03 00  23  0.7  1.4 99.00 99.00 99.00 999 1014.4  19.7  18.1  14.1 99.0 99.00
2023 09 01 03 06  31  0.3  0.8 99.00 99.00 99.00 999 1014.4  19.7  18.1  13.9 99.0 99.00
2023 09 01 03 12  85  0.4  1.1 99.00 99.00 99.00 999 1014.5  19.5  18.1  14.0 99.0 99.00
2023 09 01 03 18  50  0.3  0.7 99.00 99.00 99.00 999 1014.5  19.5  18.1  13.7 99.0 99.00
2023 09 01 03 24  48  0.5  1.0 99.00 99.00 99.00 999 1014.5  19.3  18.1  13.8 99.0 99.00
2023 09 01 03 30  79  0.0  1.0 99.00 99.00 99.00 999 1014.5  19.0  18.1  13.7 99.0 99.00
2023 09 01 03 36 307  0.0  0.3 99.00 99.00 99.00 999 1014.6  19.3  18.1  13.0 99.0 99.00
2023 09 01 03 42 274  0.1  0.6 99.00 99.00 99.00 999 1014.6  19.4  18.1  13.3 99.0 99.00
2023 09 01 03 48 160  0.5  0.7 99.00 99.00 99.00 999 1014.6  19.4  18.1  13.0 99.0 99.00
2023 09 01 03 54 193  0.4  1.1 99.00 99.00 99.00 999 1014.5  19.5  18.1  13.1 99.0 99.00
2023 09 01 04 00 183  0.6  1.0 99.00 99.00 99.00 999 1014.5  19.5  18.1  12.5 99.0 99.00
2023 09 01 04 06 210  1.0  1.4 99.00 99.00 99.00 999 1014.6  19.7  18.1  11.7 99.0 99.00
2023 09 01 04 12 207  0.7  1.3 99.00 99.00 99.00 999 1014.6  19.7  18.1  11.9 99.0 99.00
2023 09 01 04 18 227  0.6  1.1 99.00 99.00 99.00 999 1014.7  19.6  18.1  11.3 99.0 99.00
2023 09 01 04 24 200  2.2  3.0 99.00 99.00 99.00 999 1014.7  20.2  18.1   9.1 99.0 99.00
2023 09 01 04 30 187  1.6  2.4 99.00 99.00 99.00 999 1014.7  20.2  18.1   8.9 99.0 99.00
2023 09 01 04 36 175  1.6  2.9 99.00 99.00 99.00 999 1014.6  20.3  18.1   8.8 99.0 99.00
2023 09 01 04 42 180  1.9  3.1 99.00 99.00 99.00 999 1014.6  20.4  18.1   8.7 99.0 99.00
2023 09 01 04 48 184  1.3  2.3 99.00 99.00 99.00 999 1014.6  20.2  18.1   8.7 99.0 99.00
2023 09 01 04 54 172  1.7  2.4 99.00 99.00 99.00 999 1014.6  20.2  18.1   8.6 99.0 99.00
2023 09 01 05 00 185  1.3  2.6 99.00 99.00 99.00 999 1014.6  20.1  18.0   8.9 99.0 99.00
2023 09 01 05 06 220  1.1  1.9 99.00 99.00 99.00 999 1014.5  19.9  18.0   9.8 99.0 99.00
2023 09 01 05 12 204  1.1  1.7 99.00 99.00 99.00 999 1014.5  19.7  18.0   8.8 99.0 99.00
2023 09 01 05 18 190  0.7  1.7 99.00 99.00 99.00 999 1014.5  19.5  18.0   8.8 99.0 99.00
2023 09 01 05 24 203  0.6  1.0 99.00 99.00 99.00 999 1014.5  19.2  18.0   9.1 99.0 99.00
2023 09 01 05 30 264  0.8  1.5 99.00 99.00 99.00 999 1014.6  19.1  18.0  10.4 99.0 99.00
2023 09 01 05 36 251  0.5  0.9 99.00 99.00 99.00 999 1014.6  18.9  18.0  10.5 99.0 99.00
2023 09 01 05 42 215  1.1  1.5 99.00 99.00 99.00 999 1014.6  19.0  18.0   9.4 99.0 99.00
2023 09 01 05 48 199  1.0  1.7 99.00 99.00 99.00 999 1014.6  19.3  18.0   9.3 99.0 99.00
2023 09 01 05 54 209  1.4  2.1 99.00 99.00 99.00 999 1014.6  19.4  18.0   9.0 99.0 99.00
2023 09 01 06 00 217  1.5  1.9 99.00 99.00 99.00 999 1014.6  19.3  18.0   9.4 99.0 99.00
