#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 01 01 00 00 318 12.1 15.8 99.00 99.00 99.00 999 9999.0 -21.3 999.0 999.0 99.0 99.00
2014 01 01 01 00 322 11.2 13.1 99.00 99.00 99.00 999 9999.0 -21.3 999.0 999.0 99.0 99.00
2014 01 01 02 00 327 10.5 13.0 99.00 99.00 99.00 999 9999.0 -21.8 999.0 999.0 99.0 99.00
2014 01 01 03 00 323 10.7 13.1 99.00 99.00 99.00 999 9999.0 -22.1 999.0 999.0 99.0 99.00
2014 01 01 04 00 332 10.3 12.1 99.00 99.00 99.00 999 9999.0 -23.0 999.0 999.0 99.0 99.00
2014 01 01 05 00 340  8.0  9.9 99.00 99.00 99.00 999 9999.0 -23.3 999.0 999.0 99.0 99.00
2014 01 01 06 00 353  6.3  8.4 99.00 99.00 99.00 999 9999.0 -23.8 999.0 999.0 99.0 99.00
2014 01 01 07 00 337  6.0  7.9 99.00 99.00 99.00 999 9999.0 -24.4 999.0 999.0 99.0 99.00
2014 01 01 08 00 352  5.9  8.3 99.00 99.00 99.00 999 9999.0 -24.3 999.0 999.0 99.0 99.00
2014 01 01 09 00 334  5.8  7.7 99.00 99.00 99.00 999 9999.0 -24.5 999.0 999.0 99.0 99.00
2014 01 01 10 00 326  6.5  8.0 99.00 99.00 99.00 999 9999.0 -24.6 999.0 999.0 99.0 99.00
2014 01 01 11 00 346  6.1  9.2 99.00 99.00 99.00 999 9999.0 -24.8 999.0 999.0 99.0 99.00
2014 01 01 12 00 338  7.1  8.6 99.00 99.00 99.00 999 9999.0 -25.4 999.0 999.0 99.0 99.00
2014 01 01 13 00 343  6.2  8.9 99.00 99.00 99.00 999 9999.0 -25.1 999.0 999.0 99.0 99.00
2014 01 01 14 00 350  4.4  6.3 99.00 99.00 99.00 999 9999.0 -25.3 999.0 999.0 99.0 99.00
2014 01 01 15 00 340  5.7  7.9 99.00 99.00 99.00 999 9999.0 -25.3 999.0 999.0 99.0 99.00
2014 01 01 16 00 335  4.7  5.8 99.00 99.00 99.00 999 9999.0 -25.0 999.0 999.0 99.0 99.00
2014 01 01 17 00 335  4.6  6.0 99.00 99.00 99.00 999 9999.0 -24.1 999.0 999.0 99.0 99.00
2014 01 01 18 00 329  3.9  5.5 99.00 99.00 99.00 999 9999.0 -24.0 999.0 999.0 99.0 99.00
2014 01 01 19 00 338  4.8  5.7 99.00 99.00 99.00 999 9999.0 -23.8 999.0 999.0 99.0 99.00
2014 01 01 20 00 337  4.4  5.3 99.00 99.00 99.00 999 9999.0 -22.6 999.0 999.0 99.0 99.00
2014 01 01 21 00 322  5.0  6.4 99.00 99.00 99.00 999 9999.0 -22.6 999.0 999.0 99.0 99.00
2014 01 01 22 00 338  4.6  6.6 99.00 99.00 99.00 999 9999.0 -23.0 999.0 999.0 99.0 99.00
2014 01 01 23 00 348  4.6  6.3 99.00 99.00 99.00 999 9999.0 -22.9 999.0 999.0 99.0 99.00
2014 01 02 00 00 326  5.3  6.4 99.00 99.00 99.00 999 9999.0 -22.5 999.0 999.0 99.0 99.00
