#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2023 09 01 00 00 134  6.6  7.0 99.00 99.00 99.00 999 1018.5  15.7 999.0 999.0 99.0 99.00
2023 09 01 01 00 129  5.7  6.2 99.00 99.00 99.00 999 1018.3  16.4 999.0 999.0 99.0 99.00
2023 09 01 02 00 143  7.5  8.0 99.00 99.00 99.00 999 1018.5  16.8 999.0 999.0 99.0 99.00
2023 09 01 03 00 138  7.2  8.2 99.00 99.00 99.00 999 1018.5  16.5 999.0 999.0 99.0 99.00
2023 09 01 04 00 153  7.4  8.1 99.00 99.00 99.00 999 1018.2  16.6 999.0 999.0 99.0 99.00
2023 09 01 05 00 175  7.7  9.4 99.00 99.00 99.00 999 1018.2  17.6 999.0 999.0 99.0 99.00
2023 09 01 06 00 192  9.5 10.3 99.00 99.00 99.00 999 1018.4  17.3 999.0 999.0 99.0 99.00
2023 09 01 07 00 200  7.6  8.2 99.00 99.00 99.00 999 1018.3  17.2 999.0 999.0 99.0 99.00
2023 09 01 08 00 193  9.4 10.1 99.00 99.00 99.00 999 1018.1  17.0 999.0 999.0 99.0 99.00
2023 09 01 09 00 194  9.3 10.4 99.00 99.00 99.00 999 1018.0  16.7 999.0 999.0 99.0 99.00
2023 09 01 10 00 193  8.1  8.9 99.00 99.00 99.00 999 1018.0  16.3 999.0 999.0 99.0 99.00
2023 09 01 11 00 198  6.7  7.8 99.00 99.00 99.00 999 1017.4  16.2 999.0 999.0 99.0 99.00
2023 09 01 12 00 193  7.6  8.9 99.00 99.00 99.00 999 1017.2  16.3 999.0 999.0 99.0 99.00
2023 09 01 13 00 197  9.3 10.6 99.00 99.00 99.00 999 1016.8  16.3 999.0 999.0 99.0 99.00
2023 09 01 14 00 201  9.4 10.1 99.00 99.00 99.00 999 1016.7  16.4 999.0 999.0 99.0 99.00
2023 09 01 15 00 200  7.4  8.8 99.00 99.00 99.00 999 1016.3  16.2 999.0 999.0 99.0 99.00
2023 09 01 16 00 204  8.4  9.9 99.00 99.00 99.00 999 1015.8  16.3 999.0 999.0 99.0 99.00
2023 09 01 17 00 203  6.9  7.8 99.00 99.00 99.00 999 1015.3  16.6 999.0 999.0 99.0 99.00
2023 09 01 18 00 187  5.1  6.0 99.00 99.00 99.00 999 1015.0  16.7 999.0 999.0 99.0 99.00
2023 09 01 19 00 197  7.1  8.3 99.00 99.00 99.00 999 1014.3  17.1 999.0 999.0 99.0 99.00
2023 09 01 20 00 202  8.0  8.8 99.00 99.00 99.00 999 1013.2  17.7 999.0 999.0 99.0 99.00
2023 09 01 21 00 195  8.0  8.6 99.00 99.00 99.00 999 1012.1  17.9 999.0 999.0 99.0 99.00
2023 09 01 22 00 194  7.6  8.2 99.00 99.00 99.00 999 1011.3  17.7 999.0 999.0 99.0 99.00
2023 09 01 23 00 194  6.2  7.0 99.00 99.00 99.00 999 1010.5  17.8 999.0 999.0 99.0 99.00
2023 09 02 00 00 219  9.5 10.5 99.00 99.00 99.00 999 1009.4  17.8 999.0 999.0 99.0 99.00
2023 09 02 01 00 219  9.7 10.0 99.00 99.00 99.00 999 1009.5  17.7 999.0 999.0 99.0 99.00
2023 09 02 02 00 210  9.4 10.0 99.00 99.00 99.00 999 1009.7  17.4 999.0 999.0 99.0 99.00
2023 09 02 03 00 221 10.6 11.3 99.00 99.00 99.00 999 1009.3  18.3 999.0 999.0 99.0 99.00
2023 09 02 04 00 217 13.3 13.9 99.00 99.00 99.00 999 1008.8  18.6 999.0 999.0 99.0 99.00
2023 09 02 05 00 214 12.5 13.6 99.00 99.00 99.00 999 1009.0  17.8 999.0 999.0 99.0 99.00
2023 09 02 06 00 217  9.5 10.7 99.00 99.00 99.00 999 1009.3  17.4 999.0 999.0 99.0 99.00
2023 09 02 07 00 238  8.1  8.9 99.00 99.00 99.00 999 1009.3  18.8 999.0 999.0 99.0 99.00
2023 09 02 08 00 259 11.3 11.8 99.00 99.00 99.00 999 1009.4  18.9 999.0 999.0 99.0 99.00
2023 09 02 09 00 262 11.8 12.5 99.00 99.00 99.00 999 1009.5  18.4 999.0 999.0 99.0 99.00
2023 09 02 10 00 262 12.3 12.8 99.00 99.00 99.00 999 1009.6  18.0 999.0 999.0 99.0 99.00
2023 09 02 11 00 268 10.3 11.0 99.00 99.00 99.00 999 1010.3  17.6 999.0 999.0 99.0 99.00
2023 09 02 12 00 260  8.3  8.6 99.00 99.00 99.00 999 1011.2  17.8 999.0 999.0 99.0 99.00
2023 09 02 13 00 261  8.0  8.5 99.00 99.00 99.00 999 1011.1  18.3 999.0 999.0 99.0 99.00
2023 09 02 14 00 263  8.8  9.3 99.00 99.00 99.00 999 1011.1  18.4 999.0 999.0 99.0 99.00
2023 09 02 15 00 263 11.1 11.4 99.00 99.00 99.00 999 1011.0  18.5 999.0 999.0 99.0 99.00
2023 09 02 16 00 265 11.0 11.2 99.00 99.00 99.00 999 1011.2  19.3 999.0 999.0 99.0 99.00
2023 09 02 17 00 261  7.1  7.8 99.00 99.00 99.00 999 1011.0  18.5 999.0 999.0 99.0 99.00
2023 09 02 18 00 223  4.3  4.5 99.00 99.00 99.00 999 1010.6  19.6 999.0 999.0 99.0 99.00
2023 09 02 19 00 217  6.2  6.7 99.00 99.00 99.00 999 1010.0  20.2 999.0 999.0 99.0 99.00
2023 09 02 20 00 204  7.4  8.1 99.00 99.00 99.00 999 1009.8  17.5 999.0 999.0 99.0 99.00
2023 09 02 21 00 205  9.9 10.8 99.00 99.00 99.00 999 1008.9  17.6 999.0 999.0 99.0 99.00
2023 09 02 22 00 225  8.7  9.1 99.00 99.00 99.00 999 1008.5  17.9 999.0 999.0 99.0 99.00
2023 09 02 23 00 214  7.0  7.6 99.00 99.00 99.00 999 1008.2  18.8 999.0 999.0 99.0 99.00
2023 09 03 00 00 227  8.2  8.5 99.00 99.00 99.00 999 1007.7  19.4 999.0 999.0 99.0 99.00
2023 09 03 01 00 216  6.4  6.6 99.00 99.00 99.00 999 1007.7  18.4 999.0 999.0 99.0 99.00
2023 09 03 02 00 212  8.0  8.3 99.00 99.00 99.00 999 1007.7  18.9 999.0 999.0 99.0 99.00
2023 09 03 03 00 215  7.0  7.6 99.00 99.00 99.00 999 1007.8  17.7 999.0 999.0 99.0 99.00
2023 09 03 04 00 217  9.5  9.9 99.00 99.00 99.00 999 1007.4  17.9 999.0 999.0 99.0 99.00
2023 09 03 05 00 207  6.9  7.4 99.00 99.00 99.00 999 1006.9  18.2 999.0 999.0 99.0 99.00
2023 09 03 06 00 188  5.2  5.6 99.00 99.00 99.00 999 1006.5  17.4 999.0 999.0 99.0 99.00
2023 09 03 07 00 194  6.2  6.8 99.00 99.00 99.00 999 1005.9  17.7 999.0 999.0 99.0 99.00
2023 09 03 08 00 211  5.0  5.3 99.00 99.00 99.00 999 1005.7  17.6 999.0 999.0 99.0 99.00
2023 09 03 09 00 206  4.7  5.4 99.00 99.00 99.00 999 1005.6  17.8 999.0 999.0 99.0 99.00
2023 09 03 10 00 172  4.6  4.8 99.00 99.00 99.00 999 1004.9  17.6 999.0 999.0 99.0 99.00
2023 09 03 11 00 245  7.5  8.2 99.00 99.00 99.00 999 1005.0  21.9 999.0 999.0 99.0 99.00
2023 09 03 12 00 260  4.7  4.9 99.00 99.00 99.00 999 1005.1  18.8 999.0 999.0 99.0 99.00
2023 09 03 13 00 259  6.8  7.2 99.00 99.00 99.00 999 1005.1  18.6 999.0 999.0 99.0 99.00
