#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2023 08 01 00 10 189  1.2  1.4 99.00 99.00 99.00 999 1019.0  24.3 999.0 999.0 99.0 99.00
2023 08 01 00 20 173  0.9  1.3 99.00 99.00 99.00 999 1019.3  24.3 999.0 999.0 99.0 99.00
2023 08 01 00 30 182  1.2  1.5 99.00 99.00 99.00 999 1019.0  23.8 999.0 999.0 99.0 99.00
2023 08 01 00 40 184  1.4  1.5 99.00 99.00 99.00 999 1019.3  23.3 999.0 999.0 99.0 99.00
2023 08 01 00 50 156  0.7  1.5 99.00 99.00 99.00 999 1019.3  22.9 999.0 999.0 99.0 99.00
2023 08 01 01 00 142  0.7  0.9 99.00 99.00 99.00 999 1019.6  21.8 999.0 999.0 99.0 99.00
2023 08 01 01 10 139  0.6  1.0 99.00 99.00 99.00 999 1019.3  21.2 999.0 999.0 99.0 99.00
2023 08 01 01 20 145  0.5  0.8 99.00 99.00 99.00 999 1019.6  21.0 999.0 999.0 99.0 99.00
2023 08 01 01 30 147  0.7  1.2 99.00 99.00 99.00 999 1019.3  20.4 999.0 999.0 99.0 99.00
2023 08 01 01 40 140  0.9  1.3 99.00 99.00 99.00 999 1019.3  20.4 999.0 999.0 99.0 99.00
2023 08 01 01 50 143  0.9  1.2 99.00 99.00 99.00 999 1019.3  20.3 999.0 999.0 99.0 99.00
2023 08 01 02 00 150  1.2  2.0 99.00 99.00 99.00 999 1019.6  19.9 999.0 999.0 99.0 99.00
2023 08 01 02 10 171  2.2  2.5 99.00 99.00 99.00 999 1019.6  19.1 999.0 999.0 99.0 99.00
2023 08 01 02 20 167  1.7  2.8 99.00 99.00 99.00 999 1019.6  19.3 999.0 999.0 99.0 99.00
2023 08 01 02 30 129  1.0  1.8 99.00 99.00 99.00 999 1019.6  19.0 999.0 999.0 99.0 99.00
2023 08 01 02 40 138  0.8  1.4 99.00 99.00 99.00 999 1020.0  18.8 999.0 999.0 99.0 99.00
2023 08 01 02 50 143  0.9  1.8 99.00 99.00 99.00 999 1019.6  19.2 999.0 999.0 99.0 99.00
2023 08 01 03 00 139  1.1  1.8 99.00 99.00 99.00 999 1019.6  19.2 999.0 999.0 99.0 99.00
2023 08 01 03 10 140  1.0  2.0 99.00 99.00 99.00 999 1020.0  19.0 999.0 999.0 99.0 99.00
2023 08 01 03 20 133  1.1  1.7 99.00 99.00 99.00 999 1020.0  18.8 999.0 999.0 99.0 99.00
2023 08 01 03 30 136  1.0  1.8 99.00 99.00 99.00 999 1020.0  18.8 999.0 999.0 99.0 99.00
2023 08 01 03 40 135  1.2  1.8 99.00 99.00 99.00 999 1020.0  18.8 999.0 999.0 99.0 99.00
2023 08 01 03 50 138  1.3  2.1 99.00 99.00 99.00 999 1020.0  18.8 999.0 999.0 99.0 99.00
2023 08 01 04 00 130  1.5  2.3 99.00 99.00 99.00 999 1020.0  18.8 999.0 999.0 99.0 99.00
2023 08 01 04 10 130  1.5  2.5 99.00 99.00 99.00 999 1020.0  18.7 999.0 999.0 99.0 99.00
2023 08 01 04 20 132  1.5  2.7 99.00 99.00 99.00 999 1020.0  18.6 999.0 999.0 99.0 99.00
2023 08 01 04 30 133  1.6  2.5 99.00 99.00 99.00 999 1020.0  18.4 999.0 999.0 99.0 99.00
2023 08 01 04 40 127  1.9  2.7 99.00 99.00 99.00 999 1020.0  18.3 999.0 999.0 99.0 99.00
2023 08 01 04 50 135  1.5  2.7 99.00 99.00 99.00 999 1020.0  18.4 999.0 999.0 99.0 99.00
2023 08 01 05 00 137  1.6  2.7 99.00 99.00 99.00 999 1020.0  18.3 999.0 999.0 99.0 99.00
2023 08 01 05 10 134  1.4  2.3 99.00 99.00 99.00 999 1020.0  18.2 999.0 999.0 99.0 99.00
2023 08 01 05 20 146  1.4  2.6 99.00 99.00 99.00 999 1020.0  18.2 999.0 999.0 99.0 99.00
2023 08 01 05 30 274  0.5  2.2 99.00 99.00 99.00 999 1020.0  17.9 999.0 999.0 99.0 99.00
2023 08 01 05 40   0  0.0  0.7 99.00 99.00 99.00 999 1020.0  17.9 999.0 999.0 99.0 99.00
2023 08 01 05 50 118  1.6  1.8 99.00 99.00 99.00 999 1020.0  17.8 999.0 999.0 99.0 99.00
2023 08 01 06 00 121  1.1  1.8 99.00 99.00 99.00 999 1020.0  17.7 999.0 999.0 99.0 99.00
2023 08 01 06 10 124  1.5  1.8 99.00 99.00 99.00 999 1020.0  17.4 999.0 999.0 99.0 99.00
2023 08 01 06 20 129  0.1  2.0 99.00 99.00 99.00 999 1020.0  17.3 999.0 999.0 99.0 99.00
2023 08 01 06 30 250  0.5  1.3 99.00 99.00 99.00 999 1020.3  17.0 999.0 999.0 99.0 99.00
2023 08 01 06 40 145  0.1  1.4 99.00 99.00 99.00 999 1020.3  16.8 999.0 999.0 99.0 99.00
2023 08 01 06 50 130  0.4  1.7 99.00 99.00 99.00 999 1020.3  16.8 999.0 999.0 99.0 99.00
2023 08 01 07 00 145  0.9  1.3 99.00 99.00 99.00 999 1020.3  16.6 999.0 999.0 99.0 99.00
2023 08 01 07 10 128  0.8  1.8 99.00 99.00 99.00 999 1020.3  16.0 999.0 999.0 99.0 99.00
2023 08 01 07 20 159  1.2  1.5 99.00 99.00 99.00 999 1020.7  15.8 999.0 999.0 99.0 99.00
2023 08 01 07 30 165  1.5  1.7 99.00 99.00 99.00 999 1020.3  15.7 999.0 999.0 99.0 99.00
2023 08 01 07 40 156  1.6  2.0 99.00 99.00 99.00 999 1020.3  15.1 999.0 999.0 99.0 99.00
2023 08 01 07 50 149  1.1  2.1 99.00 99.00 99.00 999 1020.3  15.2 999.0 999.0 99.0 99.00
2023 08 01 08 00 141  0.2  1.5 99.00 99.00 99.00 999 1020.3  15.1 999.0 999.0 99.0 99.00
2023 08 01 08 10 162  1.8  2.0 99.00 99.00 99.00 999 1020.3  15.1 999.0 999.0 99.0 99.00
2023 08 01 08 20 168  1.6  2.1 99.00 99.00 99.00 999 1020.3  14.8 999.0 999.0 99.0 99.00
2023 08 01 08 30 156  2.0  2.3 99.00 99.00 99.00 999 1020.3  14.6 999.0 999.0 99.0 99.00
2023 08 01 08 40 151  1.4  2.2 99.00 99.00 99.00 999 1020.3  15.0 999.0 999.0 99.0 99.00
