#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 01 00 02  23 13.3 99.0 99.00 99.00 99.00 999 1017.6  -4.7 999.0 999.0 99.0 99.00
2019 01 01 00 10  28 12.5 16.0 99.00 99.00 99.00 999 1017.6  -4.9 999.0 999.0 99.0 99.00
2019 01 01 00 20  36 12.7 15.9 99.00 99.00 99.00 999 1018.3  -4.8 999.0 999.0 99.0 99.00
2019 01 01 00 30  28 11.9 16.9 99.00 99.00 99.00 999 1018.6  -4.9 999.0 999.0 99.0 99.00
2019 01 01 00 36  27 12.8 13.3 99.00 99.00 99.00 999 1018.6  -5.0 999.0 999.0 99.0 99.00
2019 01 01 00 40  26 12.1 15.8 99.00 99.00 99.00 999 1018.6  -5.0 999.0 999.0 99.0 99.00
2019 01 01 00 50  27 12.5 14.5 99.00 99.00 99.00 999 1018.6  -5.0 999.0 999.0 99.0 99.00
2019 01 01 01 00  30 12.5 14.9 99.00 99.00 99.00 999 1018.6  -5.2 999.0 999.0 99.0 99.00
2019 01 01 01 10  28 12.9 14.6 99.00 99.00 99.00 999 1018.3  -5.3 999.0 999.0 99.0 99.00
2019 01 01 01 20  27 11.8 15.2 99.00 99.00 99.00 999 1018.6  -5.3 999.0 999.0 99.0 99.00
2019 01 01 01 30  28 13.3 15.6 99.00 99.00 99.00 999 1018.6  -5.4 999.0 999.0 99.0 99.00
2019 01 01 01 40  27 11.8 99.0 99.00 99.00 99.00 999 1019.0  -5.3 999.0 999.0 99.0 99.00
2019 01 01 01 50  38 13.5 15.2 99.00 99.00 99.00 999 1019.0  -5.5 999.0 999.0 99.0 99.00
2019 01 01 02 00  31 11.1 14.9 99.00 99.00 99.00 999 1019.0  -5.6 999.0 999.0 99.0 99.00
2019 01 01 02 10  25 11.5 15.7 99.00 99.00 99.00 999 1019.3  -5.6 999.0 999.0 99.0 99.00
2019 01 01 02 20  31 12.6 14.9 99.00 99.00 99.00 999 1019.6  -5.9 999.0 999.0 99.0 99.00
2019 01 01 02 30  29 11.9 14.9 99.00 99.00 99.00 999 1019.6  -5.8 999.0 999.0 99.0 99.00
2019 01 01 02 40  25 10.6 13.1 99.00 99.00 99.00 999 1019.6  -5.7 999.0 999.0 99.0 99.00
2019 01 01 02 42  25 10.4 15.3 99.00 99.00 99.00 999 1019.6  -5.7 999.0 999.0 99.0 99.00
2019 01 01 02 50  27 12.6 15.3 99.00 99.00 99.00 999 1019.6  -5.9 999.0 999.0 99.0 99.00
2019 01 01 03 00  27 12.4 15.2 99.00 99.00 99.00 999 1020.0  -6.0 999.0 999.0 99.0 99.00
2019 01 01 03 10  36 11.7 17.3 99.00 99.00 99.00 999 1019.6  -6.1 999.0 999.0 99.0 99.00
2019 01 01 03 20  31 11.8 99.0 99.00 99.00 99.00 999 1020.3  -6.2 999.0 999.0 99.0 99.00
2019 01 01 03 30  34 12.2 14.8 99.00 99.00 99.00 999 1020.3  -6.3 999.0 999.0 99.0 99.00
2019 01 01 03 40  28 11.9 14.8 99.00 99.00 99.00 999 1020.7  -6.3 999.0 999.0 99.0 99.00
2019 01 01 03 43  23 11.5 13.1 99.00 99.00 99.00 999 1020.7  -6.3 999.0 999.0 99.0 99.00
2019 01 01 03 50  23 11.7 13.8 99.00 99.00 99.00 999 1020.7  -6.3 999.0 999.0 99.0 99.00
2019 01 01 04 00  27 11.2 13.4 99.00 99.00 99.00 999 1020.7  -6.5 999.0 999.0 99.0 99.00
2019 01 01 04 10  27 10.9 14.0 99.00 99.00 99.00 999 1020.7  -6.5 999.0 999.0 99.0 99.00
2019 01 01 04 20  26 10.3 13.6 99.00 99.00 99.00 999 1021.0  -6.5 999.0 999.0 99.0 99.00
2019 01 01 04 30  28  9.4 16.6 99.00 99.00 99.00 999 1021.0  -6.5 999.0 999.0 99.0 99.00
2019 01 01 04 40  38 10.5 99.0 99.00 99.00 99.00 999 1021.0  -6.6 999.0 999.0 99.0 99.00
2019 01 01 04 50  34  8.9 13.8 99.00 99.00 99.00 999 1021.7  -6.6 999.0 999.0 99.0 99.00
2019 01 01 05 00  20 10.1 12.2 99.00 99.00 99.00 999 1022.0  -6.6 999.0 999.0 99.0 99.00
2019 01 01 05 10  18  9.4 12.6 99.00 99.00 99.00 999 1022.4  -6.7 999.0 999.0 99.0 99.00
2019 01 01 05 20  15  9.7 12.7 99.00 99.00 99.00 999 1022.7  -6.5 999.0 999.0 99.0 99.00
2019 01 01 05 30  20 10.5 12.5 99.00 99.00 99.00 999 1022.7  -6.9 999.0 999.0 99.0 99.00
2019 01 01 05 40  25  9.3 12.3 99.00 99.00 99.00 999 1023.0  -6.7 999.0 999.0 99.0 99.00
2019 01 01 05 50  33  9.5 11.7 99.00 99.00 99.00 999 1023.0  -6.9 999.0 999.0 99.0 99.00
