#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2023 10 01 00 10 269  1.4  1.8 99.00 99.00 99.00 999 1020.3  17.1 999.0 999.0 99.0 99.00
2023 10 01 00 20 275  0.6  1.7 99.00 99.00 99.00 999 1020.3  17.1 999.0 999.0 99.0 99.00
2023 10 01 00 30 217  0.1  1.2 99.00 99.00 99.00 999 1020.3  17.2 999.0 999.0 99.0 99.00
2023 10 01 00 40   0  0.0  0.0 99.00 99.00 99.00 999 1020.3  17.3 999.0 999.0 99.0 99.00
2023 10 01 00 50 297  1.2  1.5 99.00 99.00 99.00 999 1020.3  17.1 999.0 999.0 99.0 99.00
2023 10 01 01 00 290  2.0  2.4 99.00 99.00 99.00 999 1020.7  17.1 999.0 999.0 99.0 99.00
2023 10 01 01 10 293  1.9  2.8 99.00 99.00 99.00 999 1020.7  17.1 999.0 999.0 99.0 99.00
2023 10 01 01 20 305  1.6  3.1 99.00 99.00 99.00 999 1020.7  17.0 999.0 999.0 99.0 99.00
2023 10 01 01 30 305  1.5  2.2 99.00 99.00 99.00 999 1020.7  17.0 999.0 999.0 99.0 99.00
2023 10 01 01 40 328  1.4  1.7 99.00 99.00 99.00 999 1020.7  17.0 999.0 999.0 99.0 99.00
2023 10 01 01 50 279  1.3  1.8 99.00 99.00 99.00 999 1020.7  16.9 999.0 999.0 99.0 99.00
2023 10 01 02 00 251  0.5  1.3 99.00 99.00 99.00 999 1021.0  17.0 999.0 999.0 99.0 99.00
2023 10 01 02 10 301  0.9  1.4 99.00 99.00 99.00 999 1021.0  17.0 999.0 999.0 99.0 99.00
2023 10 01 02 20 297  1.2  1.5 99.00 99.00 99.00 999 1021.0  17.0 999.0 999.0 99.0 99.00
2023 10 01 02 30 308  2.2  2.4 99.00 99.00 99.00 999 1021.0  17.0 999.0 999.0 99.0 99.00
2023 10 01 02 40 310  1.5  2.4 99.00 99.00 99.00 999 1021.0  16.9 999.0 999.0 99.0 99.00
2023 10 01 02 50 286  1.1  1.7 99.00 99.00 99.00 999 1021.0  16.9 999.0 999.0 99.0 99.00
2023 10 01 03 00 199  0.6  1.3 99.00 99.00 99.00 999 1021.0  16.9 999.0 999.0 99.0 99.00
2023 10 01 03 10 257  0.2  0.9 99.00 99.00 99.00 999 1020.7  16.9 999.0 999.0 99.0 99.00
2023 10 01 03 20 246  0.5  1.4 99.00 99.00 99.00 999 1021.0  16.9 999.0 999.0 99.0 99.00
2023 10 01 03 30 246  0.7  1.9 99.00 99.00 99.00 999 1021.0  16.9 999.0 999.0 99.0 99.00
2023 10 01 03 40 235  0.3  1.2 99.00 99.00 99.00 999 1021.0  16.9 999.0 999.0 99.0 99.00
2023 10 01 03 50 277  0.6  1.2 99.00 99.00 99.00 999 1021.0  16.9 999.0 999.0 99.0 99.00
2023 10 01 04 00 265  2.1  2.5 99.00 99.00 99.00 999 1021.0  16.8 999.0 999.0 99.0 99.00
2023 10 01 04 10 286  1.6  2.7 99.00 99.00 99.00 999 1021.0  16.8 999.0 999.0 99.0 99.00
2023 10 01 04 20 289  1.6  2.3 99.00 99.00 99.00 999 1021.0  16.9 999.0 999.0 99.0 99.00
2023 10 01 04 30 282  1.1  2.2 99.00 99.00 99.00 999 1021.0  16.7 999.0 999.0 99.0 99.00
2023 10 01 04 40 256  0.3  1.4 99.00 99.00 99.00 999 1021.0  16.7 999.0 999.0 99.0 99.00
2023 10 01 04 50 148  0.7  0.9 99.00 99.00 99.00 999 1021.0  16.9 999.0 999.0 99.0 99.00
2023 10 01 05 00 196  0.6  1.4 99.00 99.00 99.00 999 1021.0  16.9 999.0 999.0 99.0 99.00
2023 10 01 05 10 226  1.3  1.5 99.00 99.00 99.00 999 1021.0  17.0 999.0 999.0 99.0 99.00
2023 10 01 05 20 234  1.3  1.8 99.00 99.00 99.00 999 1021.0  17.0 999.0 999.0 99.0 99.00
2023 10 01 05 30 262  0.5  2.0 99.00 99.00 99.00 999 1021.0  17.0 999.0 999.0 99.0 99.00
2023 10 01 05 40 294  1.5  2.1 99.00 99.00 99.00 999 1021.3  17.0 999.0 999.0 99.0 99.00
2023 10 01 05 50 316  0.4  1.1 99.00 99.00 99.00 999 1021.0  16.9 999.0 999.0 99.0 99.00
2023 10 01 06 00   0  0.0  1.1 99.00 99.00 99.00 999 1021.0  16.8 999.0 999.0 99.0 99.00
2023 10 01 06 10 119  0.1  0.5 99.00 99.00 99.00 999 1021.0  16.7 999.0 999.0 99.0 99.00
2023 10 01 06 20  77  0.2  0.8 99.00 99.00 99.00 999 1021.0  16.5 999.0 999.0 99.0 99.00
2023 10 01 06 30 193  1.2  1.4 99.00 99.00 99.00 999 1021.0  16.4 999.0 999.0 99.0 99.00
2023 10 01 06 40 199  1.3  1.5 99.00 99.00 99.00 999 1021.0  16.4 999.0 999.0 99.0 99.00
2023 10 01 06 50 193  1.2  2.1 99.00 99.00 99.00 999 1021.0  16.5 999.0 999.0 99.0 99.00
2023 10 01 07 00 232  0.5  1.6 99.00 99.00 99.00 999 1021.0  16.4 999.0 999.0 99.0 99.00
2023 10 01 07 10  74  0.0  0.6 99.00 99.00 99.00 999 1021.0  16.3 999.0 999.0 99.0 99.00
2023 10 01 07 20   0  0.0  0.5 99.00 99.00 99.00 999 1021.0  16.3 999.0 999.0 99.0 99.00
2023 10 01 07 30   0  0.0  0.2 99.00 99.00 99.00 999 1021.0  16.2 999.0 999.0 99.0 99.00
2023 10 01 07 40 187  0.6  0.8 99.00 99.00 99.00 999 1021.0  16.1 999.0 999.0 99.0 99.00
2023 10 01 07 50 190  0.2  0.6 99.00 99.00 99.00 999 1021.0  16.0 999.0 999.0 99.0 99.00
2023 10 01 08 00   0  0.0  0.5 99.00 99.00 99.00 999 1021.0  16.0 999.0 999.0 99.0 99.00
2023 10 01 08 10 174  0.6  1.4 99.00 99.00 99.00 999 1021.0  15.7 999.0 999.0 99.0 99.00
2023 10 01 08 20  69  0.1  0.9 99.00 99.00 99.00 999 1021.0  15.8 999.0 999.0 99.0 99.00
2023 10 01 08 30   0  0.0  0.0 99.00 99.00 99.00 999 1021.0  15.8 999.0 999.0 99.0 99.00
2023 10 01 08 40 359  0.0  0.2 99.00 99.00 99.00 999 1021.0  15.6 999.0 999.0 99.0 99.00
2023 10 01 08 50   0  0.0  0.5 99.00 99.00 99.00 999 1021.0  15.8 999.0 999.0 99.0 99.00
2023 10 01 09 00 218  0.1  0.6 99.00 99.00 99.00 999 1021.0  15.8 999.0 999.0 99.0 99.00
2023 10 01 09 10 191  0.2  0.6 99.00 99.00 99.00 999 1020.7  15.8 999.0 999.0 99.0 99.00
2023 10 01 09 20 202  0.6  0.9 99.00 99.00 99.00 999 1021.0  15.8 999.0 999.0 99.0 99.00
2023 10 01 09 30 186  0.6  1.5 99.00 99.00 99.00 999 1021.0  15.8 999.0 999.0 99.0 99.00
2023 10 01 09 40 193  1.1  1.5 99.00 99.00 99.00 999 1021.0  15.7 999.0 999.0 99.0 99.00
2023 10 01 09 50 193  1.3  1.6 99.00 99.00 99.00 999 1021.0  15.7 999.0 999.0 99.0 99.00
2023 10 01 10 00 183  0.5  1.4 99.00 99.00 99.00 999 1021.0  15.7 999.0 999.0 99.0 99.00
2023 10 01 10 10 191  0.7  1.3 99.00 99.00 99.00 999 1021.0  15.6 999.0 999.0 99.0 99.00
2023 10 01 10 20 190  0.5  0.9 99.00 99.00 99.00 999 1021.0  15.6 999.0 999.0 99.0 99.00
2023 10 01 10 30 207  1.4  1.6 99.00 99.00 99.00 999 1021.0  15.5 999.0 999.0 99.0 99.00
2023 10 01 10 40 201  1.0  1.4 99.00 99.00 99.00 999 1021.0  15.4 999.0 999.0 99.0 99.00
2023 10 01 10 50 209  1.1  1.4 99.00 99.00 99.00 999 1021.0  15.4 999.0 999.0 99.0 99.00
2023 10 01 11 00 207  1.2  1.7 99.00 99.00 99.00 999 1021.0  15.4 999.0 999.0 99.0 99.00
2023 10 01 11 10 201  0.9  1.7 99.00 99.00 99.00 999 1021.0  15.3 999.0 999.0 99.0 99.00
2023 10 01 11 20 199  0.9  1.4 99.00 99.00 99.00 999 1021.0  15.3 999.0 999.0 99.0 99.00
2023 10 01 11 30 200  1.3  1.8 99.00 99.00 99.00 999 1021.0  15.2 999.0 999.0 99.0 99.00
2023 10 01 11 40 190  0.8  1.6 99.00 99.00 99.00 999 1021.0  15.2 999.0 999.0 99.0 99.00
2023 10 01 11 50 210  0.6  1.3 99.00 99.00 99.00 999 1021.0  14.9 999.0 999.0 99.0 99.00
2023 10 01 12 00 211  0.7  1.7 99.00 99.00 99.00 999 1021.0  14.9 999.0 999.0 99.0 99.00
2023 10 01 12 10 184  1.0  2.1 99.00 99.00 99.00 999 1021.0  14.9 999.0 999.0 99.0 99.00
2023 10 01 12 20 208  0.7  1.6 99.00 99.00 99.00 999 1021.3  15.0 999.0 999.0 99.0 99.00
2023 10 01 12 30 205  1.7  2.1 99.00 99.00 99.00 999 1021.3  15.0 999.0 999.0 99.0 99.00
2023 10 01 12 40 187  0.3  2.2 99.00 99.00 99.00 999 1021.3  15.0 999.0 999.0 99.0 99.00
2023 10 01 12 50 192  1.4  1.8 99.00 99.00 99.00 999 1021.3  15.1 999.0 999.0 99.0 99.00
2023 10 01 13 00 199  0.5  1.5 99.00 99.00 99.00 999 1021.3  15.3 999.0 999.0 99.0 99.00
2023 10 01 13 10 199  1.2  1.5 99.00 99.00 99.00 999 1021.3  15.4 999.0 999.0 99.0 99.00
2023 10 01 13 20 193  1.2  1.5 99.00 99.00 99.00 999 1021.3  15.7 999.0 999.0 99.0 99.00
2023 10 01 13 30 161  0.3  1.4 99.00 99.00 99.00 999 1021.3  16.2 999.0 999.0 99.0 99.00
2023 10 01 13 40 203  1.0  1.2 99.00 99.00 99.00 999 1021.3  16.6 999.0 999.0 99.0 99.00
2023 10 01 13 50 178  0.1  1.5 99.00 99.00 99.00 999 1021.3  17.0 999.0 999.0 99.0 99.00
2023 10 01 14 00  71  0.0  1.0 99.00 99.00 99.00 999 1021.3  18.0 999.0 999.0 99.0 99.00
2023 10 01 14 10 307  0.0  0.3 99.00 99.00 99.00 999 1021.3  18.1 999.0 999.0 99.0 99.00
2023 10 01 14 20   2  0.7  1.0 99.00 99.00 99.00 999 1021.3  17.6 999.0 999.0 99.0 99.00
2023 10 01 14 30 358  0.2  1.1 99.00 99.00 99.00 999 1021.3  17.3 999.0 999.0 99.0 99.00
