YY,MM,DD,WDIR,WSPD,ATMP,WTMP ,DISC ,Bloom
2012,6,1,1.0,1.64,12.0,12.51,17500,False
2012,6,2,7.0,4.45,15.95,12.54,14600,False
2012,6,3,6.0,3.92,20.4,12.33,12000,False
2012,6,4,1.0,1.95,13.1,12.18,10100,False
2012,6,5,1.0,1.94,11.8,12.0,8560,False
2012,6,6,1.0,2.57,11.95,11.89,7270,False
2012,6,7,1.0,1.5,12.9,11.74,6010,False
2012,6,8,1.0,2.8,16.4,11.56,5330,False
2012,6,9,1.0,2.36,14.55,11.39,4590,False
2012,6,10,1.0,3.44,13.05,11.29,3980,False
2012,6,11,5.0,6.77,21.15,11.25,3670,False
2012,6,12,6.0,5.25,13.35,11.17,3530,False
2012,6,13,5.0,2.86,14.9,11.15,3150,False
2012,6,14,1.0,3.32,12.2,11.26,2860,False
2012,6,15,1.0,1.93,13.5,11.06,3020,False
2012,6,16,1.0,1.87,14.9,11.83,3060,False
2012,6,17,5.0,4.84,18.3,12.82,3350,False
2012,6,18,1.0,2.58,15.4,13.1,4230,False
2012,6,19,6.0,2.98,18.25,13.84,5330,False
2012,6,20,1.0,4.56,16.7,15.14,35900,False
2012,6,21,6.0,4.99,18.8,16.08,45000,False
2012,6,22,6.0,3.4,19.3,16.3,42800,False
2012,6,23,5.0,1.41,17.2,16.56,39600,False
2012,6,24,1.0,2.64,17.2,17.01,37800,False
2012,6,25,1.0,1.58,15.7,17.43,35900,False
2012,6,26,1.0,1.76,18.1,18.19,31100,False
2012,6,27,1.0,2.54,18.3,18.41,25200,False
2012,6,28,6.0,4.12,22.5,18.67,19400,False
2012,6,29,6.0,5.51,24.75,19.06,14400,False
2012,6,30,7.0,3.71,25.4,20.27,10600,False
2012,7,1,1.0,1.35,22.7,20.9,8280,False
2012,7,2,1.0,3.03,20.3,20.94,6500,False
2012,7,3,5.0,4.44,22.7,20.97,5990,False
2012,7,4,1.0,2.93,22.2,21.02,6150,False
2012,7,5,7.0,4.07,25.8,20.88,5930,False
2012,7,6,1.0,2.86,21.8,20.69,5330,False
2012,7,7,1.0,2.05,19.85,20.67,4990,False
2012,7,8,7.0,2.77,25.6,21.59,4630,False
2012,7,9,7.0,2.35,24.95,22.43,4280,False
2012,7,10,1.0,1.42,21.8,22.8,3980,False
2012,7,11,5.0,3.92,25.5,22.81,3610,False
2012,7,12,5.0,3.45,25.8,22.49,3260,False
2012,7,13,5.0,3.68,24.6,22.13,3050,False
2012,7,14,5.0,2.71,23.75,21.62,2710,False
2012,7,15,1.0,2.22,25.45,21.39,2650,False
2012,7,16,1.0,3.36,23.85,21.56,2350,False
2012,7,17,1.0,3.0,20.65,21.27,2400,False
2012,7,18,1.0,5.58,20.1,21.12,2020,False
2012,7,19,1.0,5.41,19.7,20.91,1900,False
2012,7,20,5.0,3.93,20.1,21.03,1760,False
2012,7,21,5.0,2.92,25.1,21.4,1640,False
2012,7,22,1.0,1.48,23.85,21.88,1520,False
2012,7,23,6.0,3.48,25.0,22.25,1470,False
2012,7,24,1.0,3.41,23.3,22.31,1260,False
2012,7,25,1.0,3.59,21.8,21.99,1470,False
2012,7,26,1.0,3.0,21.1,21.78,1820,False
2012,7,27,1.0,3.2,19.85,22.07,2140,False
2012,7,28,5.0,2.02,21.0,22.4,2080,False
2012,7,29,1.0,2.34,23.9,22.73,1800,False
2012,7,30,5.0,4.64,25.4,22.77,1800,False
2012,7,31,7.0,2.39,24.4,22.66,1760,False
2012,8,1,5.0,4.32,24.05,22.62,1780,False
2012,8,2,7.0,4.1,25.6,22.46,1730,False
2012,8,3,1.0,4.28,20.8,22.3,1540,False
2012,8,4,5.0,5.78,20.5,22.04,1650,False
2012,8,5,6.0,5.45,18.6,21.79,1610,False
2012,8,6,5.0,5.18,21.3,21.61,1570,False
2012,8,7,7.0,3.42,24.6,21.95,1500,False
2012,8,8,1.0,1.46,19.6,21.76,1370,False
2012,8,9,1.0,4.18,18.1,20.93,1280,False
2012,8,10,1.0,2.95,17.55,20.35,1290,False
2012,8,11,1.0,1.76,18.4,20.28,1160,False
2012,8,12,5.0,1.54,19.8,20.21,1050,False
2012,8,13,7.0,3.44,21.55,20.02,1050,False
2012,8,14,7.0,1.76,21.2,19.91,978,False
2012,8,15,1.0,2.24,19.9,19.85,914,False
2012,8,16,6.0,6.17,18.7,19.53,983,False
2012,8,17,6.0,2.97,16.0,19.16,905,False
2012,8,18,6.0,4.01,18.5,19.09,838,False
2012,8,19,0.0,1.86,17.1,19.13,837,False
2012,8,20,7.0,2.69,18.6,19.06,839,False
2012,8,21,5.0,4.36,21.35,18.91,777,False
2012,8,22,5.0,4.04,21.55,18.47,728,False
2012,8,23,1.0,2.67,19.4,18.65,715,False
2012,8,24,1.0,2.65,20.1,18.86,740,False
2012,8,25,5.0,2.42,20.8,19.14,726,False
2012,8,26,5.0,4.86,23.7,19.41,625,False
2012,8,27,7.0,2.7,23.05,19.73,647,False
2012,8,28,1.0,1.98,20.6,20.09,676,False
2012,8,29,1.0,2.52,19.9,20.21,657,False
