YY,MM,DD,WDIR,WSPD,ATMP,WTMP ,DISC 
2012,6,1,0.0,2.24,9.2,9.6,332
2012,6,2,6.0,3.44,11.0,9.41,302
2012,6,3,6.0,3.18,17.9,9.51,275
2012,6,4,1.0,2.85,11.6,9.56,249
2012,6,5,0.0,3.75,10.4,9.57,229
2012,6,6,1.0,2.45,9.6,10.03,220
2012,6,7,1.0,1.54,11.0,10.77,207
2012,6,8,4.0,2.81,14.6,11.46,205
2012,6,9,0.0,2.46,12.2,11.62,194
2012,6,10,4.0,4.56,12.3,11.89,182
2012,6,11,4.0,5.95,20.0,12.27,178
2012,6,12,6.0,6.24,12.5,12.45,169
2012,6,13,4.0,2.8,14.1,12.53,163
2012,6,14,3.0,3.97,15.6,12.52,171
2012,6,15,6.0,2.13,13.7,12.57,178
2012,6,16,1.0,2.87,13.9,12.59,171
2012,6,17,5.0,4.38,15.7,12.59,174
2012,6,18,4.0,2.35,16.7,12.69,189
2012,6,19,4.0,3.28,16.4,12.76,199
2012,6,20,3.0,4.49,16.35,13.21,495
2012,6,21,6.0,4.33,17.8,13.75,476
2012,6,22,6.0,3.22,17.6,14.24,331
2012,6,23,3.0,1.67,16.2,14.46,279
2012,6,24,1.0,3.83,15.3,14.93,268
2012,6,25,1.0,2.45,13.7,15.25,245
2012,6,26,1.0,2.42,16.5,15.39,224
2012,6,27,1.0,2.58,17.0,15.66,205
2012,6,28,5.0,3.29,20.7,16.17,194
2012,6,29,5.0,4.57,22.8,16.79,180
2012,6,30,6.0,2.81,22.1,17.3,172
2012,7,1,1.0,2.71,20.8,17.99,166
2012,7,2,1.0,4.42,18.2,17.81,161
2012,7,3,6.0,3.24,19.6,17.68,172
2012,7,4,1.0,4.51,18.85,17.5,164
2012,7,5,6.0,3.11,23.25,17.25,156
2012,7,6,3.0,3.29,17.8,17.65,155
2012,7,7,6.0,2.29,17.7,18.2,153
2012,7,8,6.0,2.34,21.9,19.83,146
2012,7,9,6.0,2.56,20.2,21.12,143
2012,7,10,3.0,1.59,19.8,21.69,139
2012,7,11,3.0,2.56,23.8,21.93,137
2012,7,12,4.0,3.32,24.7,21.62,134
2012,7,13,4.0,3.24,25.4,22.07,133
2012,7,14,5.0,2.5,22.3,22.65,131
2012,7,15,4.0,1.76,23.8,22.7,130
2012,7,16,3.0,3.64,24.85,22.49,129
2012,7,17,1.0,4.56,20.8,22.25,128
2012,7,18,1.0,3.44,18.8,21.9,128
2012,7,19,1.0,5.0,13.3,21.41,126
2012,7,20,4.0,3.19,18.3,21.06,125
2012,7,21,0.0,2.88,25.1,21.58,123
2012,7,22,3.0,2.82,22.0,21.92,120
2012,7,23,6.0,3.51,24.0,22.03,119
2012,7,24,1.0,4.11,21.8,22.08,117
2012,7,25,6.0,2.59,21.75,21.68,145
2012,7,26,1.0,3.71,20.7,21.07,143
2012,7,27,1.0,5.45,18.9,20.47,134
2012,7,28,3.0,1.64,18.9,20.98,127
2012,7,29,3.0,1.93,21.7,21.94,123
2012,7,30,4.0,4.17,23.2,22.46,124
2012,7,31,7.0,1.84,22.6,22.61,122
2012,8,1,4.0,4.01,23.2,22.77,120
2012,8,2,6.0,3.15,24.6,22.93,119
2012,8,3,1.0,3.65,20.9,22.67,118
2012,8,4,5.0,4.06,21.3,21.89,134
2012,8,5,6.0,7.09,19.0,21.32,126
2012,8,6,4.0,3.92,19.6,21.32,121
2012,8,7,7.0,2.08,21.3,21.72,120
2012,8,8,3.0,1.73,17.8,21.76,121
2012,8,9,1.0,4.87,17.4,21.4,122
2012,8,10,1.0,4.87,14.1,21.03,121
2012,8,11,3.0,1.86,14.6,20.61,119
2012,8,12,3.0,1.81,17.8,20.33,117
2012,8,13,4.0,2.72,19.1,20.18,117
2012,8,14,3.0,1.89,17.7,20.1,116
2012,8,15,3.0,2.29,19.3,19.85,115
2012,8,16,6.0,7.92,18.4,19.33,120
2012,8,17,7.0,5.75,16.15,18.99,117
2012,8,18,4.0,3.3,15.7,19.02,118
2012,8,19,4.0,1.51,14.9,19.11,125
2012,8,20,3.0,2.65,14.5,18.98,120
2012,8,21,6.0,2.93,16.35,18.94,118
2012,8,22,4.0,2.9,19.9,19.06,116
2012,8,23,3.0,2.18,20.4,19.33,119
2012,8,24,1.0,3.54,20.3,19.5,126
2012,8,25,4.0,3.2,24.2,19.76,125
2012,8,26,4.0,3.54,21.7,19.85,121
2012,8,27,4.0,2.12,19.0,19.9,119
2012,8,28,3.0,3.02,18.1,20.01,118
2012,8,29,1.0,3.13,19.2,19.94,118
2012,8,30,4.0,2.75,22.2,19.9,118
2012,8,31,4.0,1.89,18.9,19.92,117
2012,9,1,3.0,3.03,17.7,19.94,116
2012,9,2,3.0,2.84,19.2,19.83,115
2012,9,3,4.0,1.79,19.6,19.92,114
2012,9,4,3.0,2.85,19.9,20.0,114
2012,9,5,4.0,2.61,18.0,19.81,115
2012,9,6,4.0,2.84,16.9,19.76,115
2012,9,7,4.0,3.68,15.2,19.5,120
2012,9,8,7.0,6.99,15.6,19.16,123
2012,9,9,0.0,5.08,15.3,18.88,121
2012,9,10,4.0,4.07,14.6,18.71,119
2012,9,11,4.0,5.04,21.6,18.38,118
2012,9,12,5.0,3.65,17.2,17.82,117
2012,9,13,4.0,3.77,14.0,17.26,117
2012,9,14,7.0,2.43,13.85,17.01,117
