date,WDIRcos,WDIRsin,WSPD,ATMP,WTMP,DISC,bloom
2013-06-01,1.0,0.0,5.43,5.45,2.6,1880.0,0.0
2013-06-02,1.0,0.0,5.17,3.8,2.59,1840.0,0.0
2013-06-03,-0.0,-1.0,6.19,4.2,2.62,1750.0,0.0
2013-06-04,-0.0,-1.0,5.37,6.25,2.62,1590.0,0.0
2013-06-05,0.0,1.0,4.52,5.7,2.74,1450.0,0.0
2013-06-06,0.71,0.71,4.41,5.55,2.93,1340.0,0.0
2013-06-07,-0.0,-1.0,5.77,9.35,3.01,1250.0,0.0
2013-06-08,-0.0,-1.0,5.85,11.5,3.02,1170.0,0.0
2013-06-09,0.0,1.0,4.25,6.25,2.82,1090.0,0.0
2013-06-10,0.0,1.0,4.77,6.55,2.9,1060.0,0.0
2013-06-11,-0.0,-1.0,4.02,6.55,3.17,1060.0,0.0
2013-06-12,-0.0,-1.0,3.4,8.05,3.35,1020.0,0.0
2013-06-13,1.0,0.0,4.42,8.35,3.33,948.0,0.0
2013-06-14,0.0,1.0,5.18,6.6,3.2,877.0,0.0
2013-06-15,0.0,1.0,4.2,5.35,3.21,811.0,0.0
2013-06-16,-0.0,-1.0,2.9,6.2,3.3,769.0,0.0
2013-06-17,0.71,0.71,4.38,7.3,3.35,763.0,0.0
2013-06-18,-0.0,-1.0,6.34,9.2,3.22,724.0,0.0
2013-06-19,-1.0,0.0,4.77,7.55,3.15,675.0,0.0
2013-06-20,0.0,1.0,4.72,7.65,3.23,636.0,0.0
2013-06-21,0.0,1.0,7.18,5.75,3.39,604.0,0.0
2013-06-22,0.71,0.71,4.28,12.2,3.64,580.0,0.0
2013-06-23,0.0,1.0,4.69,6.5,3.9,565.0,0.0
2013-06-24,-0.71,-0.71,5.04,6.85,4.14,555.0,0.0
2013-06-25,-0.71,-0.71,4.2,10.6,4.28,530.0,0.0
2013-06-26,0.0,1.0,5.0,6.75,4.28,506.0,0.0
2013-06-27,-0.0,-1.0,4.6,9.2,4.28,514.0,0.0
2013-06-28,1.0,0.0,3.65,6.35,4.43,568.0,0.0
2013-06-29,1.0,0.0,5.38,13.55,4.59,669.0,0.0
2013-06-30,-0.0,-1.0,6.02,13.6,4.61,690.0,0.0
2013-07-01,0.71,0.71,6.69,11.95,4.41,621.0,0.0
2013-07-02,0.71,-0.71,2.38,10.85,4.35,566.0,0.0
2013-07-03,0.0,1.0,3.28,7.25,4.35,508.0,0.0
2013-07-04,0.0,1.0,2.96,8.55,4.47,468.0,0.0
2013-07-05,-0.71,-0.71,5.23,13.0,4.54,432.0,0.0
2013-07-06,-0.71,-0.71,4.75,12.85,4.71,413.0,0.0
2013-07-07,0.71,0.71,6.28,9.7,5.14,776.0,0.0
2013-07-08,0.0,1.0,4.36,7.85,5.51,669.0,0.0
2013-07-09,0.71,0.71,3.3,7.1,5.19,590.0,0.0
2013-07-10,-0.0,-1.0,5.98,10.0,4.9,628.0,0.0
2013-07-11,-1.0,0.0,4.41,10.65,4.53,554.0,0.0
2013-07-12,-1.0,0.0,5.9,11.7,4.56,486.0,0.0
2013-07-13,-1.0,0.0,4.44,11.7,4.83,436.0,0.0
2013-07-14,0.0,1.0,3.86,11.05,5.61,410.0,0.0
2013-07-15,-0.71,-0.71,3.69,11.9,6.58,420.0,0.0
2013-07-16,0.0,1.0,4.46,8.75,7.68,433.0,0.0
2013-07-17,-0.0,-1.0,5.31,16.6,8.88,414.0,0.0
2013-07-18,0.0,1.0,4.45,13.5,10.0,1040.0,0.0
2013-07-19,-0.0,-1.0,8.3,14.15,10.84,3160.0,0.0
2013-07-20,1.0,0.0,4.78,11.45,11.3,2550.0,0.0
2013-07-21,-0.0,-1.0,5.16,11.0,11.52,1990.0,0.0
2013-07-22,-0.71,0.71,5.14,9.5,11.57,1530.0,0.0
2013-07-23,1.0,0.0,7.74,11.9,11.7,1270.0,0.0
2013-07-24,-0.0,-1.0,7.19,12.8,11.8,1110.0,0.0
2013-07-25,-1.0,0.0,5.65,10.6,11.5,1020.0,0.0
2013-07-26,0.71,0.71,6.05,8.5,10.72,1080.0,0.0
2013-07-27,1.0,0.0,3.04,7.65,9.77,1170.0,0.0
2013-07-28,1.0,0.0,4.97,8.55,9.02,1120.0,0.0
2013-07-29,-0.0,-1.0,6.13,10.7,8.7,1060.0,0.0
2013-07-30,-0.71,-0.71,3.32,10.2,9.29,980.0,0.0
2013-07-31,-0.71,-0.71,5.95,11.15,10.14,936.0,0.0
2013-08-01,-0.0,-1.0,7.94,12.45,10.45,872.0,0.0
2013-08-02,-0.0,-1.0,7.9,12.1,11.24,833.0,0.0
2013-08-03,-0.0,-1.0,5.53,14.15,11.66,788.0,0.0
2013-08-04,-0.0,-1.0,6.25,12.7,11.92,746.0,0.0
2013-08-05,-0.71,-0.71,3.82,11.3,12.14,701.0,0.0
2013-08-06,-0.71,-0.71,2.5,11.75,12.83,666.0,0.0
2013-08-07,1.0,0.0,3.49,12.8,13.29,650.0,0.0
2013-08-08,-0.0,-1.0,6.37,12.9,13.22,627.0,0.0
2013-08-09,-0.0,-1.0,5.6,13.1,13.19,594.0,0.0
2013-08-10,-0.0,-1.0,7.04,14.25,13.25,567.0,0.0
2013-08-11,-0.0,-1.0,8.57,15.4,13.22,539.0,0.0
2013-08-12,-0.0,-1.0,4.13,13.75,13.32,513.0,0.0
2013-08-13,1.0,0.0,3.45,12.95,13.3,488.0,0.0
2013-08-14,-0.0,-1.0,8.8,13.3,13.25,465.0,0.0
2013-08-15,-0.0,-1.0,10.01,15.25,13.17,443.0,0.0
2013-08-16,-0.0,-1.0,4.32,15.4,13.25,422.0,0.0
2013-08-17,-0.71,-0.71,6.72,15.95,13.37,404.0,0.0
2013-08-18,-0.71,-0.71,8.29,15.4,13.55,387.0,0.0
2013-08-19,-0.71,-0.71,7.43,15.8,13.77,373.0,0.0
2013-08-20,-0.71,-0.71,6.82,16.45,13.93,361.0,0.0
2013-08-21,-0.71,-0.71,6.81,18.0,13.98,346.0,0.0
2013-08-22,-0.0,-1.0,5.48,16.25,14.09,332.0,0.0
2013-08-23,-1.0,0.0,3.63,16.2,14.02,322.0,0.0
2013-08-24,-1.0,0.0,4.98,16.5,14.06,311.0,0.0
2013-08-25,-0.71,-0.71,8.12,18.65,14.22,301.0,0.0
2013-08-26,0.71,-0.71,4.41,18.8,14.54,291.0,0.0
2013-08-27,0.0,1.0,3.51,15.15,14.81,282.0,0.0
2013-08-28,0.0,1.0,3.17,17.6,14.9,272.0,0.0
2013-08-29,-0.0,-1.0,3.83,18.0,15.08,267.0,0.0
2013-08-30,1.0,0.0,4.76,17.45,15.13,313.0,0.0
2013-08-31,-1.0,0.0,5.6,15.4,14.83,305.0,0.0
2013-09-01,1.0,0.0,5.95,15.05,14.61,349.0,0.0
2013-09-02,1.0,0.0,8.02,10.95,14.56,313.0,0.0
2013-09-03,-0.0,-1.0,6.92,14.3,14.51,293.0,0.0
2013-09-04,0.71,0.71,6.03,11.5,14.34,273.0,0.0
2013-09-05,-0.71,-0.71,3.99,12.7,14.23,258.0,0.0
2013-09-06,-0.71,-0.71,6.7,15.4,14.28,245.0,0.0
2013-09-07,0.71,0.71,3.38,16.25,14.4,236.0,0.0
2013-09-08,0.0,1.0,5.51,12.55,14.39,224.0,0.0
2013-09-09,-0.71,0.71,3.72,13.7,14.39,228.0,0.0
2013-09-10,0.71,0.71,4.01,13.85,14.44,279.0,0.0
2013-09-11,-0.0,-1.0,3.91,14.1,14.49,270.0,0.0
2013-09-12,1.0,0.0,4.66,11.5,14.46,260.0,0.0
2013-09-13,0.71,0.71,3.52,10.3,14.39,246.0,0.0
2013-09-14,-0.71,-0.71,9.1,13.65,14.26,233.0,0.0
2013-09-15,0.71,0.71,6.79,10.85,14.08,239.0,0.0
2013-09-16,-1.0,0.0,4.28,10.1,13.98,241.0,0.0
2013-09-17,-1.0,0.0,7.6,12.3,13.92,235.0,0.0
2013-09-18,-1.0,0.0,5.25,13.45,13.84,227.0,0.0
2013-09-19,0.0,1.0,5.0,13.75,13.81,401.0,0.0
2013-09-20,-0.0,-1.0,7.44,14.55,13.76,1140.0,0.0
2013-09-21,0.71,-0.71,8.79,8.75,13.71,1010.0,0.0
2013-09-22,0.71,0.71,3.47,7.65,13.72,799.0,0.0
2013-09-23,-0.71,0.71,8.63,10.85,13.76,644.0,0.0
2013-09-24,-1.0,0.0,6.83,12.4,13.9,542.0,0.0
2013-09-25,0.0,1.0,3.17,11.9,13.96,474.0,0.0
2013-09-26,0.0,1.0,4.54,12.1,14.05,423.0,0.0
2013-09-27,-0.71,0.71,7.45,14.1,14.0,383.0,0.0
2013-09-28,-0.71,0.71,12.2,15.25,13.85,359.0,0.0
2013-09-29,-0.71,-0.71,10.06,11.95,13.72,383.0,0.0
2013-09-30,-1.0,0.0,6.76,13.95,13.72,378.0,0.0
2013-10-01,-1.0,0.0,8.6,14.6,13.75,353.0,0.0
2013-10-02,-0.0,-1.0,11.31,14.45,13.66,326.0,0.0
2013-10-03,-0.0,-1.0,4.65,13.15,13.58,307.0,0.0
2013-10-04,0.71,0.71,6.58,11.6,13.4,294.0,0.0
2013-10-05,0.0,1.0,12.5,8.3,13.06,287.0,0.0
2013-10-06,0.0,1.0,8.62,9.05,12.67,625.0,0.0
2013-10-07,0.71,-0.71,8.83,8.85,12.32,797.0,0.0
2013-10-08,-1.0,0.0,6.65,11.15,12.18,669.0,0.0
2013-10-09,-0.71,-0.71,8.59,13.75,12.21,571.0,0.0
2013-10-10,-0.71,-0.71,4.71,12.65,12.35,510.0,0.0
2013-10-11,-0.71,0.71,7.3,11.85,12.46,460.0,0.0
2013-10-12,-0.71,0.71,11.63,12.4,12.51,422.0,0.0
2013-10-13,-0.0,-1.0,11.26,10.25,12.52,393.0,0.0
2013-10-14,-0.71,-0.71,4.63,9.8,12.42,366.0,0.0
2013-10-15,0.0,1.0,7.31,9.0,12.31,373.0,0.0
2013-10-16,1.0,0.0,5.47,6.9,12.15,459.0,0.0
2013-10-17,-0.0,-1.0,4.8,8.1,12.01,475.0,0.0
2013-10-18,1.0,0.0,4.53,6.05,11.93,465.0,0.0
2013-10-19,-1.0,0.0,4.88,6.0,11.66,450.0,0.0
2013-10-20,0.71,0.71,3.38,5.45,11.28,428.0,0.0
2013-10-21,0.71,-0.71,7.87,4.2,10.84,427.0,0.0
2013-10-22,1.0,0.0,8.56,2.3,10.47,446.0,0.0
2013-10-23,0.71,-0.71,9.63,1.85,10.31,433.0,0.0
2013-10-24,0.71,-0.71,9.35,2.55,10.26,404.0,0.0
