YY,MM,DD,WDIRcos,WDIRsin,WSPD,ATMP
2012,6,1,0.71,0.71,1.64,12.0
2012,6,2,0.71,-0.71,4.45,15.95
2012,6,3,-0.0,-1.0,3.92,20.4
2012,6,4,0.71,0.71,1.95,13.1
2012,6,5,0.71,0.71,1.94,11.8
2012,6,6,0.71,0.71,2.57,11.95
2012,6,7,0.71,0.71,1.5,12.9
2012,6,8,0.71,0.71,2.8,16.4
2012,6,9,0.71,0.71,2.36,14.55
2012,6,10,0.71,0.71,3.44,13.05
2012,6,11,-0.71,-0.71,6.77,21.15
2012,6,12,-0.0,-1.0,5.25,13.35
2012,6,13,-0.71,-0.71,2.86,14.9
2012,6,14,0.71,0.71,3.32,12.2
2012,6,15,0.71,0.71,1.93,13.5
2012,6,16,0.71,0.71,1.87,14.9
2012,6,17,-0.71,-0.71,4.84,18.3
2012,6,18,0.71,0.71,2.58,15.4
2012,6,19,-0.0,-1.0,2.98,18.25
2012,6,20,0.71,0.71,4.56,16.7
2012,6,21,-0.0,-1.0,4.99,18.8
2012,6,22,-0.0,-1.0,3.4,19.3
2012,6,23,-0.71,-0.71,1.41,17.2
2012,6,24,0.71,0.71,2.64,17.2
2012,6,25,0.71,0.71,1.58,15.7
2012,6,26,0.71,0.71,1.76,18.1
2012,6,27,0.71,0.71,2.54,18.3
2012,6,28,-0.0,-1.0,4.12,22.5
2012,6,29,-0.0,-1.0,5.51,24.75
2012,6,30,0.71,-0.71,3.71,25.4
2012,7,1,0.71,0.71,1.35,22.7
2012,7,2,0.71,0.71,3.03,20.3
2012,7,3,-0.71,-0.71,4.44,22.7
2012,7,4,0.71,0.71,2.93,22.2
2012,7,5,0.71,-0.71,4.07,25.8
2012,7,6,0.71,0.71,2.86,21.8
2012,7,7,0.71,0.71,2.05,19.85
2012,7,8,0.71,-0.71,2.77,25.6
2012,7,9,0.71,-0.71,2.35,24.95
2012,7,10,0.71,0.71,1.42,21.8
2012,7,11,-0.71,-0.71,3.92,25.5
2012,7,12,-0.71,-0.71,3.45,25.8
2012,7,13,-0.71,-0.71,3.68,24.6
2012,7,14,-0.71,-0.71,2.71,23.75
2012,7,15,0.71,0.71,2.22,25.45
2012,7,16,0.71,0.71,3.36,23.85
2012,7,17,0.71,0.71,3.0,20.65
2012,7,18,0.71,0.71,5.58,20.1
2012,7,19,0.71,0.71,5.41,19.7
2012,7,20,-0.71,-0.71,3.93,20.1
2012,7,21,-0.71,-0.71,2.92,25.1
2012,7,22,0.71,0.71,1.48,23.85
2012,7,23,-0.0,-1.0,3.48,25.0
2012,7,24,0.71,0.71,3.41,23.3
2012,7,25,0.71,0.71,3.59,21.8
2012,7,26,0.71,0.71,3.0,21.1
2012,7,27,0.71,0.71,3.2,19.85
2012,7,28,-0.71,-0.71,2.02,21.0
2012,7,29,0.71,0.71,2.34,23.9
2012,7,30,-0.71,-0.71,4.64,25.4
2012,7,31,0.71,-0.71,2.39,24.4
2012,8,1,-0.71,-0.71,4.32,24.05
2012,8,2,0.71,-0.71,4.1,25.6
2012,8,3,0.71,0.71,4.28,20.8
2012,8,4,-0.71,-0.71,5.78,20.5
2012,8,5,-0.0,-1.0,5.45,18.6
2012,8,6,-0.71,-0.71,5.18,21.3
2012,8,7,0.71,-0.71,3.42,24.6
2012,8,8,0.71,0.71,1.46,19.6
2012,8,9,0.71,0.71,4.18,18.1
2012,8,10,0.71,0.71,2.95,17.55
2012,8,11,0.71,0.71,1.76,18.4
2012,8,12,-0.71,-0.71,1.54,19.8
2012,8,13,0.71,-0.71,3.44,21.55
2012,8,14,0.71,-0.71,1.76,21.2
2012,8,15,0.71,0.71,2.24,19.9
2012,8,16,-0.0,-1.0,6.17,18.7
2012,8,17,-0.0,-1.0,2.97,16.0
2012,8,18,-0.0,-1.0,4.01,18.5
2012,8,19,1.0,0.0,1.86,17.1
2012,8,20,0.71,-0.71,2.69,18.6
2012,8,21,-0.71,-0.71,4.36,21.35
2012,8,22,-0.71,-0.71,4.04,21.55
2012,8,23,0.71,0.71,2.67,19.4
2012,8,24,0.71,0.71,2.65,20.1
2012,8,25,-0.71,-0.71,2.42,20.8
2012,8,26,-0.71,-0.71,4.86,23.7
2012,8,27,0.71,-0.71,2.7,23.05
2012,8,28,0.71,0.71,1.98,20.6
2012,8,29,0.71,0.71,2.52,19.9
2012,8,30,-0.71,-0.71,2.65,20.5
2012,8,31,-0.71,0.71,2.54,23.0
2012,9,1,0.71,0.71,2.1,21.1
2012,9,2,0.71,0.71,2.87,20.15
2012,9,3,-0.71,-0.71,1.8,20.9
2012,9,4,0.71,0.71,1.77,22.75
2012,9,5,-0.0,-1.0,3.54,21.0
2012,9,6,-0.0,-1.0,5.1,19.1
2012,9,7,0.71,-0.71,5.03,15.6
2012,9,8,0.71,-0.71,4.97,15.1
2012,9,9,0.71,-0.71,4.08,15.1
2012,9,10,-0.71,-0.71,2.65,16.75
2012,9,11,-0.71,-0.71,2.63,19.7
2012,9,12,-0.71,-0.71,4.03,18.0
2012,9,13,-0.0,-1.0,5.94,15.55
2012,9,14,0.71,-0.71,2.62,14.9
2012,9,15,0.71,0.71,2.43,13.3
2012,9,16,0.71,0.71,1.6,13.4
2012,9,17,0.71,-0.71,5.49,13.3
2012,9,18,0.71,-0.71,3.88,9.7
2012,9,19,-0.71,-0.71,4.17,11.15
2012,9,20,-0.0,-1.0,5.52,11.9
2012,9,21,-0.0,-1.0,4.56,10.9
2012,9,22,0.71,-0.71,5.6,7.7
2012,9,23,-0.0,-1.0,2.82,8.35
2012,9,24,-0.71,-0.71,5.93,10.0
2012,9,25,1.0,0.0,1.72,10.85
2012,9,26,0.71,-0.71,1.88,10.5
2012,9,27,-0.71,-0.71,1.21,9.75
2012,9,28,-0.71,-0.71,1.79,11.6
2012,9,29,0.71,0.71,1.33,12.6
2012,9,30,0.71,0.71,1.74,10.2
2012,10,1,1.0,0.0,2.09,10.2
2012,10,2,0.71,0.71,2.34,12.7
2012,10,3,0.71,0.71,1.34,11.3
2012,10,4,0.71,0.71,6.44,11.7
2012,10,5,-0.0,-1.0,9.3,4.8
2012,10,6,0.71,-0.71,4.42,3.85
2012,10,7,-0.71,-0.71,5.58,4.8
2012,10,8,-0.71,-0.71,2.58,5.8
2012,10,9,-0.71,-0.71,5.24,7.1
2012,10,10,-0.71,-0.71,4.82,3.8
2012,10,11,0.71,-0.71,4.74,3.8
2012,10,12,0.71,0.71,2.38,2.8
2012,10,13,0.71,0.71,1.76,5.7
2012,10,14,0.71,0.71,1.72,6.3
2012,10,15,0.71,0.71,1.46,6.5
2012,10,16,0.71,0.71,2.2,6.5
2012,10,17,0.71,0.71,3.94,7.5
2012,10,18,-0.71,-0.71,2.14,8.4
2012,10,19,0.71,0.71,2.89,7.9
2012,10,20,0.71,0.71,1.05,6.4
2012,10,21,0.71,0.71,1.65,6.8
2012,10,22,0.71,0.71,2.77,7.9
2012,10,23,0.71,0.71,8.49,7.3
2012,10,24,0.71,0.71,2.12,7.7
2012,10,25,0.71,-0.71,8.16,6.35
2012,10,26,-0.0,-1.0,6.26,3.2
2012,10,27,-0.0,-1.0,3.78,2.2
2012,10,28,-0.71,-0.71,1.73,1.8
2012,10,29,0.71,0.71,2.67,4.0
2012,10,30,0.71,0.71,4.33,3.8
2012,10,31,1.0,0.0,2.57,2.2
2013,6,1,0.71,0.71,1.81,7.7
2013,6,2,0.71,0.71,3.08,9.3
2013,6,3,0.71,0.71,1.85,9.1
2013,6,4,0.71,0.71,2.91,8.6
2013,6,5,0.71,0.71,5.43,6.9
2013,6,6,0.71,0.71,5.62,6.85
2013,6,7,0.71,0.71,1.51,8.8
2013,6,8,0.71,0.71,1.8,11.6
2013,6,9,0.71,0.71,3.61,8.5
2013,6,10,0.71,0.71,2.0,7.9
2013,6,11,0.71,0.71,1.96,10.0
2013,6,12,0.71,0.71,1.58,15.0
2013,6,13,0.71,0.71,2.31,17.6
2013,6,14,0.71,0.71,2.54,11.5
2013,6,15,0.71,0.71,2.64,9.35
2013,6,16,-0.0,-1.0,4.8,18.6
2013,6,17,0.71,0.71,4.86,9.3
2013,6,18,0.71,0.71,1.93,10.2
2013,6,19,0.71,0.71,1.56,12.05
2013,6,20,0.71,0.71,2.39,12.1
2013,6,21,0.71,0.71,3.07,10.8
2013,6,22,0.71,0.71,3.54,10.5
2013,6,23,0.71,0.71,2.94,9.25
2013,6,24,-0.71,-0.71,2.63,17.25
2013,6,25,0.71,0.71,2.01,20.6
2013,6,26,0.71,0.71,2.03,14.5
2013,6,27,-0.0,-1.0,3.88,18.9
2013,6,28,-0.0,-1.0,3.71,19.3
2013,6,29,0.71,0.71,1.34,16.35
2013,6,30,0.0,1.0,1.33,19.4
2013,7,1,0.71,0.71,2.7,16.8
2013,7,2,0.71,0.71,1.74,13.5
2013,7,3,0.71,0.71,1.64,14.5
2013,7,4,0.71,0.71,1.65,15.5
2013,7,5,0.71,0.71,2.05,17.65
2013,7,6,-0.71,-0.71,2.99,23.7
2013,7,7,0.71,0.71,3.49,15.35
2013,7,8,0.71,0.71,3.44,12.6
2013,7,9,0.71,0.71,1.94,12.0
2013,7,10,0.71,-0.71,4.26,19.4
2013,7,11,0.71,0.71,2.16,20.4
2013,7,12,0.71,0.71,2.02,17.1
2013,7,13,-0.71,-0.71,2.36,20.5
2013,7,14,0.71,0.71,1.59,17.55
2013,7,15,0.71,0.71,1.41,19.0
2013,7,16,0.71,0.71,2.67,16.95
2013,7,17,-0.71,-0.71,3.99,27.9
2013,7,18,0.71,0.71,2.75,18.9
2013,7,19,-0.0,-1.0,5.94,25.2
2013,7,20,0.71,0.71,3.07,17.9
2013,7,21,0.71,0.71,4.39,15.3
2013,7,22,0.71,0.71,4.67,15.55
2013,7,23,0.71,0.71,2.65,18.1
2013,7,24,-0.71,-0.71,2.48,17.7
2013,7,25,-0.71,-0.71,3.48,21.05
2013,7,26,0.71,0.71,3.11,13.9
2013,7,27,0.71,-0.71,3.33,12.1
2013,7,28,0.71,-0.71,3.64,13.0
2013,7,29,-0.71,-0.71,2.09,17.9
2013,7,30,0.71,0.71,1.85,18.1
2013,7,31,-0.0,-1.0,5.21,21.45
2013,8,1,-0.0,-1.0,5.35,20.2
2013,8,2,0.71,-0.71,3.01,19.7
2013,8,3,0.71,-0.71,3.61,19.65
2013,8,4,1.0,0.0,1.54,17.8
2013,8,5,0.71,0.71,1.94,16.9
2013,8,6,-0.71,-0.71,2.29,16.9
2013,8,7,0.71,-0.71,3.06,19.5
2013,8,8,-0.71,-0.71,2.43,17.55
2013,8,9,-0.0,-1.0,4.67,19.2
2013,8,10,-0.71,-0.71,1.7,18.05
2013,8,11,-0.71,-0.71,2.56,20.35
2013,8,12,0.71,0.71,2.88,19.2
2013,8,13,0.71,0.71,1.52,16.1
2013,8,14,0.0,1.0,1.32,15.9
2013,8,15,-0.71,-0.71,1.87,19.4
2013,8,16,-0.71,-0.71,1.71,20.45
2013,8,17,-0.71,-0.71,4.36,22.3
2013,8,18,-0.71,-0.71,4.78,21.7
2013,8,19,-0.71,-0.71,4.41,22.15
2013,8,20,-0.71,-0.71,3.59,24.8
2013,8,21,-0.71,-0.71,3.79,26.1
2013,8,22,0.0,1.0,1.94,22.15
2013,8,23,0.71,0.71,1.19,19.0
2013,8,24,0.71,0.71,2.43,19.1
2013,8,25,-0.71,-0.71,5.3,26.35
2013,8,26,0.71,0.71,2.01,23.2
2013,8,27,0.71,0.71,2.12,21.1
2013,8,28,0.71,0.71,1.2,19.9
2013,8,29,0.71,0.71,1.26,21.1
2013,8,30,0.71,0.71,2.17,23.0
2013,8,31,-0.71,-0.71,2.55,20.6
2013,9,1,0.71,-0.71,5.31,20.75
2013,9,2,1.0,0.0,2.21,14.7
2013,9,3,-0.71,-0.71,3.32,16.8
2013,9,4,0.71,0.71,3.99,16.7
2013,9,5,0.71,0.71,1.44,15.1
2013,9,6,-0.71,-0.71,1.91,17.3
2013,9,7,0.71,0.71,2.29,19.7
2013,9,8,0.71,0.71,3.39,16.0
2013,9,9,0.71,0.71,2.79,15.4
2013,9,10,-0.71,-0.71,2.86,19.75
2013,9,11,0.71,-0.71,4.33,20.95
2013,9,12,1.0,0.0,2.94,15.9
2013,9,13,1.0,0.0,1.44,14.2
2013,9,14,-0.71,-0.71,4.49,15.55
2013,9,15,0.71,0.71,3.94,14.2
2013,9,16,-0.71,-0.71,1.39,10.7
2013,9,17,0.71,0.71,1.92,12.85
2013,9,18,0.71,0.71,2.23,15.3
2013,9,19,0.71,0.71,2.09,15.7
2013,9,20,0.71,-0.71,3.56,16.0
2013,9,21,0.71,-0.71,2.66,11.7
2013,9,22,0.71,0.71,3.22,11.85
2013,9,23,0.71,0.71,3.12,13.4
2013,9,24,0.71,0.71,1.58,14.2
2013,9,25,0.71,0.71,2.05,12.7
2013,9,26,0.71,0.71,4.69,12.7
2013,9,27,0.71,0.71,2.31,15.1
2013,9,28,-0.71,-0.71,3.13,18.6
2013,9,29,-0.71,-0.71,4.18,12.25
2013,9,30,-0.71,-0.71,3.2,16.3
2013,10,1,-0.71,-0.71,4.3,18.8
2013,10,2,-0.71,-0.71,3.72,15.05
2013,10,3,0.71,0.71,3.98,13.0
2013,10,4,0.71,0.71,6.83,12.4
2013,10,5,0.71,0.71,11.48,10.0
2013,10,6,0.71,0.71,5.49,10.15
2013,10,7,0.71,-0.71,4.38,10.1
2013,10,8,0.71,0.71,1.95,12.7
2013,10,9,-0.71,-0.71,3.44,18.0
2013,10,10,0.71,0.71,1.96,13.8
2013,10,11,0.71,0.71,3.84,13.65
2013,10,12,-0.71,-0.71,6.53,13.9
2013,10,13,-0.71,-0.71,3.53,10.2
2013,10,14,0.71,0.71,2.18,9.6
2013,10,15,0.71,0.71,8.86,9.7
2013,10,16,1.0,0.0,2.93,7.7
2013,10,17,-0.71,-0.71,2.04,7.9
2013,10,18,0.71,-0.71,3.32,7.3
2013,10,19,-0.71,-0.71,2.72,5.8
2013,10,20,0.71,-0.71,2.13,3.8
2013,10,21,-0.0,-1.0,6.07,2.1
2013,10,22,0.71,-0.71,3.16,2.9
2013,10,23,0.71,-0.71,4.71,2.1
2013,10,24,-0.0,-1.0,3.25,1.9
2013,10,25,-0.71,-0.71,5.15,3.0
2013,10,26,0.71,-0.71,4.45,6.7
2013,10,27,-0.71,-0.71,3.87,4.9
2013,10,28,0.71,0.71,3.5,2.0
2013,10,29,-0.0,-1.0,1.28,1.2
2013,10,30,0.71,0.71,1.89,4.45
2013,10,31,0.71,0.71,1.03,7.2
2014,6,1,0.71,0.71,2.02,8.0
2014,6,2,0.71,0.71,2.02,8.0
2014,6,3,-0.0,-1.0,6.65,17.15
2014,6,4,0.71,0.71,1.68,12.9
2014,6,5,0.71,0.71,2.15,8.9
2014,6,6,0.0,1.0,1.85,11.65
2014,6,7,0.71,0.71,2.18,13.3
2014,6,8,0.0,1.0,1.44,14.05
2014,6,9,0.0,1.0,1.82,10.45
2014,6,10,0.71,0.71,2.23,9.75
2014,6,11,0.0,1.0,2.06,10.6
2014,6,12,-0.0,-1.0,6.2,11.45
2014,6,13,0.71,-0.71,4.09,14.0
2014,6,14,0.71,0.71,5.04,7.65
2014,6,15,0.71,0.71,7.22,8.3
2014,6,16,-0.71,-0.71,4.17,18.85
2014,6,17,0.71,0.71,1.57,13.9
2014,6,18,0.71,0.71,6.7,11.5
2014,6,19,0.71,0.71,6.13,9.4
2014,6,20,0.71,0.71,3.31,7.6
2014,6,21,0.71,0.71,3.77,7.2
2014,6,22,0.71,0.71,2.55,8.6
2014,6,23,0.0,1.0,1.29,10.0
2014,6,24,0.0,1.0,3.46,10.5
2014,6,25,0.71,0.71,5.61,9.3
2014,6,26,0.71,0.71,2.54,9.5
2014,6,27,0.71,0.71,3.09,9.3
2014,6,28,0.71,0.71,2.87,10.25
2014,6,29,0.71,0.71,3.53,13.5
2014,6,30,-0.71,-0.71,7.86,23.65
2014,7,1,-0.0,-1.0,6.68,20.4
2014,7,2,1.0,0.0,3.8,16.35
2014,7,3,0.71,-0.71,2.8,19.3
2014,7,4,0.71,0.71,2.45,16.1
2014,7,5,-0.71,-0.71,3.8,16.75
2014,7,6,-0.71,-0.71,4.27,21.05
2014,7,7,-0.0,-1.0,5.21,23.15
2014,7,8,0.71,0.71,2.18,12.7
2014,7,9,0.71,-0.71,3.07,17.25
2014,7,10,0.71,0.71,1.7,15.5
2014,7,11,0.0,1.0,1.61,13.5
2014,7,12,-0.71,-0.71,2.12,20.8
2014,7,13,-0.0,-1.0,5.69,19.65
2014,7,14,-0.0,-1.0,4.05,14.1
2014,7,15,1.0,0.0,3.97,15.4
2014,7,16,0.71,0.71,1.88,15.5
2014,7,17,-0.71,-0.71,3.37,20.5
2014,7,18,0.71,0.71,2.06,15.9
2014,7,19,0.71,0.71,3.01,13.9
2014,7,20,0.71,0.71,2.23,15.4
2014,7,21,-0.71,-0.71,2.89,23.7
2014,7,22,0.71,0.71,5.18,21.9
2014,7,23,0.71,0.71,2.14,19.4
