YY,MM,DD,WDIR,WSPD,ATMP
2012,6,1,,,
2012,6,2,,,
2012,6,3,6.0,4.9,8.05
2012,6,4,,,
2012,6,5,2.0,5.23,7.35
2012,6,6,2.0,2.44,10.55
2012,6,7,,,
2012,6,8,,,
2012,6,9,,,
2012,6,10,,,
2012,6,11,,,
2012,6,12,6.0,10.13,8.9
2012,6,13,5.0,6.4,8.65
2012,6,14,3.0,6.68,9.1
2012,6,15,3.0,6.62,10.05
2012,6,16,2.0,4.75,8.1
2012,6,17,5.0,8.69,10.25
2012,6,18,4.0,5.27,9.9
2012,6,19,3.0,4.2,8.2
2012,6,20,,,
2012,6,21,,,
2012,6,22,,,
2012,6,23,,,
2012,6,24,,,
2012,6,25,,,
2012,6,26,,,
2012,6,27,,,
2012,6,28,,,
2012,6,29,,,
2012,6,30,,,
2012,7,1,,,
2012,7,2,,,
2012,7,3,,,
2012,7,4,,,
2012,7,5,,,
2012,7,6,,,
2012,7,7,,,
2012,7,8,,,
2012,7,9,,,
2012,7,10,,,
2012,7,11,,,
2012,7,12,,,
2012,7,13,,,
2012,7,14,,,
2012,7,15,,,
2012,7,16,,,
2012,7,17,,,
2012,7,18,,,
2012,7,19,,,
2012,7,20,,,
2012,7,21,,,
2012,7,22,,,
2012,7,23,,,
2012,7,24,,,
2012,7,25,,,
2012,7,26,,,
2012,7,27,,,
2012,7,28,,,
2012,7,29,,,
2012,7,30,,,
2012,7,31,,,
2012,8,1,,,
2012,8,2,,,
2012,8,3,,,
2012,8,4,,,
2012,8,5,,,
2012,8,6,,,
2012,8,7,,,
2012,8,8,,,
2012,8,9,,,
2012,8,10,,,
2012,8,11,,,
2012,8,12,,,
2012,8,13,,,
2012,8,14,,,
2012,8,15,,,
2012,8,16,,,
2012,8,17,,,
2012,8,18,0.0,2.0,17.55
2012,8,19,0.0,4.88,15.7
2012,8,20,7.0,5.96,16.75
2012,8,21,5.0,5.06,17.15
2012,8,22,6.0,8.98,19.1
2012,8,23,3.0,4.66,17.5
2012,8,24,3.0,6.22,18.5
2012,8,25,5.0,6.42,19.85
2012,8,26,5.0,6.55,19.7
2012,8,27,6.0,6.23,18.5
2012,8,28,0.0,2.49,17.3
2012,8,29,5.0,4.2,18.25
2012,8,30,5.0,7.54,20.5
2012,8,31,6.0,8.0,19.25
2012,9,1,4.0,2.63,19.25
2012,9,2,3.0,4.61,18.9
2012,9,3,4.0,7.11,19.9
2012,9,4,5.0,4.09,19.5
2012,9,5,5.0,7.74,18.7
2012,9,6,6.0,9.21,17.65
2012,9,7,7.0,6.93,15.1
2012,9,8,7.0,4.86,14.45
2012,9,9,0.0,4.9,14.5
2012,9,10,4.0,7.32,16.65
2012,9,11,5.0,7.74,18.6
2012,9,12,5.0,9.6,18.55
2012,9,13,6.0,6.84,15.5
2012,9,14,7.0,5.64,12.4
2012,9,15,1.0,3.22,13.25
2012,9,16,3.0,3.34,15.5
2012,9,17,0.0,4.67,10.8
2012,9,18,0.0,3.99,8.55
2012,9,19,5.0,9.05,10.3
2012,9,20,7.0,10.35,11.35
2012,9,21,0.0,3.21,10.8
2012,9,22,0.0,7.78,7.65
2012,9,23,7.0,9.57,6.7
2012,9,24,6.0,13.58,11.2
2012,9,25,0.0,4.5,9.4
2012,9,26,0.0,4.32,9.75
2012,9,27,5.0,6.28,11.0
2012,9,28,6.0,5.94,12.55
2012,9,29,2.0,4.88,11.3
2012,9,30,3.0,3.16,11.15
2012,10,1,4.0,4.48,11.7
2012,10,2,0.0,3.82,9.8
2012,10,3,4.0,6.89,12.1
2012,10,4,2.0,8.82,11.05
2012,10,5,6.0,16.6,5.75
2012,10,6,0.0,8.55,3.5
2012,10,7,6.0,10.87,6.15
2012,10,8,5.0,9.83,7.85
2012,10,9,5.0,11.08,8.05
2012,10,10,7.0,12.02,2.95
2012,10,11,7.0,9.95,4.2
2012,10,12,7.0,7.0,3.5
2012,10,13,4.0,6.92,6.55
2012,10,14,0.0,4.93,5.9
2012,10,15,0.0,5.11,4.9
2012,10,16,4.0,7.62,8.1
2012,10,17,3.0,7.08,9.4
2012,10,18,2.0,12.66,10.6
2012,10,19,2.0,8.38,8.9
2012,10,20,0.0,3.62,8.55
2012,10,21,6.0,4.68,7.85
2012,10,22,0.0,3.18,8.9
2012,10,23,2.0,11.61,8.3
2012,10,24,3.0,8.08,9.3
2012,10,25,0.0,7.0,8.65
2012,10,26,6.0,14.5,4.35
