YY,MM,DD,WDIR,WSPD,ATMP
2012,6,1,0.0,2.24,9.2
2012,6,2,6.0,3.44,11.0
2012,6,3,6.0,3.18,17.9
2012,6,4,1.0,2.85,11.6
2012,6,5,0.0,3.75,10.4
2012,6,6,1.0,2.45,9.6
2012,6,7,1.0,1.54,11.0
2012,6,8,4.0,2.81,14.6
2012,6,9,0.0,2.46,12.2
2012,6,10,4.0,4.56,12.3
2012,6,11,4.0,5.95,20.0
2012,6,12,6.0,6.24,12.5
2012,6,13,4.0,2.8,14.1
2012,6,14,3.0,3.97,15.6
2012,6,15,6.0,2.13,13.7
2012,6,16,1.0,2.87,13.9
2012,6,17,5.0,4.38,15.7
2012,6,18,4.0,2.35,16.7
2012,6,19,4.0,3.28,16.4
2012,6,20,3.0,4.49,16.35
2012,6,21,6.0,4.33,17.8
2012,6,22,6.0,3.22,17.6
2012,6,23,3.0,1.67,16.2
2012,6,24,1.0,3.83,15.3
2012,6,25,1.0,2.45,13.7
2012,6,26,1.0,2.42,16.5
2012,6,27,1.0,2.58,17.0
2012,6,28,5.0,3.29,20.7
2012,6,29,5.0,4.57,22.8
2012,6,30,6.0,2.81,22.1
2012,7,1,1.0,2.71,20.8
2012,7,2,1.0,4.42,18.2
2012,7,3,6.0,3.24,19.6
2012,7,4,1.0,4.51,18.85
2012,7,5,6.0,3.11,23.25
2012,7,6,3.0,3.29,17.8
2012,7,7,6.0,2.29,17.7
2012,7,8,6.0,2.34,21.9
2012,7,9,6.0,2.56,20.2
2012,7,10,3.0,1.59,19.8
2012,7,11,3.0,2.56,23.8
2012,7,12,4.0,3.32,24.7
2012,7,13,4.0,3.24,25.4
2012,7,14,5.0,2.5,22.3
2012,7,15,4.0,1.76,23.8
2012,7,16,3.0,3.64,24.85
2012,7,17,1.0,4.56,20.8
2012,7,18,1.0,3.44,18.8
2012,7,19,1.0,5.0,13.3
2012,7,20,4.0,3.19,18.3
2012,7,21,0.0,2.88,25.1
2012,7,22,3.0,2.82,22.0
2012,7,23,6.0,3.51,24.0
2012,7,24,1.0,4.11,21.8
2012,7,25,6.0,2.59,21.75
2012,7,26,1.0,3.71,20.7
2012,7,27,1.0,5.45,18.9
2012,7,28,3.0,1.64,18.9
2012,7,29,3.0,1.93,21.7
2012,7,30,4.0,4.17,23.2
2012,7,31,7.0,1.84,22.6
2012,8,1,4.0,4.01,23.2
2012,8,2,6.0,3.15,24.6
2012,8,3,1.0,3.65,20.9
2012,8,4,5.0,4.06,21.3
2012,8,5,6.0,7.09,19.0
2012,8,6,4.0,3.92,19.6
2012,8,7,7.0,2.08,21.3
2012,8,8,3.0,1.73,17.8
2012,8,9,1.0,4.87,17.4
2012,8,10,1.0,4.87,14.1
2012,8,11,3.0,1.86,14.6
2012,8,12,3.0,1.81,17.8
2012,8,13,4.0,2.72,19.1
2012,8,14,3.0,1.89,17.7
2012,8,15,3.0,2.29,19.3
2012,8,16,6.0,7.92,18.4
2012,8,17,7.0,5.75,16.15
2012,8,18,4.0,3.3,15.7
2012,8,19,4.0,1.51,14.9
2012,8,20,3.0,2.65,14.5
2012,8,21,6.0,2.93,16.35
2012,8,22,4.0,2.9,19.9
2012,8,23,3.0,2.18,20.4
2012,8,24,1.0,3.54,20.3
2012,8,25,4.0,3.2,24.2
2012,8,26,4.0,3.54,21.7
2012,8,27,4.0,2.12,19.0
2012,8,28,3.0,3.02,18.1
2012,8,29,1.0,3.13,19.2
2012,8,30,4.0,2.75,22.2
2012,8,31,4.0,1.89,18.9
2012,9,1,3.0,3.03,17.7
2012,9,2,3.0,2.84,19.2
2012,9,3,4.0,1.79,19.6
2012,9,4,3.0,2.85,19.9
2012,9,5,4.0,2.61,18.0
2012,9,6,4.0,2.84,16.9
2012,9,7,4.0,3.68,15.2
2012,9,8,7.0,6.99,15.6
2012,9,9,0.0,5.08,15.3
2012,9,10,4.0,4.07,14.6
