YY,MM,DD,WDIRcos,WDIRsin,WSPD,ATMP
2012,6,1,-1.0,0.0,2.22,10.4
2012,6,2,-1.0,0.0,3.12,15.4
2012,6,3,-1.0,0.0,1.98,18.3
2012,6,4,0.71,0.71,1.85,15.8
2012,6,5,-1.0,0.0,1.86,13.7
2012,6,6,-1.0,0.0,1.74,14.7
2012,6,7,-1.0,0.0,1.54,16.8
2012,6,8,-1.0,0.0,3.24,19.1
2012,6,9,0.71,0.71,1.82,19.9
2012,6,10,-1.0,0.0,3.61,24.4
2012,6,11,-1.0,0.0,4.21,24.3
2012,6,12,-0.0,-1.0,4.55,13.55
2012,6,13,-1.0,0.0,3.31,16.0
2012,6,14,-1.0,0.0,2.63,17.4
2012,6,15,-1.0,0.0,2.11,19.9
2012,6,16,-1.0,0.0,1.38,16.8
2012,6,17,-0.71,-0.71,3.79,17.6
2012,6,18,-1.0,0.0,3.09,21.45
2012,6,19,-1.0,0.0,2.75,17.7
2012,6,20,-1.0,0.0,3.45,19.2
2012,6,21,-0.71,-0.71,3.7,19.2
2012,6,22,-1.0,0.0,2.5,19.6
2012,6,23,-1.0,0.0,2.63,18.8
2012,6,24,0.71,0.71,3.49,17.1
2012,6,25,-1.0,0.0,2.0,15.5
2012,6,26,-1.0,0.0,2.18,19.0
2012,6,27,-1.0,0.0,2.47,22.1
2012,6,28,-0.0,-1.0,1.97,21.1
2012,6,29,-0.71,-0.71,3.63,23.4
2012,6,30,-1.0,0.0,1.99,22.6
2012,7,1,-1.0,0.0,2.07,22.1
2012,7,2,-1.0,0.0,1.53,23.3
2012,7,3,-1.0,0.0,2.6,24.1
2012,7,4,-1.0,0.0,2.4,23.65
2012,7,5,-1.0,0.0,1.96,24.7
2012,7,6,-1.0,0.0,3.64,20.3
2012,7,7,0.71,0.71,2.2,18.5
2012,7,8,-1.0,0.0,2.19,21.2
2012,7,9,-1.0,0.0,1.51,20.5
2012,7,10,0.71,0.71,1.82,20.75
2012,7,11,-1.0,0.0,3.18,22.6
2012,7,12,-1.0,0.0,3.16,24.3
2012,7,13,-0.71,-0.71,2.51,24.1
2012,7,14,-1.0,0.0,2.33,23.8
2012,7,15,-1.0,0.0,1.84,23.6
2012,7,16,-1.0,0.0,3.46,24.7
2012,7,17,0.71,0.71,3.88,20.5
2012,7,18,0.71,0.71,2.6,20.0
2012,7,19,0.71,0.71,2.22,19.6
2012,7,20,-1.0,0.0,3.19,20.5
2012,7,21,-1.0,0.0,2.94,24.7
2012,7,22,-1.0,0.0,2.7,22.8
2012,7,23,-1.0,0.0,2.98,26.05
2012,7,24,-1.0,0.0,3.46,22.2
2012,7,25,-1.0,0.0,2.52,22.9
2012,7,26,0.71,0.71,2.96,20.9
2012,7,27,0.71,0.71,5.28,19.9
2012,7,28,-1.0,0.0,2.61,17.9
2012,7,29,-1.0,0.0,2.83,20.9
2012,7,30,-1.0,0.0,3.4,21.8
2012,7,31,-1.0,0.0,1.49,22.2
2012,8,1,-1.0,0.0,3.26,21.7
2012,8,2,-1.0,0.0,2.45,24.6
2012,8,3,-1.0,0.0,2.52,21.2
2012,8,4,-1.0,0.0,2.63,22.35
2012,8,5,0.71,-0.71,5.78,19.5
2012,8,6,-1.0,0.0,3.67,19.1
2012,8,7,-1.0,0.0,2.5,21.2
2012,8,8,-1.0,0.0,2.09,17.85
2012,8,9,-1.0,0.0,3.76,17.4
2012,8,10,0.71,0.71,4.78,18.1
2012,8,11,-1.0,0.0,2.42,17.4
2012,8,12,-1.0,0.0,1.98,15.8
2012,8,13,-1.0,0.0,2.17,19.0
2012,8,14,-1.0,0.0,1.91,17.7
2012,8,15,-1.0,0.0,2.98,18.1
2012,8,16,-0.0,-1.0,4.23,19.6
2012,8,17,0.71,-0.71,5.32,17.15
2012,8,18,-1.0,0.0,3.44,15.9
2012,8,19,-1.0,0.0,2.36,16.5
2012,8,20,-1.0,0.0,2.8,13.3
2012,8,21,-1.0,0.0,3.1,16.4
2012,8,22,-1.0,0.0,3.31,19.3
2012,8,23,-1.0,0.0,2.65,20.0
2012,8,24,-1.0,0.0,2.7,23.8
2012,8,25,-1.0,0.0,2.72,24.7
2012,8,26,-0.71,-0.71,1.98,22.3
2012,8,27,-1.0,0.0,2.13,20.3
2012,8,28,-1.0,0.0,3.07,18.7
2012,8,29,-1.0,0.0,1.83,17.9
2012,8,30,-1.0,0.0,3.98,25.9
2012,8,31,-1.0,0.0,1.43,21.1
2012,9,1,-1.0,0.0,2.6,17.8
2012,9,2,-1.0,0.0,1.98,18.4
2012,9,3,-1.0,0.0,2.43,24.3
2012,9,4,-1.0,0.0,2.48,18.15
2012,9,5,-1.0,0.0,2.57,19.5
2012,9,6,-1.0,0.0,2.96,16.6
2012,9,7,-1.0,0.0,3.96,16.55
2012,9,8,0.71,-0.71,5.71,15.9
2012,9,9,1.0,0.0,5.33,16.9
2012,9,10,-1.0,0.0,3.84,13.1
2012,9,11,-1.0,0.0,5.29,21.7
2012,9,12,-1.0,0.0,4.4,16.9
2012,9,13,-1.0,0.0,4.69,13.9
2012,9,14,-1.0,0.0,2.73,12.5
2012,9,15,-1.0,0.0,2.88,10.6
2012,9,16,-1.0,0.0,2.91,18.6
2012,9,17,1.0,0.0,5.6,14.4
2012,9,18,1.0,0.0,5.68,10.9
2012,9,19,-1.0,0.0,4.35,8.8
2012,9,20,-0.71,-0.71,3.65,11.1
2012,9,21,-0.71,-0.71,2.98,9.5
2012,9,22,0.71,-0.71,7.22,10.1
2012,9,23,0.71,-0.71,5.33,10.0
2012,9,24,-1.0,0.0,4.62,9.15
2012,9,25,-1.0,0.0,2.43,11.65
2012,9,26,-1.0,0.0,2.18,6.5
2012,9,27,-1.0,0.0,2.96,5.25
2012,9,28,-1.0,0.0,2.59,7.2
2012,9,29,-1.0,0.0,2.59,11.1
2012,9,30,-1.0,0.0,2.28,7.8
2012,10,1,-1.0,0.0,1.89,9.0
2012,10,2,-1.0,0.0,2.96,10.7
2012,10,3,-1.0,0.0,2.51,11.95
2012,10,4,-1.0,0.0,4.25,13.85
2012,10,5,-0.71,-0.71,5.45,5.7
2012,10,6,1.0,0.0,7.76,5.2
2012,10,7,-0.71,-0.71,3.6,3.9
2012,10,8,-1.0,0.0,3.94,6.2
2012,10,9,-1.0,0.0,3.23,8.0
2012,10,10,-0.0,-1.0,4.07,4.7
2012,10,11,-0.71,-0.71,3.85,4.6
2012,10,12,-1.0,0.0,3.54,4.8
2012,10,13,-1.0,0.0,1.96,7.2
2012,10,14,0.71,0.71,5.74,7.3
2012,10,15,0.71,0.71,3.49,7.2
2012,10,16,-1.0,0.0,2.48,11.4
2012,10,17,-1.0,0.0,1.79,10.7
2012,10,18,-1.0,0.0,1.92,10.3
2012,10,19,0.71,0.71,1.32,8.7
2012,10,20,-1.0,0.0,1.64,7.7
2012,10,21,-1.0,0.0,1.72,4.0
2012,10,22,0.71,0.71,3.44,8.9
2012,10,23,0.71,0.71,2.07,9.0
2012,10,24,-1.0,0.0,1.55,11.7
2012,10,25,0.71,-0.71,5.14,8.7
2012,10,26,-0.71,-0.71,3.87,3.2
2012,10,27,-0.71,-0.71,2.39,2.6
2012,10,28,-1.0,0.0,2.36,-0.9
2012,10,29,-1.0,0.0,2.43,0.0
2012,10,30,0.71,0.71,6.95,4.0
2012,10,31,1.0,0.0,5.36,3.3
2013,6,1,-1.0,0.0,2.68,12.5
2013,6,2,1.0,0.0,4.39,7.1
2013,6,3,-1.0,0.0,2.34,8.4
2013,6,4,-1.0,0.0,1.76,10.7
2013,6,5,0.71,0.71,1.89,9.9
2013,6,6,0.71,0.71,2.49,7.3
2013,6,7,1.0,0.0,0.94,7.5
2013,6,8,1.0,0.0,1.18,10.9
2013,6,9,-1.0,0.0,1.68,11.7
2013,6,10,0.71,-0.71,1.12,11.2
2013,6,11,0.71,0.71,1.65,14.9
2013,6,12,-1.0,0.0,1.77,16.5
2013,6,13,0.71,0.71,1.49,14.8
2013,6,14,-1.0,0.0,1.78,13.2
2013,6,15,0.71,0.71,1.27,13.3
2013,6,16,-1.0,0.0,3.24,17.6
2013,6,17,1.0,0.0,2.78,9.6
2013,6,18,1.0,0.0,1.87,10.0
2013,6,19,-1.0,0.0,2.61,15.9
2013,6,20,-1.0,0.0,1.98,17.9
2013,6,21,0.71,-0.71,2.6,14.6
2013,6,22,0.71,-0.71,1.95,11.6
2013,6,23,0.71,-0.71,1.9,12.8
2013,6,24,-1.0,0.0,2.13,22.9
2013,6,25,-1.0,0.0,1.73,21.8
2013,6,26,-1.0,0.0,1.6,19.6
2013,6,27,-1.0,0.0,1.91,20.2
2013,6,28,1.0,0.0,2.38,17.4
2013,6,29,1.0,0.0,1.7,13.7
2013,6,30,-1.0,0.0,1.61,17.0
2013,7,1,-1.0,0.0,2.19,13.35
2013,7,2,-1.0,0.0,2.15,13.7
2013,7,3,-1.0,0.0,1.89,15.3
2013,7,4,-1.0,0.0,2.92,20.0
2013,7,5,-1.0,0.0,4.55,24.4
2013,7,6,-1.0,0.0,4.81,26.0
2013,7,7,-1.0,0.0,3.05,18.6
2013,7,8,0.71,-0.71,1.91,11.9
2013,7,9,0.71,0.71,1.27,13.6
2013,7,10,0.71,-0.71,3.12,17.9
2013,7,11,-1.0,0.0,1.78,18.9
2013,7,12,-1.0,0.0,3.68,22.8
2013,7,13,-1.0,0.0,3.52,25.4
2013,7,14,-1.0,0.0,1.83,20.7
2013,7,15,-1.0,0.0,1.16,20.1
2013,7,16,-0.71,-0.71,2.12,22.1
2013,7,17,-1.0,0.0,2.7,25.8
2013,7,18,-0.71,-0.71,3.15,23.25
2013,7,19,0.71,-0.71,3.94,24.5
2013,7,20,0.71,0.71,4.49,17.5
2013,7,21,0.71,0.71,3.31,16.5
2013,7,22,-1.0,0.0,3.43,18.85
2013,7,23,1.0,0.0,4.23,17.3
2013,7,24,-1.0,0.0,2.23,16.2
2013,7,25,-1.0,0.0,3.13,18.1
2013,7,26,0.71,0.71,4.21,14.3
2013,7,27,0.71,-0.71,5.57,11.8
2013,7,28,1.0,0.0,4.48,13.2
2013,7,29,-1.0,0.0,2.26,14.65
2013,7,30,-1.0,0.0,2.43,18.1
2013,7,31,-1.0,0.0,2.8,19.2
2013,8,1,-0.71,-0.71,2.43,18.0
2013,8,2,-1.0,0.0,2.25,18.1
2013,8,3,-1.0,0.0,2.27,16.8
2013,8,4,-1.0,0.0,2.51,16.45
2013,8,5,-1.0,0.0,2.65,15.4
2013,8,6,1.0,0.0,1.26,18.6
2013,8,7,1.0,0.0,2.11,18.0
2013,8,8,-1.0,0.0,1.77,16.4
2013,8,9,-1.0,0.0,3.4,17.5
2013,8,10,-1.0,0.0,2.04,16.2
2013,8,11,-1.0,0.0,2.17,16.5
2013,8,12,-1.0,0.0,3.78,16.8
2013,8,13,-1.0,0.0,2.4,13.8
2013,8,14,-1.0,0.0,2.08,13.5
2013,8,15,-1.0,0.0,2.46,16.05
2013,8,16,-1.0,0.0,2.22,17.3
2013,8,17,-1.0,0.0,3.21,19.3
2013,8,18,-1.0,0.0,2.88,19.3
2013,8,19,-1.0,0.0,3.46,21.4
2013,8,20,-1.0,0.0,3.58,24.0
2013,8,21,-1.0,0.0,2.69,26.1
2013,8,22,-1.0,0.0,1.85,20.6
2013,8,23,-1.0,0.0,2.08,18.1
2013,8,24,-1.0,0.0,3.15,20.6
2013,8,25,-1.0,0.0,5.33,27.15
2013,8,26,-1.0,0.0,3.09,23.8
2013,8,27,-1.0,0.0,2.13,22.8
2013,8,28,1.0,0.0,0.71,21.3
2013,8,29,-1.0,0.0,1.84,23.3
2013,8,30,0.71,0.71,4.2,23.1
