YY,MM,DD,DISC 
2012,06,01,332
2012,06,02,302
2012,06,03,275
2012,06,04,249
2012,06,05,229
2012,06,06,220
2012,06,07,207
2012,06,08,205
2012,06,09,194
2012,06,10,182
2012,06,11,178
2012,06,12,169
2012,06,13,163
2012,06,14,171
2012,06,15,178
2012,06,16,171
2012,06,17,174
2012,06,18,189
2012,06,19,199
2012,06,20,495
2012,06,21,476
2012,06,22,331
2012,06,23,279
2012,06,24,268
2012,06,25,245
2012,06,26,224
2012,06,27,205
2012,06,28,194
2012,06,29,180
2012,06,30,172
2012,07,01,166
2012,07,02,161
2012,07,03,172
2012,07,04,164
2012,07,05,156
2012,07,06,155
2012,07,07,153
2012,07,08,146
2012,07,09,143
2012,07,10,139
2012,07,11,137
2012,07,12,134
2012,07,13,133
2012,07,14,131
2012,07,15,130
2012,07,16,129
2012,07,17,128
2012,07,18,128
2012,07,19,126
2012,07,20,125
2012,07,21,123
2012,07,22,120
2012,07,23,119
2012,07,24,117
2012,07,25,145
2012,07,26,143
2012,07,27,134
2012,07,28,127
2012,07,29,123
2012,07,30,124
2012,07,31,122
2012,08,01,120
2012,08,02,119
2012,08,03,118
2012,08,04,134
2012,08,05,126
2012,08,06,121
2012,08,07,120
2012,08,08,121
2012,08,09,122
2012,08,10,121
2012,08,11,119
2012,08,12,117
2012,08,13,117
2012,08,14,116
2012,08,15,115
2012,08,16,120
2012,08,17,117
2012,08,18,118
2012,08,19,125
2012,08,20,120
2012,08,21,118
2012,08,22,116
2012,08,23,119
2012,08,24,126
2012,08,25,125
2012,08,26,121
2012,08,27,119
2012,08,28,118
2012,08,29,118
2012,08,30,118
2012,08,31,117
2012,09,01,116
2012,09,02,115
2012,09,03,114
2012,09,04,114
2012,09,05,115
2012,09,06,115
2012,09,07,120
2012,09,08,123
2012,09,09,121
2012,09,10,119
2012,09,11,118
2012,09,12,117
2012,09,13,117
2012,09,14,117
2012,09,15,117
2012,09,16,117
2012,09,17,118
2012,09,18,117
2012,09,19,119
2012,09,20,121
2012,09,21,119
2012,09,22,130
2012,09,23,125
2012,09,24,122
2012,09,25,120
2012,09,26,120
2012,09,27,119
2012,09,28,119
2012,09,29,119
2012,09,30,119
2012,10,01,119
2012,10,02,120
2012,10,03,120
2012,10,04,119
2012,10,05,118
2012,10,06,119
2012,10,07,118
2012,10,08,118
2012,10,09,119
2012,10,10,118
2012,10,11,122
2012,10,12,120
2012,10,13,120
2012,10,14,120
2012,10,15,119
2012,10,16,120
2012,10,17,120
2012,10,18,122
2012,10,19,124
2012,10,20,123
2012,10,21,121
2012,10,22,120
2012,10,23,130
2012,10,24,136
2012,10,25,158
2012,10,26,152
2012,10,27,141
2012,10,28,135
2012,10,29,130
2012,10,30,127
2012,10,31,127
2013,06,01,322
2013,06,02,307
2013,06,03,289
2013,06,04,265
2013,06,05,273
2013,06,06,283
2013,06,07,267
2013,06,08,255
2013,06,09,256
2013,06,10,266
2013,06,11,254
2013,06,12,240
2013,06,13,224
2013,06,14,211
2013,06,15,201
2013,06,16,197
2013,06,17,192
2013,06,18,184
2013,06,19,179
2013,06,20,186
2013,06,21,344
2013,06,22,379
2013,06,23,326
2013,06,24,288
2013,06,25,258
2013,06,26,234
2013,06,27,212
2013,06,28,202
2013,06,29,193
2013,06,30,182
2013,07,01,176
2013,07,02,170
2013,07,03,165
2013,07,04,162
2013,07,05,158
2013,07,06,155
2013,07,07,187
2013,07,08,181
2013,07,09,178
2013,07,10,176
2013,07,11,166
2013,07,12,159
2013,07,13,209
2013,07,14,197
2013,07,15,183
2013,07,16,178
2013,07,17,169
2013,07,18,161
2013,07,19,155
2013,07,20,150
2013,07,21,147
2013,07,22,145
2013,07,23,143
2013,07,24,141
2013,07,25,141
2013,07,26,144
2013,07,27,148
2013,07,28,152
2013,07,29,148
2013,07,30,145
2013,07,31,143
2013,08,01,140
2013,08,02,140
2013,08,03,139
2013,08,04,138
2013,08,05,158
2013,08,06,160
2013,08,07,151
2013,08,08,145
2013,08,09,142
2013,08,10,139
2013,08,11,138
2013,08,12,137
2013,08,13,135
2013,08,14,134
2013,08,15,134
2013,08,16,133
2013,08,17,132
2013,08,18,131
2013,08,19,131
2013,08,20,131
2013,08,21,132
2013,08,22,130
2013,08,23,129
2013,08,24,130
2013,08,25,129
2013,08,26,177
2013,08,27,407
