YY,MM,DD,DISC
2012,06,01,17500
2012,06,02,14600
2012,06,03,12000
2012,06,04,10100
2012,06,05,8560
2012,06,06,7270
2012,06,07,6010
2012,06,08,5330
2012,06,09,4590
2012,06,10,3980
2012,06,11,3670
2012,06,12,3530
2012,06,13,3150
2012,06,14,2860
2012,06,15,3020
2012,06,16,3060
2012,06,17,3350
2012,06,18,4230
2012,06,19,5330
2012,06,20,35900
2012,06,21,45000
2012,06,22,42800
2012,06,23,39600
2012,06,24,37800
2012,06,25,35900
2012,06,26,31100
2012,06,27,25200
2012,06,28,19400
2012,06,29,14400
2012,06,30,10600
2012,07,01,8280
2012,07,02,6500
2012,07,03,5990
2012,07,04,6150
2012,07,05,5930
2012,07,06,5330
2012,07,07,4990
2012,07,08,4630
2012,07,09,4280
2012,07,10,3980
2012,07,11,3610
2012,07,12,3260
2012,07,13,3050
2012,07,14,2710
2012,07,15,2650
2012,07,16,2350
2012,07,17,2400
2012,07,18,2020
2012,07,19,1900
2012,07,20,1760
2012,07,21,1640
2012,07,22,1520
2012,07,23,1470
2012,07,24,1260
2012,07,25,1470
2012,07,26,1820
2012,07,27,2140
2012,07,28,2080
2012,07,29,1800
2012,07,30,1800
2012,07,31,1760
2012,08,01,1780
2012,08,02,1730
2012,08,03,1540
2012,08,04,1650
2012,08,05,1610
2012,08,06,1570
2012,08,07,1500
2012,08,08,1370
2012,08,09,1280
2012,08,10,1290
2012,08,11,1160
2012,08,12,1050
2012,08,13,1050
2012,08,14,978
2012,08,15,914
2012,08,16,983
2012,08,17,905
2012,08,18,838
2012,08,19,837
2012,08,20,839
2012,08,21,777
2012,08,22,728
2012,08,23,715
2012,08,24,740
2012,08,25,726
2012,08,26,625
2012,08,27,647
2012,08,28,676
2012,08,29,657
2012,08,30,585
2012,08,31,588
2012,09,01,583
2012,09,02,535
2012,09,03,516
2012,09,04,521
2012,09,05,513
2012,09,06,504
2012,09,07,511
2012,09,08,510
2012,09,09,453
2012,09,10,424
2012,09,11,518
2012,09,12,523
2012,09,13,462
2012,09,14,443
2012,09,15,433
2012,09,16,446
2012,09,17,475
2012,09,18,482
2012,09,19,384
2012,09,20,422
2012,09,21,501
2012,09,22,500
2012,09,23,491
2012,09,24,486
2012,09,25,488
2012,09,26,488
2012,09,27,485
2012,09,28,457
2012,09,29,429
2012,09,30,437
2012,10,01,527
2012,10,02,523
2012,10,03,512
2012,10,04,517
2012,10,05,503
2012,10,06,502
2012,10,07,494
2012,10,08,489
2012,10,09,493
2012,10,10,523
2012,10,11,557
2012,10,12,503
2012,10,13,446
2012,10,14,446
2012,10,15,441
2012,10,16,440
2012,10,17,410
2012,10,18,404
2012,10,19,463
2012,10,20,458
2012,10,21,467
2012,10,22,460
2012,10,23,457
2012,10,24,531
2012,10,25,564
2012,10,26,595
2012,10,27,513
2012,10,28,549
2012,10,29,539
2012,10,30,540
2012,10,31,515
2013,06,01,8730
2013,06,02,7630
2013,06,03,6190
2013,06,04,5430
2013,06,05,5060
2013,06,06,5160
2013,06,07,5230
2013,06,08,4870
2013,06,09,4430
2013,06,10,4740
2013,06,11,5020
2013,06,12,4730
2013,06,13,3990
2013,06,14,3320
2013,06,15,2870
2013,06,16,2630
2013,06,17,2400
2013,06,18,2250
2013,06,19,2160
2013,06,20,2060
2013,06,21,3530
2013,06,22,6830
2013,06,23,8180
2013,06,24,9270
2013,06,25,9430
2013,06,26,8990
2013,06,27,8310
2013,06,28,7790
2013,06,29,7770
2013,06,30,7240
2013,07,01,6460
2013,07,02,5800
2013,07,03,5090
2013,07,04,4450
2013,07,05,3900
2013,07,06,3430
2013,07,07,3080
2013,07,08,2990
2013,07,09,2900
2013,07,10,2840
2013,07,11,2810
2013,07,12,2720
2013,07,13,2620
2013,07,14,2760
2013,07,15,2990
2013,07,16,3400
2013,07,17,3460
2013,07,18,3280
2013,07,19,3220
2013,07,20,3060
2013,07,21,2730
2013,07,22,2530
2013,07,23,2360
2013,07,24,2290
2013,07,25,2140
2013,07,26,1980
2013,07,27,1770
2013,07,28,1690
2013,07,29,1690
2013,07,30,1510
2013,07,31,1390
2013,08,01,1310
2013,08,02,1260
2013,08,03,1040
2013,08,04,999
2013,08,05,966
2013,08,06,834
2013,08,07,961
2013,08,08,846
2013,08,09,932
2013,08,10,815
2013,08,11,735
2013,08,12,752
2013,08,13,728
2013,08,14,652
2013,08,15,532
2013,08,16,624
2013,08,17,582
2013,08,18,523
2013,08,19,450
2013,08,20,571
2013,08,21,521
2013,08,22,449
2013,08,23,439
2013,08,24,481
2013,08,25,495
2013,08,26,510
2013,08,27,781
2013,08,28,695
2013,08,29,615
2013,08,30,692
2013,08,31,958
2013,09,01,1020
2013,09,02,786
2013,09,03,849
2013,09,04,673
2013,09,05,667
2013,09,06,624
2013,09,07,593
2013,09,08,627
2013,09,09,633
2013,09,10,561
2013,09,11,566
2013,09,12,583
2013,09,13,535
2013,09,14,546
2013,09,15,675
2013,09,16,456
2013,09,17,473
2013,09,18,580
2013,09,19,513
2013,09,20,717
2013,09,21,580
2013,09,22,561
2013,09,23,559
2013,09,24,543
2013,09,25,512
2013,09,26,451
2013,09,27,553
2013,09,28,521
2013,09,29,472
2013,09,30,533
2013,10,01,583
2013,10,02,517
2013,10,03,582
2013,10,04,656
2013,10,05,663
2013,10,06,1260
2013,10,07,1410
2013,10,08,1560
2013,10,09,1510
2013,10,10,1230
2013,10,11,1140
2013,10,12,1080
2013,10,13,1030
2013,10,14,1070
2013,10,15,1100
2013,10,16,1410
2013,10,17,1650
2013,10,18,1770
2013,10,19,1700
2013,10,20,1780
2013,10,21,1770
2013,10,22,1840
2013,10,23,1860
2013,10,24,1750
2013,10,25,1710
2013,10,26,1620
2013,10,27,1620
2013,10,28,1450
2013,10,29,1410
2013,10,30,1440
2013,10,31,1320
2014,06,01,4410
2014,06,02,7860
2014,06,03,12100
2014,06,04,12900
2014,06,05,12100
2014,06,06,11300
2014,06,07,10800
2014,06,08,10300
2014,06,09,9260
2014,06,10,7960
2014,06,11,6870
2014,06,12,6620
2014,06,13,8160
2014,06,14,8450
2014,06,15,8280
2014,06,16,9310
2014,06,17,9300
2014,06,18,8320
2014,06,19,7300
2014,06,20,6500
2014,06,21,6130
2014,06,22,5820
2014,06,23,5170
2014,06,24,4600
2014,06,25,4420
2014,06,26,4350
2014,06,27,4030
2014,06,28,3840
2014,06,29,3720
2014,06,30,3640
2014,07,01,3370
2014,07,02,2800
2014,07,03,2390
2014,07,04,2230
2014,07,05,1970
2014,07,06,1890
2014,07,07,1800
2014,07,08,1620
2014,07,09,1450
2014,07,10,1460
2014,07,11,1480
2014,07,12,1480
2014,07,13,1460
2014,07,14,1300
2014,07,15,1360
2014,07,16,1320
2014,07,17,1310
2014,07,18,1170
2014,07,19,1160
2014,07,20,1020
2014,07,21,1010
2014,07,22,1070
2014,07,23,923
2014,07,24,946
2014,07,25,897
2014,07,26,898
2014,07,27,846
2014,07,28,982
2014,07,29,949
2014,07,30,774
2014,07,31,863
2014,08,01,778
2014,08,02,724
2014,08,03,787
2014,08,04,726
2014,08,05,666
2014,08,06,627
2014,08,07,567
2014,08,08,666
2014,08,09,563
2014,08,10,522
2014,08,11,822
2014,08,12,696
2014,08,13,681
2014,08,14,664
2014,08,15,556
2014,08,16,560
2014,08,17,607
2014,08,18,828
2014,08,19,846
2014,08,20,846
2014,08,21,816
2014,08,22,866
2014,08,23,784
2014,08,24,727
2014,08,25,820
2014,08,26,784
2014,08,27,698
2014,08,28,676
2014,08,29,684
2014,08,30,790
2014,08,31,670
2014,09,01,789
2014,09,02,810
2014,09,03,705
2014,09,04,707
2014,09,05,730
2014,09,06,638
2014,09,07,645
2014,09,08,661
2014,09,09,661
2014,09,10,799
2014,09,11,673
2014,09,12,681
2014,09,13,739
2014,09,14,716
2014,09,15,656
2014,09,16,647
2014,09,17,716
2014,09,18,581
2014,09,19,620
2014,09,20,678
2014,09,21,717
2014,09,22,725
2014,09,23,711
2014,09,24,763
2014,09,25,692
2014,09,26,673
2014,09,27,603
2014,09,28,604
2014,09,29,668
2014,09,30,655
2014,10,01,648
2014,10,02,750
2014,10,03,854
2014,10,04,993
2014,10,05,1040
2014,10,06,917
2014,10,07,923
2014,10,08,929
2014,10,09,828
2014,10,10,767
2014,10,11,749
2014,10,12,749
2014,10,13,751
2014,10,14,739
2014,10,15,681
2014,10,16,674
2014,10,17,860
2014,10,18,858
2014,10,19,733
2014,10,20,822
2014,10,21,693
2014,10,22,723
2014,10,23,775
2014,10,24,717
2014,10,25,715
2014,10,26,649
2014,10,27,633
2014,10,28,705
2014,10,29,761
2014,10,30,668
2014,10,31,806
2015,06,01,4020
2015,06,02,3570
2015,06,03,3160
2015,06,04,2930
2015,06,05,3010
2015,06,06,2770
2015,06,07,2660
2015,06,08,2880
2015,06,09,3290
2015,06,10,3150
2015,06,11,2900
2015,06,12,2730
2015,06,13,2450
2015,06,14,2270
2015,06,15,2030
2015,06,16,1900
2015,06,17,1780
2015,06,18,1580
2015,06,19,1440
2015,06,20,1270
2015,06,21,1320
2015,06,22,1390
2015,06,23,1710
2015,06,24,1440
2015,06,25,1600
2015,06,26,1930
2015,06,27,1800
2015,06,28,1750
2015,06,29,2160
2015,06,30,2290
2015,07,01,2090
2015,07,02,1800
2015,07,03,1490
2015,07,04,1320
2015,07,05,1190
2015,07,06,1540
2015,07,07,1540
2015,07,08,1630
2015,07,09,1390
2015,07,10,1220
2015,07,11,1090
2015,07,12,1000
2015,07,13,1020
2015,07,14,1020
2015,07,15,934
2015,07,16,886
2015,07,17,888
2015,07,18,891
2015,07,19,785
2015,07,20,702
2015,07,21,695
2015,07,22,706
2015,07,23,567
2015,07,24,544
2015,07,25,538
