YY,MM,DD,WTMP
2012,6,1,13.0
2012,6,2,13.36
2012,6,3,13.7
2012,6,4,14.09
2012,6,5,14.53
2012,6,6,15.15
2012,6,7,15.43
2012,6,8,15.13
2012,6,9,14.81
2012,6,10,14.72
2012,6,11,14.65
2012,6,12,14.19
2012,6,13,14.02
2012,6,14,14.16
2012,6,15,14.39
2012,6,16,14.63
2012,6,17,14.68
2012,6,18,14.89
2012,6,19,15.29
2012,6,20,15.5
2012,6,21,15.7
2012,6,22,16.56
2012,6,23,16.74
2012,6,24,16.97
2012,6,25,17.47
2012,6,26,17.98
2012,6,27,18.36
2012,6,28,19.12
2012,6,29,20.33
2012,6,30,21.18
2012,7,1,21.4
2012,7,2,21.35
2012,7,3,21.23
2012,7,4,21.18
2012,7,5,21.97
2012,7,6,22.41
2012,7,7,22.64
2012,7,8,22.88
2012,7,9,22.93
2012,7,10,23.04
2012,7,11,23.04
2012,7,12,23.24
2012,7,13,23.4
2012,7,14,23.6
2012,7,15,23.86
2012,7,16,23.62
2012,7,17,23.22
2012,7,18,22.77
2012,7,19,22.39
2012,7,20,22.59
2012,7,21,23.03
2012,7,22,23.35
2012,7,23,23.47
2012,7,24,23.48
2012,7,25,23.33
2012,7,26,23.05
2012,7,27,22.8
2012,7,28,22.81
2012,7,29,22.97
2012,7,30,23.24
2012,7,31,23.42
2012,8,1,23.3
2012,8,2,23.33
2012,8,3,23.19
2012,8,4,22.71
2012,8,5,22.22
2012,8,6,21.79
2012,8,7,21.8
2012,8,8,21.77
2012,8,9,21.28
2012,8,10,20.83
2012,8,11,20.73
2012,8,12,20.95
2012,8,13,21.22
2012,8,14,21.13
2012,8,15,20.9
2012,8,16,20.51
2012,8,17,20.17
2012,8,18,20.11
2012,8,19,20.21
2012,8,20,20.33
2012,8,21,20.45
2012,8,22,20.61
2012,8,23,20.86
2012,8,24,21.18
2012,8,25,21.44
2012,8,26,21.69
2012,8,27,21.83
2012,8,28,21.93
2012,8,29,22.08
2012,8,30,22.26
2012,8,31,22.33
2012,9,1,22.31
2012,9,2,22.2
2012,9,3,22.35
2012,9,4,22.27
2012,9,5,21.81
2012,9,6,21.31
2012,9,7,20.91
2012,9,8,20.29
2012,9,9,19.85
2012,9,10,19.58
2012,9,11,19.23
2012,9,12,18.62
2012,9,13,18.08
2012,9,14,17.84
2012,9,15,17.63
2012,9,16,17.46
2012,9,17,17.27
2012,9,18,16.95
2012,9,19,16.56
2012,9,20,16.09
2012,9,21,15.28
2012,9,22,14.49
2012,9,23,14.06
2012,9,24,13.87
2012,9,25,13.75
2012,9,26,13.78
2012,9,27,13.75
2012,9,28,13.76
2012,9,29,13.83
2012,9,30,13.92
2012,10,1,14.0
2012,10,2,14.06
2012,10,3,14.01
2012,10,4,13.86
2012,10,5,13.66
2012,10,6,13.19
2012,10,7,12.22
2012,10,8,11.04
2012,10,9,10.03
2012,10,10,9.37
2012,10,11,9.11
2012,10,12,8.86
2012,10,13,8.76
2012,10,14,8.7
2012,10,15,8.62
2012,10,16,8.75
2012,10,17,8.9
2012,10,18,8.93
2012,10,19,8.95
2012,10,20,8.94
2012,10,21,8.97
2012,10,22,8.81
2012,10,23,8.54
2012,10,24,8.35
2012,10,25,8.13
2012,10,26,7.99
2012,10,27,7.81
2012,10,28,7.69
2012,10,29,7.65
2012,10,30,7.63
2012,10,31,7.56
2013,6,1,5.28
2013,6,2,5.15
2013,6,3,5.13
2013,6,4,5.01
2013,6,5,4.96
2013,6,6,4.87
2013,6,7,4.82
2013,6,8,4.84
2013,6,9,4.87
2013,6,10,4.9
2013,6,11,4.92
2013,6,12,6.13
2013,6,13,6.99
2013,6,14,7.19
2013,6,15,7.32
2013,6,16,7.41
2013,6,17,7.46
2013,6,18,7.54
2013,6,19,7.54
2013,6,20,7.54
2013,6,21,7.55
2013,6,22,7.54
2013,6,23,7.55
2013,6,24,7.58
2013,6,25,7.65
2013,6,26,7.76
2013,6,27,7.91
2013,6,28,8.21
2013,6,29,8.3
2013,6,30,8.98
2013,7,1,8.78
2013,7,2,9.44
2013,7,3,11.17
2013,7,4,13.07
2013,7,5,14.49
2013,7,6,15.34
2013,7,7,15.84
2013,7,8,16.06
2013,7,9,16.02
2013,7,10,16.04
2013,7,11,15.9
2013,7,12,15.83
2013,7,13,16.18
2013,7,14,16.31
2013,7,15,16.27
2013,7,16,17.2
2013,7,17,18.04
2013,7,18,18.45
2013,7,19,18.65
2013,7,20,18.72
2013,7,21,18.59
2013,7,22,18.3
2013,7,23,18.09
2013,7,24,18.19
2013,7,25,18.46
2013,7,26,18.25
2013,7,27,17.89
2013,7,28,17.41
2013,7,29,17.12
2013,7,30,17.47
2013,7,31,17.7
2013,8,1,17.83
2013,8,2,18.06
2013,8,3,18.32
2013,8,4,18.46
2013,8,5,18.66
2013,8,6,18.86
2013,8,7,18.82
2013,8,8,18.73
2013,8,9,18.74
2013,8,10,19.03
2013,8,11,19.11
2013,8,12,19.08
2013,8,13,18.91
2013,8,14,19.01
2013,8,15,19.22
2013,8,16,19.47
2013,8,17,19.68
2013,8,18,19.83
2013,8,19,20.06
2013,8,20,20.26
2013,8,21,20.53
2013,8,22,20.77
2013,8,23,20.87
