# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-06-19 08:25:42 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04027000 BAD RIVER NEAR ODANAH, WI
# -----------------------------------------------------------------------------------
#
# Data provided for site 04027000
#            TS   parameter     statistic     Description
#        152304       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	152304_00060_00003	152304_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04027000	2012-01-01	159	A:e
USGS	04027000	2012-01-02	155	A:e
USGS	04027000	2012-01-03	158	A:e
USGS	04027000	2012-01-04	158	A:e
USGS	04027000	2012-01-05	160	A:e
USGS	04027000	2012-01-06	165	A:e
USGS	04027000	2012-01-07	168	A:e
USGS	04027000	2012-01-08	172	A:e
USGS	04027000	2012-01-09	175	A:e
USGS	04027000	2012-01-10	174	A:e
USGS	04027000	2012-01-11	172	A:e
USGS	04027000	2012-01-12	172	A:e
USGS	04027000	2012-01-13	172	A:e
USGS	04027000	2012-01-14	172	A:e
USGS	04027000	2012-01-15	172	A:e
USGS	04027000	2012-01-16	175	A:e
USGS	04027000	2012-01-17	175	A:e
USGS	04027000	2012-01-18	172	A:e
USGS	04027000	2012-01-19	170	A:e
USGS	04027000	2012-01-20	162	A:e
USGS	04027000	2012-01-21	168	A:e
USGS	04027000	2012-01-22	167	A:e
USGS	04027000	2012-01-23	165	A:e
USGS	04027000	2012-01-24	165	A:e
USGS	04027000	2012-01-25	174	A:e
USGS	04027000	2012-01-26	168	A:e
USGS	04027000	2012-01-27	168	A:e
USGS	04027000	2012-01-28	168	A:e
USGS	04027000	2012-01-29	168	A:e
USGS	04027000	2012-01-30	167	A:e
USGS	04027000	2012-01-31	165	A:e
USGS	04027000	2012-02-01	164	A:e
USGS	04027000	2012-02-02	168	A:e
USGS	04027000	2012-02-03	164	A:e
USGS	04027000	2012-02-04	165	A:e
USGS	04027000	2012-02-05	163	A:e
USGS	04027000	2012-02-06	159	A:e
USGS	04027000	2012-02-07	160	A:e
USGS	04027000	2012-02-08	156	A:e
USGS	04027000	2012-02-09	154	A:e
USGS	04027000	2012-02-10	151	A:e
USGS	04027000	2012-02-11	157	A:e
USGS	04027000	2012-02-12	157	A:e
USGS	04027000	2012-02-13	144	A:e
USGS	04027000	2012-02-14	150	A:e
USGS	04027000	2012-02-15	147	A:e
USGS	04027000	2012-02-16	149	A:e
USGS	04027000	2012-02-17	151	A:e
USGS	04027000	2012-02-18	151	A:e
USGS	04027000	2012-02-19	145	A:e
USGS	04027000	2012-02-20	141	A:e
USGS	04027000	2012-02-21	148	A:e
USGS	04027000	2012-02-22	155	A:e
USGS	04027000	2012-02-23	159	A:e
USGS	04027000	2012-02-24	159	A:e
USGS	04027000	2012-02-25	155	A:e
USGS	04027000	2012-02-26	153	A:e
USGS	04027000	2012-02-27	155	A:e
USGS	04027000	2012-02-28	155	A:e
USGS	04027000	2012-02-29	165	A:e
USGS	04027000	2012-03-01	165	A:e
USGS	04027000	2012-03-02	172	A:e
USGS	04027000	2012-03-03	180	A:e
USGS	04027000	2012-03-04	184	A:e
USGS	04027000	2012-03-05	179	A:e
USGS	04027000	2012-03-06	182	A:e
USGS	04027000	2012-03-07	189	A:e
USGS	04027000	2012-03-08	227	A:e
USGS	04027000	2012-03-09	248	A:e
USGS	04027000	2012-03-10	260	A:e
USGS	04027000	2012-03-11	370	A:e
USGS	04027000	2012-03-12	991	A:e
USGS	04027000	2012-03-13	2000	A:e
USGS	04027000	2012-03-14	3030	A:e
USGS	04027000	2012-03-15	4040	A
USGS	04027000	2012-03-16	3450	A
USGS	04027000	2012-03-17	3530	A
USGS	04027000	2012-03-18	3690	A
USGS	04027000	2012-03-19	3060	A
USGS	04027000	2012-03-20	2300	A
USGS	04027000	2012-03-21	1760	A
USGS	04027000	2012-03-22	1420	A
USGS	04027000	2012-03-23	1290	A
USGS	04027000	2012-03-24	1270	A
USGS	04027000	2012-03-25	1160	A
USGS	04027000	2012-03-26	979	A
USGS	04027000	2012-03-27	820	A
USGS	04027000	2012-03-28	713	A
USGS	04027000	2012-03-29	635	A
USGS	04027000	2012-03-30	568	A
USGS	04027000	2012-03-31	553	A
USGS	04027000	2012-04-01	523	A
USGS	04027000	2012-04-02	518	A
USGS	04027000	2012-04-03	529	A
USGS	04027000	2012-04-04	484	A
USGS	04027000	2012-04-05	424	A
USGS	04027000	2012-04-06	375	A
USGS	04027000	2012-04-07	340	A
USGS	04027000	2012-04-08	329	A
USGS	04027000	2012-04-09	317	A
USGS	04027000	2012-04-10	292	A
USGS	04027000	2012-04-11	272	A
USGS	04027000	2012-04-12	257	A
USGS	04027000	2012-04-13	242	A
USGS	04027000	2012-04-14	232	A
USGS	04027000	2012-04-15	230	A
USGS	04027000	2012-04-16	306	A
USGS	04027000	2012-04-17	478	A
USGS	04027000	2012-04-18	777	A
USGS	04027000	2012-04-19	1620	A
USGS	04027000	2012-04-20	1340	A
USGS	04027000	2012-04-21	1020	A
USGS	04027000	2012-04-22	777	A
USGS	04027000	2012-04-23	637	A
USGS	04027000	2012-04-24	547	A
USGS	04027000	2012-04-25	485	A
USGS	04027000	2012-04-26	476	A
USGS	04027000	2012-04-27	468	A
USGS	04027000	2012-04-28	422	A
USGS	04027000	2012-04-29	373	A
USGS	04027000	2012-04-30	342	A
USGS	04027000	2012-05-01	341	A
USGS	04027000	2012-05-02	344	A
USGS	04027000	2012-05-03	424	A
USGS	04027000	2012-05-04	604	A
USGS	04027000	2012-05-05	554	A
USGS	04027000	2012-05-06	1260	A
USGS	04027000	2012-05-07	2370	A
USGS	04027000	2012-05-08	1740	A
USGS	04027000	2012-05-09	1270	A
USGS	04027000	2012-05-10	948	A
USGS	04027000	2012-05-11	737	A
USGS	04027000	2012-05-12	598	A
