# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-06-06 21:51:05 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04010500 PIGEON RIVER AT MIDDLE FALLS NR GRAND PORTAGE MN
# -----------------------------------------------------------------------------------
#
# Data provided for site 04010500
#            TS   parameter     statistic     Description
#         72552       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     R  Records for these data have been revised. [https://waterdata.usgs.gov/usa/nwis/revision/?site_no=04010500&ts_ids=72552]
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	72552_00060_00003	72552_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04010500	2012-01-01	49.8	A:e
USGS	04010500	2012-01-02	49.7	A:e
USGS	04010500	2012-01-03	49.6	A:e
USGS	04010500	2012-01-04	49.5	A:e
USGS	04010500	2012-01-05	49.4	A:e
USGS	04010500	2012-01-06	49.3	A:e
USGS	04010500	2012-01-07	49.1	A:e
USGS	04010500	2012-01-08	49.1	A:e
USGS	04010500	2012-01-09	48.9	A:e
USGS	04010500	2012-01-10	49.0	A:e
USGS	04010500	2012-01-11	48.5	A:e
USGS	04010500	2012-01-12	48.3	A:e
USGS	04010500	2012-01-13	48.1	A:e
USGS	04010500	2012-01-14	48.1	A:e
USGS	04010500	2012-01-15	48.1	A:e
USGS	04010500	2012-01-16	47.8	A:e
USGS	04010500	2012-01-17	47.8	A:e
USGS	04010500	2012-01-18	47.6	A:e
USGS	04010500	2012-01-19	47.5	A:e
USGS	04010500	2012-01-20	46.8	A:e
USGS	04010500	2012-01-21	46.5	A:e
USGS	04010500	2012-01-22	46.4	A:e
USGS	04010500	2012-01-23	46.4	A:e
USGS	04010500	2012-01-24	46.3	A:e
USGS	04010500	2012-01-25	46.2	A:e
USGS	04010500	2012-01-26	46.2	A:e
USGS	04010500	2012-01-27	46.0	A:e
USGS	04010500	2012-01-28	45.9	A:e
USGS	04010500	2012-01-29	45.8	A:e
USGS	04010500	2012-01-30	45.7	A:e
USGS	04010500	2012-01-31	45.6	A:e
USGS	04010500	2012-02-01	45.6	A:e
USGS	04010500	2012-02-02	45.6	A:e
USGS	04010500	2012-02-03	45.8	A:e
USGS	04010500	2012-02-04	45.9	A:e
USGS	04010500	2012-02-05	45.8	A:e
USGS	04010500	2012-02-06	45.7	A:e
USGS	04010500	2012-02-07	45.6	A:e
USGS	04010500	2012-02-08	45.5	A:e
USGS	04010500	2012-02-09	45.4	A:e
USGS	04010500	2012-02-10	45.4	A:e
USGS	04010500	2012-02-11	45.3	A:e
USGS	04010500	2012-02-12	45.3	A:e
USGS	04010500	2012-02-13	45.1	A:e
USGS	04010500	2012-02-14	45.0	A:e
USGS	04010500	2012-02-15	44.9	A:e
USGS	04010500	2012-02-16	44.7	A:e
USGS	04010500	2012-02-17	44.5	A:e
USGS	04010500	2012-02-18	44.0	A:e
USGS	04010500	2012-02-19	44.0	A:e
USGS	04010500	2012-02-20	44.0	A:e
USGS	04010500	2012-02-21	43.8	A:e
USGS	04010500	2012-02-22	43.6	A:e
USGS	04010500	2012-02-23	43.6	A:e
USGS	04010500	2012-02-24	43.6	A:e
USGS	04010500	2012-02-25	43.7	A:e
USGS	04010500	2012-02-26	43.3	A:e
USGS	04010500	2012-02-27	43.4	A:e
USGS	04010500	2012-02-28	43.3	A:e
USGS	04010500	2012-02-29	43.1	A:e
USGS	04010500	2012-03-01	43.0	A:e
USGS	04010500	2012-03-02	43.1	A:e
USGS	04010500	2012-03-03	43.1	A:e
USGS	04010500	2012-03-04	43.0	A:e
USGS	04010500	2012-03-05	43.2	A:e
USGS	04010500	2012-03-06	43.1	A:e
USGS	04010500	2012-03-07	43.8	A:e
USGS	04010500	2012-03-08	46.3	A:e
USGS	04010500	2012-03-09	50.5	A:e
USGS	04010500	2012-03-10	66.5	A:e
USGS	04010500	2012-03-11	90.5	A:e
USGS	04010500	2012-03-12	113	A:e
USGS	04010500	2012-03-13	146	A:e
USGS	04010500	2012-03-14	183	A:e
USGS	04010500	2012-03-15	229	A:e
USGS	04010500	2012-03-16	293	A:e
USGS	04010500	2012-03-17	370	A:e
USGS	04010500	2012-03-18	624	A:e
USGS	04010500	2012-03-19	930	A
USGS	04010500	2012-03-20	993	A
USGS	04010500	2012-03-21	1000	A
USGS	04010500	2012-03-22	1050	A
USGS	04010500	2012-03-23	1020	A
USGS	04010500	2012-03-24	1190	A
USGS	04010500	2012-03-25	1150	A
USGS	04010500	2012-03-26	968	A
USGS	04010500	2012-03-27	829	A
