# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-06-06 21:58:09 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04024430 NEMADJI RIVER NEAR SOUTH SUPERIOR, WI
# -----------------------------------------------------------------------------------
#
# Data provided for site 04024430
#            TS   parameter     statistic     Description
#        152256       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	152256_00060_00003	152256_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04024430	2012-01-01	45.1	A:e
USGS	04024430	2012-01-02	42.8	A:e
USGS	04024430	2012-01-03	38.3	A:e
USGS	04024430	2012-01-04	40.5	A:e
USGS	04024430	2012-01-05	49.6	A:e
USGS	04024430	2012-01-06	49.6	A:e
USGS	04024430	2012-01-07	51.9	A:e
USGS	04024430	2012-01-08	54.1	A:e
USGS	04024430	2012-01-09	58.7	A:e
USGS	04024430	2012-01-10	58.7	A:e
USGS	04024430	2012-01-11	54.1	A:e
USGS	04024430	2012-01-12	56.4	A:e
USGS	04024430	2012-01-13	47.3	A:e
USGS	04024430	2012-01-14	45.1	A:e
USGS	04024430	2012-01-15	54.1	A:e
USGS	04024430	2012-01-16	56.4	A:e
USGS	04024430	2012-01-17	56.4	A:e
USGS	04024430	2012-01-18	49.6	A:e
USGS	04024430	2012-01-19	42.8	A:e
USGS	04024430	2012-01-20	40.5	A:e
USGS	04024430	2012-01-21	54.1	A:e
USGS	04024430	2012-01-22	54.1	A:e
USGS	04024430	2012-01-23	49.6	A:e
USGS	04024430	2012-01-24	51.9	A:e
USGS	04024430	2012-01-25	51.9	A:e
USGS	04024430	2012-01-26	54.1	A:e
USGS	04024430	2012-01-27	56.4	A:e
USGS	04024430	2012-01-28	58.7	A:e
USGS	04024430	2012-01-29	61.0	A:e
USGS	04024430	2012-01-30	58.7	A:e
USGS	04024430	2012-01-31	58.7	A:e
USGS	04024430	2012-02-01	56.4	A:e
USGS	04024430	2012-02-02	58.4	A:e
USGS	04024430	2012-02-03	58.7	A:e
USGS	04024430	2012-02-04	56.4	A:e
USGS	04024430	2012-02-05	54.1	A:e
USGS	04024430	2012-02-06	47.3	A:e
USGS	04024430	2012-02-07	47.3	A:e
USGS	04024430	2012-02-08	47.3	A:e
USGS	04024430	2012-02-09	42.6	A:e
USGS	04024430	2012-02-10	47.4	A:e
USGS	04024430	2012-02-11	47.4	A:e
USGS	04024430	2012-02-12	42.6	A:e
USGS	04024430	2012-02-13	37.7	A:e
USGS	04024430	2012-02-14	32.8	A:e
USGS	04024430	2012-02-15	32.8	A:e
USGS	04024430	2012-02-16	37.8	A:e
USGS	04024430	2012-02-17	33.2	A:e
USGS	04024430	2012-02-18	37.8	A:e
USGS	04024430	2012-02-19	28.5	A:e
USGS	04024430	2012-02-20	33.2	A:e
USGS	04024430	2012-02-21	37.8	A:e
USGS	04024430	2012-02-22	42.5	A:e
USGS	04024430	2012-02-23	37.8	A:e
USGS	04024430	2012-02-24	37.8	A:e
USGS	04024430	2012-02-25	44.5	A:e
USGS	04024430	2012-02-26	36.5	A:e
USGS	04024430	2012-02-27	44.5	A:e
USGS	04024430	2012-02-28	36.5	A:e
USGS	04024430	2012-02-29	44.5	A:e
USGS	04024430	2012-03-01	44.5	A:e
USGS	04024430	2012-03-02	68.8	A:e
USGS	04024430	2012-03-03	68.8	A:e
USGS	04024430	2012-03-04	68.8	A:e
USGS	04024430	2012-03-05	52.6	A:e
USGS	04024430	2012-03-06	53.2	A:e
USGS	04024430	2012-03-07	58.3	A:e
USGS	04024430	2012-03-08	63.4	A:e
USGS	04024430	2012-03-09	68.4	A:e
USGS	04024430	2012-03-10	93.9	A:e
USGS	04024430	2012-03-11	109	A:e
USGS	04024430	2012-03-12	119	A:e
USGS	04024430	2012-03-13	500	A:e
USGS	04024430	2012-03-14	886	A:e
USGS	04024430	2012-03-15	1160	A:e
USGS	04024430	2012-03-16	1490	A
USGS	04024430	2012-03-17	1270	A
USGS	04024430	2012-03-18	1330	A
USGS	04024430	2012-03-19	1300	A
USGS	04024430	2012-03-20	1240	A
USGS	04024430	2012-03-21	846	A
USGS	04024430	2012-03-22	745	A
USGS	04024430	2012-03-23	712	A
USGS	04024430	2012-03-24	675	A
USGS	04024430	2012-03-25	597	A
USGS	04024430	2012-03-26	513	A
USGS	04024430	2012-03-27	445	A
USGS	04024430	2012-03-28	409	A
USGS	04024430	2012-03-29	373	A
USGS	04024430	2012-03-30	345	A
USGS	04024430	2012-03-31	341	A
USGS	04024430	2012-04-01	324	A
USGS	04024430	2012-04-02	311	A
USGS	04024430	2012-04-03	297	A
USGS	04024430	2012-04-04	302	A
USGS	04024430	2012-04-05	286	A
USGS	04024430	2012-04-06	260	A
USGS	04024430	2012-04-07	243	A
USGS	04024430	2012-04-08	244	A
USGS	04024430	2012-04-09	247	A
USGS	04024430	2012-04-10	230	A
USGS	04024430	2012-04-11	212	A
USGS	04024430	2012-04-12	199	A
USGS	04024430	2012-04-13	189	A
USGS	04024430	2012-04-14	182	A
USGS	04024430	2012-04-15	193	A
USGS	04024430	2012-04-16	2980	A
USGS	04024430	2012-04-17	2480	A
USGS	04024430	2012-04-18	1710	A
USGS	04024430	2012-04-19	2220	A
USGS	04024430	2012-04-20	1430	A
USGS	04024430	2012-04-21	1050	A
USGS	04024430	2012-04-22	921	A
USGS	04024430	2012-04-23	842	A
USGS	04024430	2012-04-24	703	A
USGS	04024430	2012-04-25	612	A
USGS	04024430	2012-04-26	605	A
USGS	04024430	2012-04-27	529	A
USGS	04024430	2012-04-28	448	A
USGS	04024430	2012-04-29	394	A
USGS	04024430	2012-04-30	353	A
USGS	04024430	2012-05-01	335	A
USGS	04024430	2012-05-02	988	A
USGS	04024430	2012-05-03	1100	A
USGS	04024430	2012-05-04	875	A
USGS	04024430	2012-05-05	679	A
USGS	04024430	2012-05-06	766	A
USGS	04024430	2012-05-07	1190	A
USGS	04024430	2012-05-08	899	A
USGS	04024430	2012-05-09	735	A
USGS	04024430	2012-05-10	621	A
USGS	04024430	2012-05-11	501	A
USGS	04024430	2012-05-12	418	A
USGS	04024430	2012-05-13	356	A
USGS	04024430	2012-05-14	306	A
USGS	04024430	2012-05-15	267	A
USGS	04024430	2012-05-16	231	A
USGS	04024430	2012-05-17	202	A
USGS	04024430	2012-05-18	182	A
USGS	04024430	2012-05-19	165	A
USGS	04024430	2012-05-20	218	A
USGS	04024430	2012-05-21	760	A
USGS	04024430	2012-05-22	546	A
USGS	04024430	2012-05-23	394	A
USGS	04024430	2012-05-24	2120	A
USGS	04024430	2012-05-25	5880	A
USGS	04024430	2012-05-26	4500	A
USGS	04024430	2012-05-27	4490	A
USGS	04024430	2012-05-28	7750	A
USGS	04024430	2012-05-29	7970	A
USGS	04024430	2012-05-30	5280	A
USGS	04024430	2012-05-31	2990	A
USGS	04024430	2012-06-01	1880	A
USGS	04024430	2012-06-02	1430	A
USGS	04024430	2012-06-03	1090	A
USGS	04024430	2012-06-04	819	A
USGS	04024430	2012-06-05	667	A
USGS	04024430	2012-06-06	547	A
USGS	04024430	2012-06-07	462	A
USGS	04024430	2012-06-08	399	A
USGS	04024430	2012-06-09	357	A
USGS	04024430	2012-06-10	316	A
USGS	04024430	2012-06-11	355	A
USGS	04024430	2012-06-12	344	A
USGS	04024430	2012-06-13	302	A
USGS	04024430	2012-06-14	533	A
USGS	04024430	2012-06-15	1220	A
USGS	04024430	2012-06-16	739	A
