# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-06-06 21:58:07 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04024000 ST. LOUIS RIVER AT SCANLON, MN
# -----------------------------------------------------------------------------------
#
# Data provided for site 04024000
#            TS   parameter     statistic     Description
#         72615       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	72615_00060_00003	72615_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04024000	2012-01-01	681	A
USGS	04024000	2012-01-02	706	A
USGS	04024000	2012-01-03	670	A:e
USGS	04024000	2012-01-04	643	A
USGS	04024000	2012-01-05	680	A
USGS	04024000	2012-01-06	728	A
USGS	04024000	2012-01-07	741	A
USGS	04024000	2012-01-08	732	A
USGS	04024000	2012-01-09	719	A
USGS	04024000	2012-01-10	732	A
USGS	04024000	2012-01-11	764	A
USGS	04024000	2012-01-12	708	A
USGS	04024000	2012-01-13	674	A:e
USGS	04024000	2012-01-14	628	A
USGS	04024000	2012-01-15	693	A
USGS	04024000	2012-01-16	728	A
USGS	04024000	2012-01-17	723	A
USGS	04024000	2012-01-18	719	A
USGS	04024000	2012-01-19	642	A:e
USGS	04024000	2012-01-20	565	A:e
USGS	04024000	2012-01-21	495	A:e
USGS	04024000	2012-01-22	535	A:e
USGS	04024000	2012-01-23	565	A:e
USGS	04024000	2012-01-24	578	A:e
USGS	04024000	2012-01-25	576	A:e
