# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-06-06 21:58:12 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04027500 WHITE RIVER NEAR ASHLAND, WI
# -----------------------------------------------------------------------------------
#
# Data provided for site 04027500
#            TS   parameter     statistic     Description
#        152328       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	152328_00060_00003	152328_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04027500	2012-01-01	144	A:e
USGS	04027500	2012-01-02	139	A:e
USGS	04027500	2012-01-03	122	A:e
USGS	04027500	2012-01-04	119	A:e
USGS	04027500	2012-01-05	122	A:e
USGS	04027500	2012-01-06	181	A:e
USGS	04027500	2012-01-07	186	A:e
USGS	04027500	2012-01-08	180	A:e
USGS	04027500	2012-01-09	161	A:e
USGS	04027500	2012-01-10	161	A:e
USGS	04027500	2012-01-11	164	A:e
USGS	04027500	2012-01-12	167	A:e
USGS	04027500	2012-01-13	129	A:e
USGS	04027500	2012-01-14	128	A:e
USGS	04027500	2012-01-15	136	A:e
USGS	04027500	2012-01-16	131	A:e
USGS	04027500	2012-01-17	157	A:e
USGS	04027500	2012-01-18	130	A:e
USGS	04027500	2012-01-19	110	A:e
USGS	04027500	2012-01-20	127	A:e
USGS	04027500	2012-01-21	157	A:e
USGS	04027500	2012-01-22	170	A:e
USGS	04027500	2012-01-23	157	A:e
USGS	04027500	2012-01-24	167	A:e
USGS	04027500	2012-01-25	158	A:e
USGS	04027500	2012-01-26	167	A:e
USGS	04027500	2012-01-27	167	A:e
USGS	04027500	2012-01-28	175	A:e
USGS	04027500	2012-01-29	166	A:e
USGS	04027500	2012-01-30	164	A:e
USGS	04027500	2012-01-31	125	A:e
USGS	04027500	2012-02-01	154	A:e
USGS	04027500	2012-02-02	188	A:e
USGS	04027500	2012-02-03	182	A:e
USGS	04027500	2012-02-04	183	A:e
USGS	04027500	2012-02-05	177	A:e
USGS	04027500	2012-02-06	170	A:e
USGS	04027500	2012-02-07	169	A:e
USGS	04027500	2012-02-08	158	A:e
USGS	04027500	2012-02-09	123	A:e
USGS	04027500	2012-02-10	146	A:e
USGS	04027500	2012-02-11	131	A:e
USGS	04027500	2012-02-12	118	A:e
USGS	04027500	2012-02-13	156	A:e
USGS	04027500	2012-02-14	189	A:e
USGS	04027500	2012-02-15	174	A:e
USGS	04027500	2012-02-16	163	A:e
USGS	04027500	2012-02-17	174	A:e
USGS	04027500	2012-02-18	167	A:e
USGS	04027500	2012-02-19	175	A:e
USGS	04027500	2012-02-20	159	A:e
USGS	04027500	2012-02-21	171	A:e
USGS	04027500	2012-02-22	167	A:e
USGS	04027500	2012-02-23	184	A:e
USGS	04027500	2012-02-24	170	A:e
USGS	04027500	2012-02-25	174	A:e
USGS	04027500	2012-02-26	168	A:e
USGS	04027500	2012-02-27	177	A:e
USGS	04027500	2012-02-28	165	A:e
USGS	04027500	2012-02-29	163	A:e
USGS	04027500	2012-03-01	123	A
USGS	04027500	2012-03-02	193	A:e
USGS	04027500	2012-03-03	197	A:e
USGS	04027500	2012-03-04	191	A:e
USGS	04027500	2012-03-05	179	A:e
USGS	04027500	2012-03-06	187	A:e
USGS	04027500	2012-03-07	198	A:e
USGS	04027500	2012-03-08	206	A:e
USGS	04027500	2012-03-09	207	A:e
USGS	04027500	2012-03-10	192	A:e
USGS	04027500	2012-03-11	333	A:e
USGS	04027500	2012-03-12	757	A:e
USGS	04027500	2012-03-13	833	A
USGS	04027500	2012-03-14	830	A
USGS	04027500	2012-03-15	845	A
USGS	04027500	2012-03-16	774	A
USGS	04027500	2012-03-17	773	A
USGS	04027500	2012-03-18	731	A
USGS	04027500	2012-03-19	690	A
USGS	04027500	2012-03-20	628	A
USGS	04027500	2012-03-21	542	A
USGS	04027500	2012-03-22	457	A
USGS	04027500	2012-03-23	407	A
USGS	04027500	2012-03-24	383	A
USGS	04027500	2012-03-25	349	A
USGS	04027500	2012-03-26	314	A
USGS	04027500	2012-03-27	279	A
USGS	04027500	2012-03-28	262	A
USGS	04027500	2012-03-29	248	A
USGS	04027500	2012-03-30	245	A
USGS	04027500	2012-03-31	245	A
USGS	04027500	2012-04-01	246	A
USGS	04027500	2012-04-02	247	A
USGS	04027500	2012-04-03	247	A
USGS	04027500	2012-04-04	238	A
USGS	04027500	2012-04-05	225	A
USGS	04027500	2012-04-06	212	A
USGS	04027500	2012-04-07	204	A
USGS	04027500	2012-04-08	189	A
USGS	04027500	2012-04-09	192	A
USGS	04027500	2012-04-10	193	A
USGS	04027500	2012-04-11	172	A
USGS	04027500	2012-04-12	181	A
USGS	04027500	2012-04-13	178	A
USGS	04027500	2012-04-14	167	A
USGS	04027500	2012-04-15	183	A
USGS	04027500	2012-04-16	192	A
USGS	04027500	2012-04-17	248	A
USGS	04027500	2012-04-18	391	A
USGS	04027500	2012-04-19	421	A
USGS	04027500	2012-04-20	390	A
USGS	04027500	2012-04-21	329	A
USGS	04027500	2012-04-22	260	A
USGS	04027500	2012-04-23	234	A
USGS	04027500	2012-04-24	218	A
USGS	04027500	2012-04-25	205	A
USGS	04027500	2012-04-26	206	A
USGS	04027500	2012-04-27	212	A
USGS	04027500	2012-04-28	194	A
USGS	04027500	2012-04-29	188	A
USGS	04027500	2012-04-30	174	A
USGS	04027500	2012-05-01	188	A
USGS	04027500	2012-05-02	204	A
USGS	04027500	2012-05-03	290	A
