YY,MM,DD,WDIR,WSPD,ATMP
2012.0,6.0,1.0,1.0,1.64,12.0
2012.0,6.0,2.0,7.0,4.45,15.95
2012.0,6.0,3.0,6.0,3.92,20.4
2012.0,6.0,4.0,1.0,1.95,13.1
2012.0,6.0,5.0,1.0,1.94,11.8
2012.0,6.0,6.0,1.0,2.57,11.95
2012.0,6.0,7.0,1.0,1.5,12.9
2012.0,6.0,8.0,1.0,2.8,16.4
2012.0,6.0,9.0,1.0,2.36,14.55
2012.0,6.0,10.0,1.0,3.44,13.05
2012.0,6.0,11.0,5.0,6.77,21.15
2012.0,6.0,12.0,6.0,5.25,13.35
2012.0,6.0,13.0,5.0,2.86,14.9
2012.0,6.0,14.0,1.0,3.32,12.2
2012.0,6.0,15.0,1.0,1.93,13.5
2012.0,6.0,16.0,1.0,1.87,14.9
2012.0,6.0,17.0,5.0,4.84,18.3
2012.0,6.0,18.0,1.0,2.58,15.4
2012.0,6.0,19.0,6.0,2.98,18.25
2012.0,6.0,20.0,1.0,4.56,16.7
2012.0,6.0,21.0,6.0,4.99,18.8
2012.0,6.0,22.0,6.0,3.4,19.3
2012.0,6.0,23.0,5.0,1.41,17.2
2012.0,6.0,24.0,1.0,2.64,17.2
2012.0,6.0,25.0,1.0,1.58,15.7
2012.0,6.0,26.0,1.0,1.76,18.1
2012.0,6.0,27.0,1.0,2.54,18.3
2012.0,6.0,28.0,6.0,4.12,22.5
2012.0,6.0,29.0,6.0,5.51,24.75
2012.0,6.0,30.0,7.0,3.71,25.4
2012.0,7.0,1.0,1.0,1.35,22.7
2012.0,7.0,2.0,1.0,3.03,20.3
2012.0,7.0,3.0,5.0,4.44,22.7
2012.0,7.0,4.0,1.0,2.93,22.2
2012.0,7.0,5.0,7.0,4.07,25.8
2012.0,7.0,6.0,1.0,2.86,21.8
2012.0,7.0,7.0,1.0,2.05,19.85
2012.0,7.0,8.0,7.0,2.77,25.6
2012.0,7.0,9.0,7.0,2.35,24.95
2012.0,7.0,10.0,1.0,1.42,21.8
2012.0,7.0,11.0,5.0,3.92,25.5
2012.0,7.0,12.0,5.0,3.45,25.8
2012.0,7.0,13.0,5.0,3.68,24.6
2012.0,7.0,14.0,5.0,2.71,23.75
2012.0,7.0,15.0,1.0,2.22,25.45
2012.0,7.0,16.0,1.0,3.36,23.85
2012.0,7.0,17.0,1.0,3.0,20.65
2012.0,7.0,18.0,1.0,5.58,20.1
2012.0,7.0,19.0,1.0,5.41,19.7
2012.0,7.0,20.0,5.0,3.93,20.1
2012.0,7.0,21.0,5.0,2.92,25.1
2012.0,7.0,22.0,1.0,1.48,23.85
2012.0,7.0,23.0,6.0,3.48,25.0
2012.0,7.0,24.0,1.0,3.41,23.3
