YY,MM,DD,WDIR,WSPD,ATMP
2012.0,6.0,1.0,,,
2012.0,6.0,2.0,,,
2012.0,6.0,3.0,6.0,4.9,8.05
2012.0,6.0,4.0,,,
2012.0,6.0,5.0,2.0,5.23,7.35
2012.0,6.0,6.0,2.0,2.44,10.55
2012.0,6.0,7.0,,,
2012.0,6.0,8.0,,,
2012.0,6.0,9.0,,,
2012.0,6.0,10.0,,,
2012.0,6.0,11.0,,,
2012.0,6.0,12.0,6.0,10.13,8.9
2012.0,6.0,13.0,5.0,6.4,8.65
2012.0,6.0,14.0,3.0,6.68,9.1
2012.0,6.0,15.0,3.0,6.62,10.05
2012.0,6.0,16.0,2.0,4.75,8.1
2012.0,6.0,17.0,5.0,8.69,10.25
2012.0,6.0,18.0,4.0,5.27,9.9
2012.0,6.0,19.0,3.0,4.2,8.2
2012.0,6.0,20.0,,,
2012.0,6.0,21.0,,,
2012.0,6.0,22.0,,,
2012.0,6.0,23.0,,,
2012.0,6.0,24.0,,,
2012.0,6.0,25.0,,,
2012.0,6.0,26.0,,,
2012.0,6.0,27.0,,,
2012.0,6.0,28.0,,,
2012.0,6.0,29.0,,,
2012.0,6.0,30.0,,,
2012.0,7.0,1.0,,,
2012.0,7.0,2.0,,,
2012.0,7.0,3.0,,,
2012.0,7.0,4.0,,,
2012.0,7.0,5.0,,,
2012.0,7.0,6.0,,,
2012.0,7.0,7.0,,,
2012.0,7.0,8.0,,,
2012.0,7.0,9.0,,,
2012.0,7.0,10.0,,,
2012.0,7.0,11.0,,,
2012.0,7.0,12.0,,,
2012.0,7.0,13.0,,,
2012.0,7.0,14.0,,,
2012.0,7.0,15.0,,,
2012.0,7.0,16.0,,,
2012.0,7.0,17.0,,,
2012.0,7.0,18.0,,,
2012.0,7.0,19.0,,,
2012.0,7.0,20.0,,,
2012.0,7.0,21.0,,,
2012.0,7.0,22.0,,,
2012.0,7.0,23.0,,,
2012.0,7.0,24.0,,,
2012.0,7.0,25.0,,,
2012.0,7.0,26.0,,,
2012.0,7.0,27.0,,,
2012.0,7.0,28.0,,,
2012.0,7.0,29.0,,,
2012.0,7.0,30.0,,,
2012.0,7.0,31.0,,,
2012.0,8.0,1.0,,,
2012.0,8.0,2.0,,,
2012.0,8.0,3.0,,,
2012.0,8.0,4.0,,,
2012.0,8.0,5.0,,,
2012.0,8.0,6.0,,,
2012.0,8.0,7.0,,,
2012.0,8.0,8.0,,,
2012.0,8.0,9.0,,,
2012.0,8.0,10.0,,,
2012.0,8.0,11.0,,,
2012.0,8.0,12.0,,,
2012.0,8.0,13.0,,,
2012.0,8.0,14.0,,,
2012.0,8.0,15.0,,,
2012.0,8.0,16.0,,,
2012.0,8.0,17.0,,,
2012.0,8.0,18.0,0.0,2.0,17.55
2012.0,8.0,19.0,0.0,4.88,15.7
