YY,MM,DD,WDIR,WSPD,ATMP
2012.0,6.0,1.0,0.0,2.24,9.2
2012.0,6.0,2.0,6.0,3.44,11.0
2012.0,6.0,3.0,6.0,3.18,17.9
2012.0,6.0,4.0,1.0,2.85,11.6
2012.0,6.0,5.0,0.0,3.75,10.4
2012.0,6.0,6.0,1.0,2.45,9.6
2012.0,6.0,7.0,1.0,1.54,11.0
2012.0,6.0,8.0,4.0,2.81,14.6
2012.0,6.0,9.0,0.0,2.46,12.2
2012.0,6.0,10.0,4.0,4.56,12.3
2012.0,6.0,11.0,4.0,5.95,20.0
2012.0,6.0,12.0,6.0,6.24,12.5
2012.0,6.0,13.0,4.0,2.8,14.1
2012.0,6.0,14.0,3.0,3.97,15.6
2012.0,6.0,15.0,6.0,2.13,13.7
2012.0,6.0,16.0,1.0,2.87,13.9
2012.0,6.0,17.0,5.0,4.38,15.7
2012.0,6.0,18.0,4.0,2.35,16.7
2012.0,6.0,19.0,4.0,3.28,16.4
2012.0,6.0,20.0,3.0,4.49,16.35
2012.0,6.0,21.0,6.0,4.33,17.8
2012.0,6.0,22.0,6.0,3.22,17.6
2012.0,6.0,23.0,3.0,1.67,16.2
2012.0,6.0,24.0,1.0,3.83,15.3
2012.0,6.0,25.0,1.0,2.45,13.7
2012.0,6.0,26.0,1.0,2.42,16.5
2012.0,6.0,27.0,1.0,2.58,17.0
2012.0,6.0,28.0,5.0,3.29,20.7
2012.0,6.0,29.0,5.0,4.57,22.8
2012.0,6.0,30.0,6.0,2.81,22.1
2012.0,7.0,1.0,1.0,2.71,20.8
2012.0,7.0,2.0,1.0,4.42,18.2
2012.0,7.0,3.0,6.0,3.24,19.6
2012.0,7.0,4.0,1.0,4.51,18.85
2012.0,7.0,5.0,6.0,3.11,23.25
2012.0,7.0,6.0,3.0,3.29,17.8
2012.0,7.0,7.0,6.0,2.29,17.7
2012.0,7.0,8.0,6.0,2.34,21.9
2012.0,7.0,9.0,6.0,2.56,20.2
2012.0,7.0,10.0,3.0,1.59,19.8
2012.0,7.0,11.0,3.0,2.56,23.8
2012.0,7.0,12.0,4.0,3.32,24.7
2012.0,7.0,13.0,4.0,3.24,25.4
2012.0,7.0,14.0,5.0,2.5,22.3
2012.0,7.0,15.0,4.0,1.76,23.8
2012.0,7.0,16.0,3.0,3.64,24.85
