YY,MM,DD,WDIR,WSPD,ATMP
2012.0,6.0,1.0,4.0,2.22,10.4
2012.0,6.0,2.0,4.0,3.12,15.4
2012.0,6.0,3.0,4.0,1.98,18.3
2012.0,6.0,4.0,1.0,1.85,15.8
2012.0,6.0,5.0,4.0,1.86,13.7
2012.0,6.0,6.0,4.0,1.74,14.7
2012.0,6.0,7.0,4.0,1.54,16.8
2012.0,6.0,8.0,4.0,3.24,19.1
2012.0,6.0,9.0,1.0,1.82,19.9
2012.0,6.0,10.0,4.0,3.61,24.4
2012.0,6.0,11.0,4.0,4.21,24.3
2012.0,6.0,12.0,6.0,4.55,13.55
2012.0,6.0,13.0,4.0,3.31,16.0
2012.0,6.0,14.0,4.0,2.63,17.4
2012.0,6.0,15.0,4.0,2.11,19.9
2012.0,6.0,16.0,4.0,1.38,16.8
2012.0,6.0,17.0,5.0,3.79,17.6
2012.0,6.0,18.0,4.0,3.09,21.45
2012.0,6.0,19.0,4.0,2.75,17.7
2012.0,6.0,20.0,4.0,3.45,19.2
2012.0,6.0,21.0,5.0,3.7,19.2
2012.0,6.0,22.0,4.0,2.5,19.6
2012.0,6.0,23.0,4.0,2.63,18.8
2012.0,6.0,24.0,1.0,3.49,17.1
2012.0,6.0,25.0,4.0,2.0,15.5
2012.0,6.0,26.0,4.0,2.18,19.0
2012.0,6.0,27.0,4.0,2.47,22.1
2012.0,6.0,28.0,6.0,1.97,21.1
2012.0,6.0,29.0,5.0,3.63,23.4
2012.0,6.0,30.0,4.0,1.99,22.6
2012.0,7.0,1.0,4.0,2.07,22.1
2012.0,7.0,2.0,4.0,1.53,23.3
2012.0,7.0,3.0,4.0,2.6,24.1
2012.0,7.0,4.0,4.0,2.4,23.65
2012.0,7.0,5.0,4.0,1.96,24.7
2012.0,7.0,6.0,4.0,3.64,20.3
2012.0,7.0,7.0,1.0,2.2,18.5
2012.0,7.0,8.0,4.0,2.19,21.2
2012.0,7.0,9.0,4.0,1.51,20.5
