YY MM DD DISC 
2012 06 01 1000
2012 06 02 766
2012 06 03 606
2012 06 04 498
2012 06 05 426
2012 06 06 372
2012 06 07 356
2012 06 08 441
2012 06 09 507
2012 06 10 397
2012 06 11 321
2012 06 12 280
2012 06 13 246
2012 06 14 238
2012 06 15 375
2012 06 16 475
2012 06 17 423
2012 06 18 559
2012 06 19 780
2012 06 20 2220
2012 06 21 6120
2012 06 22 4770
2012 06 23 3230
2012 06 24 2230
2012 06 25 1570
2012 06 26 1100
2012 06 27 803
2012 06 28 615
2012 06 29 491
2012 06 30 405
2012 07 01 341
2012 07 02 294
2012 07 03 299
2012 07 04 306
2012 07 05 268
2012 07 06 237
2012 07 07 238
2012 07 08 236
2012 07 09 219
2012 07 10 188
2012 07 11 169
2012 07 12 155
2012 07 13 141
2012 07 14 134
2012 07 15 129
2012 07 16 121
2012 07 17 114
2012 07 18 113
2012 07 19 113
2012 07 20 106
2012 07 21 103
2012 07 22 96.9
2012 07 23 93.1
2012 07 24 88.0
2012 07 25 110
2012 07 26 189
2012 07 27 175
2012 07 28 159
2012 07 29 143
2012 07 30 157
2012 07 31 159
2012 08 01 133
2012 08 02 120
2012 08 03 110
2012 08 04 108
2012 08 05 109
2012 08 06 103
2012 08 07 102
2012 08 08 102
2012 08 09 111
2012 08 10 120
2012 08 11 122
2012 08 12 108
2012 08 13 104
2012 08 14 99.5
2012 08 15 94.9
2012 08 16 102
2012 08 17 107
2012 08 18 102
2012 08 19 102
2012 08 20 115
2012 08 21 113
2012 08 22 102
2012 08 23 99.2
2012 08 24 106
2012 08 25 104
2012 08 26 105
2012 08 27 96.9
2012 08 28 87.8
2012 08 29 83.4
2012 08 30 79.5
2012 08 31 77.9
2012 09 01 76.3
2012 09 02 73.3
2012 09 03 73.0
2012 09 04 69.7
2012 09 05 72.3
2012 09 06 75.8
2012 09 07 86.9
2012 09 08 95.3
2012 09 09 102
2012 09 10 98.1
2012 09 11 90.9
2012 09 12 86.4
2012 09 13 83.6
2012 09 14 81.3
2012 09 15 76.7
2012 09 16 76.6
2012 09 17 75.7
2012 09 18 73.5
2012 09 19 74.8
2012 09 20 82.7
2012 09 21 89.2
2012 09 22 97.7
2012 09 23 103
2012 09 24 103
2012 09 25 98.9
2012 09 26 92.3
2012 09 27 88.0
2012 09 28 85.1
2012 09 29 84.3
2012 09 30 84.2
2012 10 01 84.0
2012 10 02 83.0
2012 10 03 83.0
2012 10 04 77.4
2012 10 05 71.3
2012 10 06 74.5
2012 10 07 75.7
2012 10 08 79.1
2012 10 09 85.2
2012 10 10 90.5
2012 10 11 99.3
2012 10 12 107
2012 10 13 106
2012 10 14 105
2012 10 15 106
2012 10 16 107
2012 10 17 111
2012 10 18 125
2012 10 19 157
2012 10 20 164
2012 10 21 151
2012 10 22 141
2012 10 23 139
2012 10 24 156
2012 10 25 288
2012 10 26 642
2012 10 27 532
2012 10 28 403
2012 10 29 316
2012 10 30 269
2012 10 31 234
2013 06 01 746
2013 06 02 721
2013 06 03 661
2013 06 04 572
2013 06 05 542
2013 06 06 1430
2013 06 07 1760
2013 06 08 1410
2013 06 09 1100
2013 06 10 954
2013 06 11 807
2013 06 12 655
2013 06 13 537
2013 06 14 450
2013 06 15 391
2013 06 16 361
2013 06 17 390
2013 06 18 416
2013 06 19 359
2013 06 20 353
2013 06 21 4630
2013 06 22 4930
2013 06 23 2870
2013 06 24 1810
2013 06 25 1200
2013 06 26 866
2013 06 27 732
2013 06 28 680
2013 06 29 626
2013 06 30 544
2013 07 01 463
2013 07 02 395
2013 07 03 343
2013 07 04 296
2013 07 05 265
2013 07 06 238
2013 07 07 371
2013 07 08 837
2013 07 09 890
2013 07 10 822
2013 07 11 679
2013 07 12 510
2013 07 13 393
2013 07 14 336
2013 07 15 318
2013 07 16 285
2013 07 17 252
2013 07 18 221
2013 07 19 215
2013 07 20 221
2013 07 21 200
2013 07 22 182
2013 07 23 179
2013 07 24 174
2013 07 25 163
2013 07 26 196
2013 07 27 215
2013 07 28 222
2013 07 29 237
2013 07 30 227
2013 07 31 207
2013 08 01 209
2013 08 02 199
2013 08 03 187
2013 08 04 170
2013 08 05 184
2013 08 06 285
2013 08 07 273
2013 08 08 235
2013 08 09 196
2013 08 10 170
2013 08 11 154
2013 08 12 147
2013 08 13 139
2013 08 14 132
2013 08 15 126
2013 08 16 119
2013 08 17 113
2013 08 18 107
2013 08 19 101
2013 08 20 101
2013 08 21 96.0
2013 08 22 95.9
2013 08 23 96.1
2013 08 24 88.6
2013 08 25 84.0
2013 08 26 279
2013 08 27 1490
2013 08 28 2230
2013 08 29 1690
2013 08 30 1830
2013 08 31 1410
2013 09 01 1010
2013 09 02 770
2013 09 03 641
2013 09 04 522
2013 09 05 425
2013 09 06 349
2013 09 07 298
2013 09 08 264
2013 09 09 238
2013 09 10 226
2013 09 11 217
2013 09 12 207
2013 09 13 191
2013 09 14 176
2013 09 15 173
2013 09 16 174
2013 09 17 169
2013 09 18 161
2013 09 19 167
2013 09 20 242
2013 09 21 228
2013 09 22 208
2013 09 23 189
2013 09 24 174
2013 09 25 166
2013 09 26 159
2013 09 27 148
2013 09 28 139
2013 09 29 143
2013 09 30 146
2013 10 01 142
2013 10 02 138
2013 10 03 147
2013 10 04 162
2013 10 05 215
2013 10 06 565
2013 10 07 726
2013 10 08 600
2013 10 09 475
2013 10 10 386
2013 10 11 329
2013 10 12 285
2013 10 13 257
2013 10 14 234
2013 10 15 248
2013 10 16 852
2013 10 17 1200
2013 10 18 1130
2013 10 19 1330
2013 10 20 1200
2013 10 21 1290
2013 10 22 1210
2013 10 23 1040
2013 10 24 885
2013 10 25 762
2013 10 26 695
2013 10 27 686
2013 10 28 652
2013 10 29 589
2013 10 30 536
2013 10 31 524
2014 06 01 456
2014 06 02 837
2014 06 03 1280
2014 06 04 1040
2014 06 05 786
2014 06 06 598
2014 06 07 711
2014 06 08 1410
2014 06 09 1070
2014 06 10 811
2014 06 11 634
2014 06 12 532
2014 06 13 540
2014 06 14 505
2014 06 15 530
2014 06 16 785
2014 06 17 688
2014 06 18 532
2014 06 19 419
2014 06 20 366
2014 06 21 334
2014 06 22 311
2014 06 23 340
2014 06 24 541
2014 06 25 499
2014 06 26 430
2014 06 27 372
2014 06 28 556
2014 06 29 882
2014 06 30 829
2014 07 01 690
2014 07 02 734
2014 07 03 701
2014 07 04 519
2014 07 05 399
2014 07 06 336
2014 07 07 324
2014 07 08 894
2014 07 09 1040
2014 07 10 722
2014 07 11 519
2014 07 12 479
2014 07 13 414
2014 07 14 354
2014 07 15 375
2014 07 16 417
2014 07 17 341
2014 07 18 286
2014 07 19 244
2014 07 20 216
2014 07 21 198
2014 07 22 232
2014 07 23 300
2014 07 24 278
2014 07 25 233
2014 07 26 205
2014 07 27 200
2014 07 28 276
2014 07 29 278
2014 07 30 373
2014 07 31 478
2014 08 01 373
2014 08 02 286
2014 08 03 239
2014 08 04 208
2014 08 05 189
2014 08 06 180
2014 08 07 170
2014 08 08 158
2014 08 09 146
2014 08 10 135
2014 08 11 136
2014 08 12 164
2014 08 13 165
2014 08 14 148
2014 08 15 133
2014 08 16 131
2014 08 17 126
2014 08 18 124
2014 08 19 140
2014 08 20 183
2014 08 21 174
2014 08 22 156
2014 08 23 145
2014 08 24 138
2014 08 25 1020
2014 08 26 565
2014 08 27 315
2014 08 28 236
2014 08 29 212
2014 08 30 1060
2014 08 31 1230
2014 09 01 2810
2014 09 02 3350
2014 09 03 1900
2014 09 04 1900
2014 09 05 2020
2014 09 06 1350
2014 09 07 956
2014 09 08 693
2014 09 09 540
2014 09 10 4120
2014 09 11 6020
2014 09 12 3230
2014 09 13 1960
2014 09 14 1320
2014 09 15 945
