YY,MM,DD,DISC 
2012,06,01,1880
2012,06,02,1430
2012,06,03,1090
2012,06,04,819
2012,06,05,667
2012,06,06,547
2012,06,07,462
2012,06,08,399
2012,06,09,357
2012,06,10,316
2012,06,11,355
2012,06,12,344
2012,06,13,302
2012,06,14,533
2012,06,15,1220
2012,06,16,739
2012,06,17,784
2012,06,18,1540
2012,06,19,1570
2012,06,20,12600
2012,06,21,18400
2012,06,22,5460
2012,06,23,3110
2012,06,24,1750
2012,06,25,1320
2012,06,26,939
2012,06,27,724
2012,06,28,572
2012,06,29,462
2012,06,30,381
2012,07,01,329
2012,07,02,288
2012,07,03,490
2012,07,04,717
2012,07,05,484
2012,07,06,448
2012,07,07,437
2012,07,08,383
2012,07,09,307
2012,07,10,264
2012,07,11,229
2012,07,12,200
2012,07,13,177
2012,07,14,159
2012,07,15,148
2012,07,16,134
2012,07,17,124
2012,07,18,119
2012,07,19,125
2012,07,20,119
2012,07,21,110
2012,07,22,98.2
2012,07,23,89.5
2012,07,24,82.3
2012,07,25,106
2012,07,26,204
2012,07,27,210
2012,07,28,202
2012,07,29,162
2012,07,30,137
2012,07,31,119
2012,08,01,107
2012,08,02,99.4
2012,08,03,93.5
2012,08,04,112
2012,08,05,157
2012,08,06,129
2012,08,07,106
2012,08,08,95.0
2012,08,09,92.2
2012,08,10,88.3
2012,08,11,83.5
2012,08,12,78.9
2012,08,13,77.8
2012,08,14,74.7
2012,08,15,71.1
2012,08,16,79.5
2012,08,17,91.9
2012,08,18,82.0
2012,08,19,76.2
2012,08,20,70.1
2012,08,21,65.5
2012,08,22,62.5
2012,08,23,61.9
2012,08,24,66.6
2012,08,25,69.1
2012,08,26,65.0
2012,08,27,61.0
2012,08,28,58.2
2012,08,29,55.9
2012,08,30,56.1
2012,08,31,54.1
2012,09,01,51.9
2012,09,02,51.0
2012,09,03,50.0
2012,09,04,49.7
2012,09,05,48.7
2012,09,06,47.9
2012,09,07,51.3
2012,09,08,53.9
2012,09,09,54.3
2012,09,10,52.9
2012,09,11,51.0
2012,09,12,50.0
2012,09,13,48.9
2012,09,14,48.0
2012,09,15,47.2
2012,09,16,47.0
2012,09,17,46.7
2012,09,18,46.1
2012,09,19,46.6
2012,09,20,48.1
2012,09,21,48.5
2012,09,22,50.7
2012,09,23,50.5
2012,09,24,51.1
2012,09,25,60.9
2012,09,26,52.9
2012,09,27,58.5
2012,09,28,56.4
2012,09,29,51.1
2012,09,30,50.2
2012,10,01,50.8
2012,10,02,51.0
2012,10,03,49.7
2012,10,04,49.1
2012,10,05,49.8
2012,10,06,48.9
2012,10,07,49.8
2012,10,08,50.5
2012,10,09,51.8
2012,10,10,52.8
2012,10,11,55.3
2012,10,12,57.1
2012,10,13,56.2
2012,10,14,56.7
2012,10,15,57.7
2012,10,16,57.2
2012,10,17,58.3
2012,10,18,58.5
2012,10,19,60.8
2012,10,20,63.9
2012,10,21,62.5
2012,10,22,60.5
2012,10,23,60.1
2012,10,24,62.5
2012,10,25,75.2
2012,10,26,105
2012,10,27,109
2012,10,28,96.2
2012,10,29,88.4
2012,10,30,82.2
2012,10,31,78.0
2013,06,01,1750
2013,06,02,1250
2013,06,03,897
2013,06,04,682
2013,06,05,781
2013,06,06,1430
2013,06,07,1060
2013,06,08,802
2013,06,09,663
2013,06,10,1880
2013,06,11,1530
2013,06,12,998
2013,06,13,728
2013,06,14,565
2013,06,15,468
2013,06,16,390
2013,06,17,335
2013,06,18,280
2013,06,19,245
2013,06,20,221
2013,06,21,1490
2013,06,22,3120
2013,06,23,1750
2013,06,24,1640
2013,06,25,1130
2013,06,26,804
2013,06,27,613
2013,06,28,589
2013,06,29,528
2013,06,30,489
2013,07,01,370
2013,07,02,296
2013,07,03,246
2013,07,04,220
2013,07,05,189
2013,07,06,162
2013,07,07,173
2013,07,08,206
2013,07,09,173
2013,07,10,164
2013,07,11,150
2013,07,12,127
2013,07,13,113
2013,07,14,105
2013,07,15,115
2013,07,16,115
2013,07,17,114
2013,07,18,86.6
2013,07,19,86.6
2013,07,20,86.6
2013,07,21,77.4
2013,07,22,68.2
2013,07,23,69.9
2013,07,24,65.9
2013,07,25,63.4
2013,07,26,62.9
2013,07,27,71.6
2013,07,28,82.2
2013,07,29,84.4
2013,07,30,78.6
2013,07,31,71.6
2013,08,01,71.5
2013,08,02,62.7
2013,08,03,59.4
2013,08,04,56.5
2013,08,05,61.1
2013,08,06,70.0
2013,08,07,70.2
2013,08,08,63.3
2013,08,09,57.9
2013,08,10,54.4
2013,08,11,52.3
2013,08,12,49.5
2013,08,13,47.9
2013,08,14,46.3
2013,08,15,44.7
2013,08,16,43.4
2013,08,17,41.8
2013,08,18,40.8
2013,08,19,40.2
2013,08,20,39.8
2013,08,21,39.4
2013,08,22,39.0
2013,08,23,38.5
2013,08,24,38.1
2013,08,25,36.8
2013,08,26,40.7
2013,08,27,135
2013,08,28,130
2013,08,29,91.4
2013,08,30,77.8
2013,08,31,71.8
2013,09,01,76.4
2013,09,02,72.8
2013,09,03,67.7
2013,09,04,64.4
2013,09,05,61.2
2013,09,06,58.5
2013,09,07,56.7
2013,09,08,55.3
2013,09,09,57.2
2013,09,10,65.4
2013,09,11,72.8
2013,09,12,66.6
2013,09,13,62.7
2013,09,14,59.9
2013,09,15,69.5
2013,09,16,69.0
2013,09,17,67.2
2013,09,18,63.1
2013,09,19,70.9
2013,09,20,72.4
2013,09,21,89.4
2013,09,22,83.9
2013,09,23,76.9
2013,09,24,72.4
2013,09,25,68.7
2013,09,26,65.7
2013,09,27,62.7
2013,09,28,60.8
2013,09,29,61.8
2013,09,30,61.6
2013,10,01,60.5
2013,10,02,59.6
2013,10,03,71.1
2013,10,04,98.1
2013,10,05,149
2013,10,06,1100
2013,10,07,786
2013,10,08,442
2013,10,09,318
2013,10,10,251
2013,10,11,206
2013,10,12,171
2013,10,13,146
2013,10,14,128
2013,10,15,204
2013,10,16,1150
2013,10,17,710
2013,10,18,529
2013,10,19,473
2013,10,20,387
2013,10,21,424
2013,10,22,425
2013,10,23,341
2013,10,24,277
2013,10,25,233
2013,10,26,195
2013,10,27,169
2013,10,28,147
2013,10,29,128
2013,10,30,117
2013,10,31,114
2014,06,01,1340
2014,06,02,1100
2014,06,03,1070
2014,06,04,774
2014,06,05,578
2014,06,06,492
2014,06,07,588
2014,06,08,1240
2014,06,09,972
2014,06,10,742
2014,06,11,619
2014,06,12,580
2014,06,13,595
2014,06,14,496
2014,06,15,709
2014,06,16,1440
2014,06,17,924
2014,06,18,659
2014,06,19,518
2014,06,20,521
2014,06,21,542
2014,06,22,466
2014,06,23,397
2014,06,24,350
2014,06,25,310
2014,06,26,289
2014,06,27,260
