YY,MM,DD,TEMP 
2012,6,1,4.42
2012,6,2,4.45
2012,6,3,4.48
2012,6,4,4.71
2012,6,5,4.99
2012,6,6,5.21
2012,6,7,5.33
2012,6,8,5.56
2012,6,9,5.42
2012,6,10,5.18
2012,6,11,5.02
2012,6,12,4.95
2012,6,13,4.93
2012,6,14,5.01
2012,6,15,5.25
2012,6,16,5.67
2012,6,17,6.05
2012,6,18,6.29
2012,6,19,7.0
2012,6,20,7.9
2012,6,21,8.67
2012,6,22,8.95
2012,6,23,9.69
2012,6,24,10.17
2012,6,25,10.28
2012,6,26,10.73
2012,6,27,11.16
2012,6,28,11.65
2012,6,29,12.22
2012,6,30,13.49
2012,7,1,14.83
2012,7,2,14.95
2012,7,3,14.91
2012,7,4,15.04
2012,7,5,16.02
2012,7,6,17.05
2012,7,7,17.49
2012,7,8,17.61
2012,7,9,17.76
2012,7,10,17.99
2012,7,11,18.08
2012,7,12,18.21
2012,7,13,19.11
2012,7,14,20.16
2012,7,15,20.01
2012,7,16,19.92
2012,7,17,19.94
2012,7,18,19.66
2012,7,19,19.45
2012,7,20,19.34
2012,7,21,19.57
2012,7,22,19.95
2012,7,23,20.06
2012,7,24,20.13
2012,7,25,19.95
2012,7,26,19.9
2012,7,27,19.84
2012,7,28,19.96
2012,7,29,20.12
2012,7,30,20.28
2012,7,31,20.33
2012,8,1,20.14
2012,8,2,20.01
2012,8,3,20.03
2012,8,4,19.87
2012,8,5,19.64
2012,8,6,19.21
2012,8,7,18.64
2012,8,8,18.52
2012,8,9,18.18
2012,8,10,17.69
2012,8,11,17.45
2012,8,12,17.62
2012,8,13,18.22
2012,8,14,18.82
2012,8,15,19.03
2012,8,16,18.37
2012,8,17,17.7
2012,8,18,17.58
2012,8,19,17.46
2012,8,20,17.29
2012,8,21,17.26
2012,8,22,17.42
2012,8,23,17.64
2012,8,24,17.9
2012,8,25,18.02
2012,8,26,18.01
2012,8,27,18.05
2012,8,28,18.37
2012,8,29,18.57
2012,8,30,18.69
2012,8,31,18.87
2012,9,1,19.04
2012,9,2,19.11
2012,9,3,19.23
2012,9,4,19.04
2012,9,5,18.72
2012,9,6,18.41
2012,9,7,18.15
2012,9,8,17.88
2012,9,9,17.7
2012,9,10,17.5
2012,9,11,17.21
2012,9,12,16.84
2012,9,13,16.47
2012,9,14,16.25
2012,9,15,16.08
2012,9,16,15.89
2012,9,17,15.48
2012,9,18,15.1
2012,9,19,14.91
2012,9,20,14.84
2012,9,21,14.66
2012,9,22,14.49
2012,9,23,14.14
2012,9,24,13.74
2012,9,25,13.57
2012,9,26,13.74
2012,9,27,13.83
2012,9,28,13.81
2012,9,29,13.86
2012,9,30,13.9
2012,10,1,13.94
2012,10,2,13.84
2012,10,3,13.78
2012,10,4,13.69
2012,10,5,13.61
2012,10,6,13.5
2012,10,7,13.12
2012,10,8,12.52
2012,10,9,11.59
2012,10,10,10.4
2012,10,11,9.46
2012,10,12,9.13
2012,10,13,8.93
2012,10,14,8.7
2012,10,15,8.7
2012,10,16,8.83
2012,10,17,8.92
2012,10,18,8.85
2012,10,19,8.8
2012,10,20,8.97
2012,10,21,9.07
2012,10,22,9.05
2012,10,23,8.97
2012,10,24,8.87
2012,10,25,8.74
2012,10,26,8.67
2012,10,27,8.87
2012,10,28,9.06
2012,10,29,9.21
2012,10,30,9.07
2012,10,31,8.86
2013,6,1,2.6
2013,6,2,2.59
2013,6,3,2.62
2013,6,4,2.62
2013,6,5,2.74
2013,6,6,2.93
2013,6,7,3.01
2013,6,8,3.02
2013,6,9,2.82
2013,6,10,2.9
2013,6,11,3.17
2013,6,12,3.35
2013,6,13,3.33
2013,6,14,3.2
2013,6,15,3.21
2013,6,16,3.3
2013,6,17,3.35
2013,6,18,3.22
2013,6,19,3.15
2013,6,20,3.23
2013,6,21,3.39
2013,6,22,3.64
2013,6,23,3.9
2013,6,24,4.14
2013,6,25,4.28
2013,6,26,4.28
2013,6,27,4.28
2013,6,28,4.43
2013,6,29,4.59
2013,6,30,4.61
2013,7,1,4.41
2013,7,2,4.35
2013,7,3,4.35
2013,7,4,4.47
2013,7,5,4.54
2013,7,6,4.71
2013,7,7,5.14
2013,7,8,5.51
2013,7,9,5.19
2013,7,10,4.9
2013,7,11,4.53
2013,7,12,4.56
2013,7,13,4.83
2013,7,14,5.61
2013,7,15,6.58
2013,7,16,7.68
2013,7,17,8.88
2013,7,18,10.0
2013,7,19,10.84
2013,7,20,11.3
2013,7,21,11.52
2013,7,22,11.57
2013,7,23,11.7
2013,7,24,11.8
2013,7,25,11.5
2013,7,26,10.72
2013,7,27,9.77
2013,7,28,9.02
2013,7,29,8.7
2013,7,30,9.29
2013,7,31,10.14
2013,8,1,10.45
2013,8,2,11.24
2013,8,3,11.66
2013,8,4,11.92
2013,8,5,12.14
2013,8,6,12.83
2013,8,7,13.29
2013,8,8,13.22
2013,8,9,13.19
2013,8,10,13.25
2013,8,11,13.22
2013,8,12,13.32
2013,8,13,13.3
2013,8,14,13.25
2013,8,15,13.17
2013,8,16,13.25
2013,8,17,13.37
2013,8,18,13.55
2013,8,19,13.77
2013,8,20,13.93
2013,8,21,13.98
2013,8,22,14.09
2013,8,23,14.02
2013,8,24,14.06
2013,8,25,14.22
2013,8,26,14.54
2013,8,27,14.81
2013,8,28,14.9
2013,8,29,15.08
2013,8,30,15.13
2013,8,31,14.83
2013,9,1,14.61
2013,9,2,14.56
2013,9,3,14.51
2013,9,4,14.34
2013,9,5,14.23
2013,9,6,14.28
2013,9,7,14.4
2013,9,8,14.39
2013,9,9,14.39
2013,9,10,14.44
2013,9,11,14.49
2013,9,12,14.46
2013,9,13,14.39
2013,9,14,14.26
2013,9,15,14.08
2013,9,16,13.98
2013,9,17,13.92
2013,9,18,13.84
2013,9,19,13.81
2013,9,20,13.76
2013,9,21,13.71
2013,9,22,13.72
2013,9,23,13.76
2013,9,24,13.9
2013,9,25,13.96
2013,9,26,14.05
2013,9,27,14.0
2013,9,28,13.85
2013,9,29,13.72
2013,9,30,13.72
2013,10,1,13.75
2013,10,2,13.66
2013,10,3,13.58
2013,10,4,13.4
2013,10,5,13.06
2013,10,6,12.67
2013,10,7,12.32
2013,10,8,12.18
2013,10,9,12.21
2013,10,10,12.35
2013,10,11,12.46
2013,10,12,12.51
2013,10,13,12.52
2013,10,14,12.42
2013,10,15,12.31
2013,10,16,12.15
2013,10,17,12.01
2013,10,18,11.93
2013,10,19,11.66
2013,10,20,11.28
2013,10,21,10.84
2013,10,22,10.47
2013,10,23,10.31
2013,10,24,10.26
2013,10,25,10.21
2013,10,26,10.03
2013,10,27,9.77
2013,10,28,9.5
2013,10,29,9.43
2013,10,30,9.47
2013,10,31,9.46
2014,6,1,2.68
2014,6,2,2.81
2014,6,3,2.85
2014,6,4,2.85
2014,6,5,2.96
2014,6,6,3.23
2014,6,7,3.55
2014,6,8,3.67
2014,6,9,3.73
2014,6,10,3.68
2014,6,11,3.63
2014,6,12,3.69
2014,6,13,3.83
2014,6,14,4.06
2014,6,15,4.5
2014,6,16,4.91
2014,6,17,5.7
2014,6,18,5.73
2014,6,19,5.72
2014,6,20,6.04
2014,6,21,7.02
2014,6,22,7.71
2014,6,23,7.92
2014,6,24,7.91
2014,6,25,7.78
2014,6,26,7.63
2014,6,27,7.85
2014,6,28,7.87
2014,6,29,7.6
2014,6,30,7.96
2014,7,1,8.65
2014,7,2,9.63
2014,7,3,10.31
2014,7,4,10.94
2014,7,5,10.83
2014,7,6,10.71
2014,7,7,10.6
2014,7,8,10.51
2014,7,9,10.43
2014,7,10,10.0
2014,7,11,11.28
2014,7,12,11.7
2014,7,13,12.04
2014,7,14,13.08
2014,7,15,13.53
2014,7,16,13.71
2014,7,17,13.79
2014,7,18,13.89
2014,7,19,14.07
2014,7,20,14.22
2014,7,21,14.37
2014,7,22,14.49
2014,7,23,13.2
2014,7,24,14.79
2014,7,25,14.73
2014,7,26,15.04
2014,7,27,15.24
2014,7,28,15.32
2014,7,29,15.4
2014,7,30,15.38
2014,7,31,15.42
2014,8,1,15.18
2014,8,2,15.1
2014,8,3,15.39
2014,8,4,15.38
2014,8,5,15.61
2014,8,6,15.9
2014,8,7,16.24
2014,8,8,16.73
2014,8,9,17.3
2014,8,10,17.82
2014,8,11,17.07
2014,8,12,16.36
2014,8,13,16.01
2014,8,14,15.75
2014,8,15,15.62
2014,8,16,15.57
2014,8,17,15.52
2014,8,18,15.46
2014,8,19,15.43
2014,8,20,15.35
2014,8,21,15.08
2014,8,22,14.85
2014,8,23,14.61
2014,8,24,14.4
2014,8,25,14.25
2014,8,26,14.1
2014,8,27,14.46
2014,8,28,14.87
2014,8,29,15.04
2014,8,30,15.18
2014,8,31,15.35
2014,9,1,15.35
2014,9,2,15.36
2014,9,3,15.15
2014,9,4,14.87
2014,9,5,14.7
2014,9,6,14.62
2014,9,7,14.56
2014,9,8,14.46
2014,9,9,14.29
2014,9,10,14.28
2014,9,11,14.18
2014,9,12,13.84
2014,9,13,13.11
2014,9,14,12.48
2014,9,15,11.84
2014,9,16,11.23
2014,9,17,10.68
2014,9,18,10.47
2014,9,19,10.27
2014,9,20,10.18
2014,9,21,10.11
2014,9,22,10.36
2014,9,23,10.48
2014,9,24,10.51
2014,9,25,10.49
2014,9,26,10.52
2014,9,27,10.57
2014,9,28,10.31
2014,9,29,10.03
2014,9,30,9.94
2014,10,1,9.93
2014,10,2,9.85
2014,10,3,9.63
2014,10,4,9.34
2014,10,5,9.18
2014,10,6,9.14
2014,10,7,9.11
2014,10,8,9.07
2014,10,9,8.92
2014,10,10,8.77
2014,10,11,8.78
2014,10,12,8.91
2014,10,13,8.99
2014,10,14,9.11
2014,10,15,9.19
2014,10,16,9.18
2014,10,17,9.02
2014,10,18,8.81
2014,10,19,8.57
2014,10,20,8.46
2014,10,21,8.39
2014,10,22,8.38
2014,10,23,8.38
2014,10,24,8.33
2014,10,25,8.27
2014,10,26,8.16
2014,10,27,8.11
2014,10,28,8.01
2014,10,29,7.79
2014,10,30,7.56
2014,10,31,7.4
2015,6,1,2.26
2015,6,2,2.24
2015,6,3,2.29
2015,6,4,2.22
2015,6,5,2.15
2015,6,6,2.3
2015,6,7,2.21
2015,6,8,2.04
2015,6,9,2.23
2015,6,10,2.5
2015,6,11,2.66
2015,6,12,2.86
2015,6,13,2.85
2015,6,14,2.75
2015,6,15,2.63
2015,6,16,2.61
2015,6,17,2.56
2015,6,18,2.4
2015,6,19,2.29
2015,6,20,2.37
2015,6,21,2.52
2015,6,22,2.58
2015,6,23,2.2
2015,6,24,2.32
2015,6,25,3.0
2015,6,26,3.01
2015,6,27,2.89
2015,6,28,2.82
2015,6,29,3.11
2015,6,30,3.47
2015,7,1,3.56
2015,7,2,3.78
2015,7,3,3.96
2015,7,4,4.02
2015,7,5,4.03
2015,7,6,4.03
2015,7,7,4.02
2015,7,8,4.02
2015,7,9,4.04
2015,7,10,4.04
2015,7,11,4.06
2015,7,12,4.11
2015,7,13,4.15
2015,7,14,6.37
2015,7,15,6.47
2015,7,16,6.68
2015,7,17,6.18
2015,7,18,5.86
2015,7,19,6.68
2015,7,20,7.39
2015,7,21,7.64
2015,7,22,7.73
2015,7,23,7.75
2015,7,24,7.76
2015,7,25,7.75
2015,7,26,8.53
2015,7,27,9.63
2015,7,28,10.51
2015,7,29,11.69
2015,7,30,12.35
2015,7,31,12.83
2015,8,1,13.18
2015,8,2,13.11
2015,8,3,12.71
2015,8,4,12.62
2015,8,5,13.14
2015,8,6,13.53
2015,8,7,14.33
2015,8,8,14.94
2015,8,9,15.09
2015,8,10,15.24
2015,8,11,15.31
2015,8,12,15.29
2015,8,13,15.33
2015,8,14,15.52
2015,8,15,15.7
2015,8,16,15.42
2015,8,17,15.09
2015,8,18,14.99
2015,8,19,14.73
2015,8,20,14.26
2015,8,21,14.0
2015,8,22,13.91
2015,8,23,13.73
2015,8,24,13.59
2015,8,25,13.06
2015,8,26,12.74
2015,8,27,12.86
2015,8,28,12.93
2015,8,29,13.18
2015,8,30,13.28
2015,8,31,13.33
2015,9,1,13.84
2015,9,2,14.38
2015,9,3,14.83
2015,9,4,15.07
2015,9,5,14.99
2015,9,6,15.14
2015,9,7,15.34
2015,9,8,15.05
2015,9,9,14.67
2015,9,10,14.31
2015,9,11,13.9
2015,9,12,13.75
2015,9,13,13.91
2015,9,14,14.12
2015,9,15,14.18
2015,9,16,14.17
2015,9,17,14.16
2015,9,18,14.16
2015,9,19,14.18
2015,9,20,14.09
2015,9,21,14.02
2015,9,22,14.0
2015,9,23,13.96
2015,9,24,13.91
2015,9,25,13.8
2015,9,26,13.74
2015,9,27,13.71
2015,9,28,13.66
2015,9,29,13.61
2015,9,30,13.47
2015,10,1,13.3
2015,10,2,13.15
2015,10,3,13.0
2015,10,4,12.82
2015,10,5,12.73
2015,10,6,12.74
2015,10,7,12.73
2015,10,8,12.65
2015,10,9,12.55
2015,10,10,12.69
2015,10,11,12.79
2015,10,12,12.58
2015,10,13,12.34
2015,10,14,12.23
2015,10,15,12.11
2015,10,16,11.86
2015,10,17,11.53
2015,10,18,11.27
2015,10,19,11.16
2015,10,20,10.96
2015,10,21,10.79
2015,10,22,10.54
2015,10,23,10.42
2015,10,24,10.22
2015,10,25,9.99
2015,10,26,9.8
2015,10,27,9.76
2015,10,28,9.8
2015,10,29,9.79
2015,10,30,9.69
2015,10,31,9.53
2016,6,1,2.93
2016,6,2,2.01
2016,6,3,1.4
2016,6,4,1.9
2016,6,5,2.81
2016,6,6,3.45
2016,6,7,3.73
2016,6,8,3.79
2016,6,9,3.7
2016,6,10,3.62
2016,6,11,3.56
2016,6,12,3.73
2016,6,13,3.79
2016,6,14,3.91
2016,6,15,4.0
2016,6,16,4.12
2016,6,17,4.2
2016,6,18,4.08
2016,6,19,3.91
2016,6,20,3.81
2016,6,21,3.78
2016,6,22,3.8
2016,6,23,3.81
2016,6,24,3.81
2016,6,25,3.82
2016,6,26,3.83
2016,6,27,3.84
2016,6,28,3.78
2016,6,29,3.78
2016,6,30,3.78
2016,7,1,3.78
2016,7,2,3.82
2016,7,3,3.83
2016,7,4,4.03
2016,7,5,5.84
2016,7,6,6.93
2016,7,7,7.69
2016,7,8,8.18
2016,7,9,10.5
2016,7,10,10.5
2016,7,11,10.5
2016,7,12,10.5
2016,7,13,10.5
2016,7,14,10.5
2016,7,15,10.5
2016,7,16,11.06
2016,7,17,11.92
2016,7,18,12.76
2016,7,19,12.92
2016,7,20,15.1
2016,7,21,17.03
2016,7,22,17.84
2016,7,23,18.06
2016,7,24,17.98
2016,7,25,17.74
2016,7,26,17.51
2016,7,27,17.66
2016,7,28,18.0
2016,7,29,18.59
2016,7,30,19.05
2016,7,31,19.54
2016,8,1,19.91
2016,8,2,19.87
2016,8,3,19.58
2016,8,4,19.25
2016,8,5,18.79
2016,8,6,18.66
2016,8,7,18.67
2016,8,8,18.59
2016,8,9,18.53
2016,8,10,18.54
2016,8,11,18.55
2016,8,12,18.44
2016,8,13,18.27
2016,8,14,18.2
2016,8,15,18.39
2016,8,16,18.8
2016,8,17,19.19
2016,8,18,19.23
2016,8,19,19.0
2016,8,20,18.65
2016,8,21,18.09
2016,8,22,17.75
2016,8,23,17.7
2016,8,24,17.71
2016,8,25,17.8
2016,8,26,17.98
2016,8,27,18.01
2016,8,28,17.99
2016,8,29,18.17
2016,8,30,18.34
2016,8,31,18.25
2016,9,1,18.14
2016,9,2,18.1
2016,9,3,18.15
2016,9,4,18.19
2016,9,5,18.21
2016,9,6,18.2
2016,9,7,18.2
2016,9,8,18.24
2016,9,9,18.25
2016,9,10,18.1
2016,9,11,17.87
2016,9,12,17.78
2016,9,13,17.61
2016,9,14,17.45
2016,9,15,17.35
2016,9,16,17.39
2016,9,17,17.48
2016,9,18,17.56
2016,9,19,17.54
2016,9,20,17.38
2016,9,21,17.19
2016,9,22,17.03
2016,9,23,16.95
2016,9,24,16.84
2016,9,25,16.69
2016,9,26,16.43
2016,9,27,16.02
2016,9,28,15.75
2016,9,29,15.64
2016,9,30,15.56
2016,10,1,15.56
2016,10,2,15.54
2016,10,3,15.5
2016,10,4,15.33
2016,10,5,15.16
2016,10,6,15.0
2016,10,7,14.84
2016,10,8,14.5
2016,10,9,14.27
2016,10,10,14.25
2016,10,11,14.22
2016,10,12,13.94
2016,10,13,13.57
2016,10,14,13.41
2016,10,15,13.25
2016,10,16,13.1
2016,10,17,12.99
2016,10,18,12.87
2016,10,19,12.84
2016,10,20,12.89
2016,10,21,12.86
2016,10,22,12.77
2016,10,23,12.66
2016,10,24,12.57
2016,10,25,12.48
2016,10,26,12.43
2016,10,27,12.28
2016,10,28,12.1
2016,10,29,11.89
2016,10,30,11.72
2016,10,31,11.63
2017,6,1,2.25
2017,6,2,1.99
2017,6,3,2.07
2017,6,4,2.39
2017,6,5,2.81
2017,6,6,3.09
2017,6,7,3.15
2017,6,8,2.64
2017,6,9,2.31
2017,6,10,2.33
2017,6,11,2.44
2017,6,12,2.48
2017,6,13,2.59
2017,6,14,2.82
2017,6,15,3.03
2017,6,16,3.14
2017,6,17,3.33
2017,6,18,3.5
2017,6,19,3.56
2017,6,20,3.74
2017,6,21,3.9
2017,6,22,3.96
2017,6,23,4.02
2017,6,24,3.99
2017,6,25,3.93
2017,6,26,4.02
2017,6,27,3.95
2017,6,28,4.02
2017,6,29,4.04
2017,6,30,4.07
2017,7,1,4.08
2017,7,2,4.16
2017,7,3,4.26
2017,7,4,4.25
2017,7,5,4.21
2017,7,6,4.26
2017,7,7,4.66
2017,7,8,5.47
2017,7,9,7.24
2017,7,10,7.6
2017,7,11,7.87
2017,7,12,7.69
2017,7,13,7.74
2017,7,14,7.6
2017,7,15,8.65
2017,7,16,9.58
2017,7,17,9.82
2017,7,18,10.5
2017,7,19,10.94
2017,7,20,11.26
2017,7,21,11.82
2017,7,22,12.22
2017,7,23,12.36
2017,7,24,12.41
2017,7,25,12.48
2017,7,26,12.73
2017,7,27,13.45
2017,7,28,14.49
2017,7,29,15.25
2017,7,30,15.85
2017,7,31,16.13
2017,8,1,16.26
2017,8,2,16.32
2017,8,3,16.47
2017,8,4,16.52
2017,8,5,16.56
2017,8,6,16.65
2017,8,7,16.71
2017,8,8,16.65
2017,8,9,16.51
2017,8,10,16.32
2017,8,11,16.18
2017,8,12,16.22
2017,8,13,16.35
2017,8,14,16.54
2017,8,15,16.74
2017,8,16,16.8
2017,8,17,16.62
2017,8,18,16.27
2017,8,19,16.06
2017,8,20,16.06
2017,8,21,16.06
2017,8,22,15.88
2017,8,23,15.69
2017,8,24,15.71
2017,8,25,15.78
2017,8,26,15.81
2017,8,27,15.84
2017,8,28,15.93
2017,8,29,16.01
2017,8,30,16.04
2017,8,31,16.01
2017,9,1,15.95
2017,9,2,15.77
2017,9,3,15.54
2017,9,4,15.44
2017,9,5,15.3
2017,9,6,15.26
2017,9,7,15.33
2017,9,8,15.2
2017,9,9,15.11
2017,9,10,15.09
2017,9,11,15.12
2017,9,12,15.13
2017,9,13,15.1
2017,9,14,14.99
2017,9,15,14.78
2017,9,16,14.49
2017,9,17,14.31
2017,9,18,14.35
2017,9,19,14.44
2017,9,20,14.48
2017,9,21,14.43
2017,9,22,14.4
2017,9,23,14.34
2017,9,24,14.33
2017,9,25,14.37
2017,9,26,14.03
2017,9,27,13.85
2017,9,28,13.66
2017,9,29,13.57
2017,9,30,13.51
2017,10,1,13.52
2017,10,2,13.51
2017,10,3,13.48
2017,10,4,13.47
2017,10,5,13.58
2017,10,6,13.68
2017,10,7,13.59
2017,10,8,13.45
2017,10,9,13.39
2017,10,10,13.41
2017,10,11,13.3
2017,10,12,13.18
2017,10,13,12.97
2017,10,14,12.78
2017,10,15,12.54
2017,10,16,12.32
2017,10,17,12.34
2017,10,18,12.34
2017,10,19,12.18
2017,10,20,11.97
2017,10,21,11.81
2017,10,22,11.7
2017,10,23,11.46
2017,10,24,11.53
2017,10,25,11.65
2017,10,26,11.73
2017,10,27,11.77
2017,10,28,11.77
2017,10,29,11.68
2017,10,30,11.56
2017,10,31,11.15
2018,6,1,2.33
